csv_data_row_1based,sample_id,target_name,raw_smiles,normalized_smiles,canonical_smiles,n_NplusH,n_NplusH2,original_parseable,equivalence_when_original_parseable
132,case_00132,Factor Xa,Clc1cnc(NC(=O)C2C(C(=O)Nc3c(F)cc(N4C(=O)C=CC=C4)cc3)C[N+H](CC(F)F)C2)cc1,Clc1cnc(NC(=O)C2C(C(=O)Nc3c(F)cc(N4C(=O)C=CC=C4)cc3)C[NH+](CC(F)F)C2)cc1,O=C(Nc1ccc(Cl)cn1)C1C[NH+](CC(F)F)CC1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,1,0,False,
295,case_00295,HSP90alpha,Clc1c(O)cc(O)c(-c2c(c(C(=O)NCC)no2)-c2ccc(C[N+H]3CCOCC3)cc2)c1,Clc1c(O)cc(O)c(-c2c(c(C(=O)NCC)no2)-c2ccc(C[NH+]3CCOCC3)cc2)c1,CCNC(=O)c1noc(-c2cc(Cl)c(O)cc2O)c1-c1ccc(C[NH+]2CCOCC2)cc1,1,0,False,
342,case_00342,HSP90alpha,O=C(N(C)c1ccc(C2CC[N+H](C)CC2)cc1)c1c(O)cc2[nH]nc(CCC(C)(C)C)c2c1,O=C(N(C)c1ccc(C2CC[NH+](C)CC2)cc1)c1c(O)cc2[nH]nc(CCC(C)(C)C)c2c1,CN(C(=O)c1cc2c(CCC(C)(C)C)n[nH]c2cc1O)c1ccc(C2CC[NH+](C)CC2)cc1,1,0,False,
366,case_00366,HSP90alpha,O=C(N(C)c1ccc(N2CC[N+H2]CC2)cc1)c1c(O)cc2[nH]nc(Cc3cc(C)ccc3)c2c1,O=C(N(C)c1ccc(N2CC[NH2+]CC2)cc1)c1c(O)cc2[nH]nc(Cc3cc(C)ccc3)c2c1,Cc1cccc(Cc2n[nH]c3cc(O)c(C(=O)N(C)c4ccc(N5CC[NH2+]CC5)cc4)cc23)c1,0,1,False,
367,case_00367,HSP90alpha,O=C(N(C)c1ccc(N2CC[N+H](C)CC2)cc1)c1c(O)cc2[nH]nc(Cc3cc(C)ccc3)c2c1,O=C(N(C)c1ccc(N2CC[NH+](C)CC2)cc1)c1c(O)cc2[nH]nc(Cc3cc(C)ccc3)c2c1,Cc1cccc(Cc2n[nH]c3cc(O)c(C(=O)N(C)c4ccc(N5CC[NH+](C)CC5)cc4)cc23)c1,1,0,False,
397,case_00397,HSP90alpha,O=C(N1Cc2c(cccc2)C1)c1nc(N)nc2c1cc(-c1c(C[N+H2]C)cccc1)cc2,O=C(N1Cc2c(cccc2)C1)c1nc(N)nc2c1cc(-c1c(C[NH2+]C)cccc1)cc2,C[NH2+]Cc1ccccc1-c1ccc2nc(N)nc(C(=O)N3Cc4ccccc4C3)c2c1,0,1,False,
407,case_00407,HSP90alpha,O=C(NCC)c1c(c(-c2c(O)cc(O)c(C(C)C)c2)on1)-c1ccc(C[N+H]2CCOCC2)cc1,O=C(NCC)c1c(c(-c2c(O)cc(O)c(C(C)C)c2)on1)-c1ccc(C[NH+]2CCOCC2)cc1,CCNC(=O)c1noc(-c2cc(C(C)C)c(O)cc2O)c1-c1ccc(C[NH+]2CCOCC2)cc1,1,0,False,
419,case_00419,HSP90alpha,Oc1c(C#N)cc2c(CCCC[N+H]3CCN(c4ccc(C#N)cc4)CC3)c[nH]c2c1,Oc1c(C#N)cc2c(CCCC[NH+]3CCN(c4ccc(C#N)cc4)CC3)c[nH]c2c1,N#Cc1ccc(N2CC[NH+](CCCCc3c[nH]c4cc(O)c(C#N)cc34)CC2)cc1,1,0,False,
426,case_00426,HSP90alpha,S(=O)(=O)(N1CC[N+H](C)CC1)c1c(-c2cc3c(C(=O)N4Cc5c(cccc5)C4)nc(N)nc3cc2)cccc1,S(=O)(=O)(N1CC[NH+](C)CC1)c1c(-c2cc3c(C(=O)N4Cc5c(cccc5)C4)nc(N)nc3cc2)cccc1,C[NH+]1CCN(S(=O)(=O)c2ccccc2-c2ccc3nc(N)nc(C(=O)N4Cc5ccccc5C4)c3c2)CC1,1,0,False,
437,case_00437,A2A receptor,Fc1c(N2CC[N+H](CCNC=3N=C(N)n4nc(-c5occc5)nc4N=3)CC2)ccc(F)c1,Fc1c(N2CC[NH+](CCNC=3N=C(N)n4nc(-c5occc5)nc4N=3)CC2)ccc(F)c1,Nc1nc(NCC[NH+]2CCN(c3ccc(F)cc3F)CC2)nc2nc(-c3ccco3)nn12,1,0,False,
