compound_id,canonical_smiles,representative_smiles,observed_pkoff,observed_pkoff_sd,n_measurements,source
dpp4_01,N[C@H]1C[C@@H](N2CC3=C(C2)CS(=O)(=O)C3)CO[C@@H]1c1cc(F)ccc1F,N[C@H]1C[C@@H](N2CC3=C(C2)CS(=O)(=O)C3)CO[C@@H]1c1cc(F)ccc1F,3.49485,0.0,1,10.1093/nar/gkw1074
dpp4_02,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,3.813603142857143,0.5411620419496759,7,10.1093/nar/gkw1074
dpp4_03,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(O)(CC(O)(C3)C1)C2,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(O)(CC(O)(C3)C1)C2,3.30103,0.0,1,10.1093/nar/gkw1074
dpp4_04,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,3.2947284999999997,0.5755505683919404,8,10.1093/nar/gkw1074
dpp4_05,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2cc(F)ccc2C#N)c1=O,3.39794,0.0,1,10.1093/nar/gkw1074
dpp4_06,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,1.6180956666666664,0.36151075780443015,3,10.1093/nar/gkw1074
dpp4_07,COc1cc2ccc3c(c2cc1OC)C[C@H](N)[C@@H](c1cc(F)c(F)cc1F)O3,COc1cc2ccc3c(c2cc1OC)C[C@H](N)[C@@H](c1cc(F)c(F)cc1F)O3,2.464706,0.0,2,10.1093/nar/gkw1074
dpp4_08,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074
dpp4_09,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,3.149354,0.0,2,10.1093/nar/gkw1074
dpp4_10,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,3.585027,0.0,1,10.1093/nar/gkw1074
dpp4_11,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,Cn1c(=O)cc(N2CCC[C@@H](N)C2)n(Cc2ccccc2C#N)c1=O,2.508638,0.0,1,10.1093/nar/gkw1074
dpp4_12,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,4.4076545,0.16295205061765816,2,10.1093/nar/gkw1074
dpp4_13,Cn1c(=O)c2c(nc(N3CCCC(N)C3)n2Cc2ccccc2)n(C)c1=O,Cn1c(=O)c2c(nc(N3CCCC(N)C3)n2Cc2ccccc2)n(C)c1=O,1.19382,0.0,1,10.1093/nar/gkw1074
dpp4_14,CC(C)=CCn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1)c(=O)n2C,CC(C)=CCn1c(N2CCC[C@H](N)C2)nc2c1c(=O)n(CC(=O)c1ccccc1)c(=O)n2C,2.730487,0.0,1,10.1093/nar/gkw1074
dpp4_15,COc1cc2c3c(ccc2cc1C#N)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1C#N)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,2.640165,0.0,1,10.1093/nar/gkw1074
