training_dataset,compound_id,feature_key,channel_radius,bit_id,canonical_smiles,representative_smiles,observed_pkoff,observed_pkoff_sd,n_measurements,source,occurrence_count,collision_or_repetition,atom_indices_json,occurrences_json,fragment_smiles_json,n_seeds,mean_delta_pkoff,sd_delta_pkoff,median_delta_pkoff,positive_seed_fraction,sign_consistency,mean_rank,top10_seed_fraction,delta_by_seed_json
2773,dpp4_09,r3_b1040,3,1040,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,3.149354,0.0,2,10.1093/nar/gkw1074,1,False,"[4, 5, 6, 7, 8, 9, 10, 26]","[{""center_atom"":7,""environment_radius"":2,""atom_indices"":[4,5,6,7,8,9,10,26],""fragment_smiles"":""cc(c(nn)CN)C""}]","[""cc(c(nn)CN)C""]",5,0.06171238422393799,0.0319611733602368,0.058970093727111816,1.0,1.0,8.4,0.8,"{""42"": 0.022183895111083984, ""142"": 0.10867547988891602, ""242"": 0.047128915786743164, ""342"": 0.07160353660583496, ""442"": 0.058970093727111816}"
2773,dpp4_07,r3_b1549,3,1549,COc1cc2ccc3c(c2cc1OC)C[C@H](N)[C@@H](c1cc(F)c(F)cc1F)O3,COc1cc2ccc3c(c2cc1OC)C[C@H](N)[C@@H](c1cc(F)c(F)cc1F)O3,2.464706,0.0,2,10.1093/nar/gkw1074,1,False,"[7, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27]","[{""center_atom"":18,""environment_radius"":3,""atom_indices"":[7,14,15,16,17,18,19,20,21,22,24,25,26,27],""fragment_smiles"":""cO[C@H](c1cc(F)ccc1F)[C@@H](N)C""}]","[""cO[C@H](c1cc(F)ccc1F)[C@@H](N)C""]",5,0.05012331008911133,0.044879862117867306,0.04723691940307617,1.0,1.0,22.0,0.6,"{""42"": 0.006208658218383789, ""142"": 0.04723691940307617, ""242"": 0.10542440414428711, ""342"": 0.08476829528808594, ""442"": 0.006978273391723633}"
2773,dpp4_08,r3_b1119,3,1119,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,1,False,"[4, 5, 6, 7, 8, 16, 17, 18, 19, 25, 27, 28, 29]","[{""center_atom"":16,""environment_radius"":3,""atom_indices"":[4,5,6,7,8,16,17,18,19,25,27,28,29],""fragment_smiles"":""ccc1c(c)C[C@H](N)[C@@H](c(c)c)O1""}]","[""ccc1c(c)C[C@H](N)[C@@H](c(c)c)O1""]",5,0.04926304817199707,0.03927161769439987,0.056595563888549805,0.8,0.8,27.0,0.6,"{""42"": -0.0023763179779052734, ""142"": 0.09285569190979004, ""242"": 0.07744169235229492, ""342"": 0.056595563888549805, ""442"": 0.02179861068725586}"
2773,dpp4_08,r3_b1851,3,1851,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,1,False,"[0, 1, 2, 3, 4, 10, 11, 12]","[{""center_atom"":2,""environment_radius"":2,""atom_indices"":[0,1,2,3,4,10,11,12],""fragment_smiles"":""ccc(OC)c(S)c""}]","[""ccc(OC)c(S)c""]",5,0.04861538410186768,0.035676916014262,0.05890250205993652,1.0,1.0,19.8,0.6,"{""42"": 0.01990509033203125, ""142"": 0.0717775821685791, ""242"": 0.05890250205993652, ""342"": 0.08875203132629395, ""442"": 0.0037397146224975586}"
2773,dpp4_10,r3_b1731,3,1731,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,Cc1cc(N2CCN([C@@H]3CN[C@H](C(=O)N4CCSC4)C3)CC2)n(-c2ccccc2)n1,3.585027,0.0,1,10.1093/nar/gkw1074,1,False,"[0, 1, 2, 29]","[{""center_atom"":1,""environment_radius"":1,""atom_indices"":[0,1,2,29],""fragment_smiles"":""cc(C)n""}]","[""cc(C)n""]",5,0.04818916320800781,0.03519721427562709,0.06700491905212402,1.0,1.0,22.8,0.6,"{""42"": 0.0080108642578125, ""142"": 0.07302260398864746, ""242"": 0.08083629608154297, ""342"": 0.06700491905212402, ""442"": 0.01207113265991211}"
2773,dpp4_08,r3_b370,3,370,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,1,False,"[0, 1, 2, 3, 4, 8, 9, 10, 11, 12, 13, 14, 15]","[{""center_atom"":11,""environment_radius"":3,""atom_indices"":[0,1,2,3,4,8,9,10,11,12,13,14,15],""fragment_smiles"":""cc1ccc(OC)c(S(C)(=O)=O)c1""}]","[""cc1ccc(OC)c(S(C)(=O)=O)c1""]",5,0.04669442176818848,0.0316846000925996,0.03896474838256836,1.0,1.0,11.8,0.4,"{""42"": 0.018958091735839844, ""142"": 0.03896474838256836, ""242"": 0.04695463180541992, ""342"": 0.10012197494506836, ""442"": 0.0284726619720459}"
2773,dpp4_08,r3_b1549,3,1549,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,COc1cc2c3c(ccc2cc1S(C)(=O)=O)O[C@H](c1cc(F)c(F)cc1F)[C@@H](N)C3,1.170053,0.0,1,10.1093/nar/gkw1074,1,False,"[6, 16, 17, 18, 19, 20, 21, 22, 24, 25, 26, 27, 28, 29]","[{""center_atom"":18,""environment_radius"":3,""atom_indices"":[6,16,17,18,19,20,21,22,24,25,26,27,28,29],""fragment_smiles"":""cO[C@H](c1cc(F)ccc1F)[C@@H](N)C""}]","[""cO[C@H](c1cc(F)ccc1F)[C@@H](N)C""]",5,0.04490485191345215,0.03720106037945612,0.03823995590209961,0.8,0.8,26.2,0.4,"{""42"": -0.0007462501525878906, ""142"": 0.03823995590209961, ""242"": 0.07543683052062988, ""342"": 0.08924651145935059, ""442"": 0.022347211837768555}"
2773,dpp4_12,r3_b1066,3,1066,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,4.4076545,0.16295205061765816,2,10.1093/nar/gkw1074,1,False,"[5, 6, 7, 9, 10, 11, 12]","[{""center_atom"":12,""environment_radius"":2,""atom_indices"":[5,6,7,9,10,11,12],""fragment_smiles"":""cN(C)C[C@H](N)C""}]","[""cN(C)C[C@H](N)C""]",5,0.04463176727294922,0.01951731618778624,0.04118514060974121,1.0,1.0,7.0,0.8,"{""42"": 0.03441786766052246, ""142"": 0.07022905349731445, ""242"": 0.04118514060974121, ""342"": 0.05711650848388672, ""442"": 0.02021026611328125}"
2773,dpp4_12,r3_b770,3,770,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,CC#CCn1c(N2CCC[C@@H](N)C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,4.4076545,0.16295205061765816,2,10.1093/nar/gkw1074,1,False,"[4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[{""center_atom"":12,""environment_radius"":3,""atom_indices"":[4,5,6,7,8,9,10,11,12,13],""fragment_smiles"":""nc(N1CCC[C@@H](N)C1)n""}]","[""nc(N1CCC[C@@H](N)C1)n""]",5,0.04384167194366455,0.024032052747455408,0.05082130432128906,1.0,1.0,13.2,0.6,"{""42"": 0.02340102195739746, ""142"": 0.05082130432128906, ""242"": 0.05470001697540283, ""342"": 0.07448863983154297, ""442"": 0.01579737663269043}"
2773,dpp4_13,r3_b1804,3,1804,Cn1c(=O)c2c(nc(N3CCCC(N)C3)n2Cc2ccccc2)n(C)c1=O,Cn1c(=O)c2c(nc(N3CCCC(N)C3)n2Cc2ccccc2)n(C)c1=O,1.19382,0.0,1,10.1093/nar/gkw1074,1,False,"[0, 1, 2, 4, 5, 6, 7, 15, 23, 24, 25, 26]","[{""center_atom"":23,""environment_radius"":3,""atom_indices"":[0,1,2,4,5,6,7,15,23,24,25,26],""fragment_smiles"":""cnc1c(n)cn(C)c(=O)n1C""}]","[""cnc1c(n)cn(C)c(=O)n1C""]",5,0.043123626708984376,0.04256828349403578,0.028018712997436523,1.0,1.0,21.2,0.6,"{""42"": 0.028018712997436523, ""142"": 0.10902762413024902, ""242"": 0.05965828895568848, ""342"": 0.017715930938720703, ""442"": 0.0011975765228271484}"
