training_dataset,compound_id,config_key,feature_count,seed_pair_count,mean_pairwise_spearman,mean_pairwise_top10_jaccard
2773,dpp4_01,w16_s4_sequence_mean,189,10,0.7439886951421106,0.20670501668953684
2773,dpp4_01,w8_s4_sequence_mean,191,10,0.7229295260402313,0.28893585774390723
2773,dpp4_01,w32_s4_sequence_mean,185,10,0.7547299192600736,0.1651002506265664
2773,dpp4_01,w16_s4_zero,189,10,0.7438285429886774,0.20670501668953684
2773,dpp4_02,w16_s4_sequence_mean,189,10,0.7333745711797225,0.20288097695218438
2773,dpp4_02,w8_s4_sequence_mean,191,10,0.7183037682557177,0.25221216691804926
2773,dpp4_02,w32_s4_sequence_mean,185,10,0.747283840642887,0.18640228021032973
2773,dpp4_02,w16_s4_zero,189,10,0.7333978563429853,0.20288097695218438
2773,dpp4_03,w16_s4_sequence_mean,189,10,0.7563005030306262,0.16589267285861714
2773,dpp4_03,w8_s4_sequence_mean,191,10,0.732985843207495,0.23696250429996563
2773,dpp4_03,w32_s4_sequence_mean,185,10,0.7763703043857323,0.15384615384615385
2773,dpp4_03,w16_s4_zero,189,10,0.7563360528982029,0.16589267285861714
2773,dpp4_04,w16_s4_sequence_mean,189,10,0.7494786611919871,0.12359821121431029
2773,dpp4_04,w8_s4_sequence_mean,191,10,0.7240145356847616,0.2438788335847159
2773,dpp4_04,w32_s4_sequence_mean,185,10,0.7733673856184375,0.1058688387635756
2773,dpp4_04,w16_s4_zero,189,10,0.7493929860111271,0.12359821121431029
2773,dpp4_05,w16_s4_sequence_mean,189,10,0.7685568531257223,0.15407145314266057
2773,dpp4_05,w8_s4_sequence_mean,191,10,0.7421691581702948,0.28109810725909795
2773,dpp4_05,w32_s4_sequence_mean,185,10,0.797013191311929,0.18512949039264828
2773,dpp4_05,w16_s4_zero,189,10,0.7686187098953057,0.15407145314266057
2773,dpp4_06,w16_s4_sequence_mean,189,10,0.7681828685188148,0.14941520467836258
2773,dpp4_06,w8_s4_sequence_mean,191,10,0.7364523629098925,0.22455648926237157
2773,dpp4_06,w32_s4_sequence_mean,185,10,0.7886839012925969,0.12383040935672514
2773,dpp4_06,w16_s4_zero,189,10,0.7679924989779414,0.14941520467836258
2773,dpp4_07,w16_s4_sequence_mean,189,10,0.756241312501111,0.1827485380116959
2773,dpp4_07,w8_s4_sequence_mean,191,10,0.7266641981262055,0.35311714429361485
2773,dpp4_07,w32_s4_sequence_mean,185,10,0.7758949622834617,0.20624355005159956
2773,dpp4_07,w16_s4_zero,189,10,0.7562322472848789,0.1827485380116959
2773,dpp4_08,w16_s4_sequence_mean,189,10,0.7499152135658295,0.22487100103199173
2773,dpp4_08,w8_s4_sequence_mean,191,10,0.7216030586938549,0.38168857286504343
2773,dpp4_08,w32_s4_sequence_mean,185,10,0.7690582237216178,0.20415376676986585
2773,dpp4_08,w16_s4_zero,189,10,0.749921968040669,0.22487100103199173
2773,dpp4_09,w16_s4_sequence_mean,189,10,0.7487566433815035,0.23366580100326226
2773,dpp4_09,w8_s4_sequence_mean,191,10,0.7302288853678698,0.30311714429361486
2773,dpp4_09,w32_s4_sequence_mean,185,10,0.7720078844623024,0.17598039215686273
2773,dpp4_09,w16_s4_zero,189,10,0.7487959259851757,0.23366580100326226
2773,dpp4_10,w16_s4_sequence_mean,189,10,0.7431866901295793,0.15215196739964543
2773,dpp4_10,w8_s4_sequence_mean,191,10,0.7215183246073298,0.27742225095166273
2773,dpp4_10,w32_s4_sequence_mean,185,10,0.7573693188279444,0.179656248464298
2773,dpp4_10,w16_s4_zero,189,10,0.7432263282319275,0.15215196739964543
2773,dpp4_11,w16_s4_sequence_mean,189,10,0.75137577987522,0.13621431028551773
2773,dpp4_11,w8_s4_sequence_mean,191,10,0.7315279691375034,0.26823062558356675
2773,dpp4_11,w32_s4_sequence_mean,185,10,0.7601474546074828,0.17291021671826626
2773,dpp4_11,w16_s4_zero,189,10,0.7513747133791927,0.13621431028551773
2773,dpp4_12,w16_s4_sequence_mean,189,10,0.7603963810234807,0.1501911830859199
2773,dpp4_12,w8_s4_sequence_mean,191,10,0.7258668021493524,0.26422135655881784
2773,dpp4_12,w32_s4_sequence_mean,185,10,0.7956582388840452,0.17345399698340874
2773,dpp4_12,w16_s4_zero,189,10,0.7603003963810235,0.1501911830859199
2773,dpp4_13,w16_s4_sequence_mean,189,10,0.7508887466894187,0.1625750840147125
2773,dpp4_13,w8_s4_sequence_mean,191,10,0.7216350923119317,0.2642623716153128
2773,dpp4_13,w32_s4_sequence_mean,185,10,0.7692329706986089,0.1800297311907219
2773,dpp4_13,w16_s4_zero,189,10,0.7506057697435079,0.1625750840147125
2773,dpp4_14,w16_s4_sequence_mean,189,10,0.7621091736433282,0.1468286099865047
2773,dpp4_14,w8_s4_sequence_mean,191,10,0.7247346031964728,0.2705939055784257
2773,dpp4_14,w32_s4_sequence_mean,185,10,0.7880576930366552,0.14918300653594768
2773,dpp4_14,w16_s4_zero,189,10,0.7620729127784,0.1468286099865047
2773,dpp4_15,w16_s4_sequence_mean,189,10,0.7510517428322581,0.18709150326797383
2773,dpp4_15,w8_s4_sequence_mean,191,10,0.7281597891981262,0.33628018008822963
2773,dpp4_15,w32_s4_sequence_mean,185,10,0.76616314771995,0.1579999206160197
2773,dpp4_15,w16_s4_zero,189,10,0.7510451661067563,0.18709150326797383
