training_dataset,seed,compound_id,canonical_smiles,representative_smiles,observed_pkoff,observed_pkoff_sd,n_measurements,source,feature_key,channel_radius,bit_id,occurrence_count,collision_or_repetition,atom_indices_json,occurrences_json,fragment_smiles_json,original_prediction,masked_prediction,delta_pkoff,checkpoint_sha256,rank_within_seed
2773,42,factor_xa_01,COC(=O)N1CC(C(=O)Nc2ccc(Cl)cn2)C(C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,Clc1cnc(NC(=O)C2C(C(=O)Nc3c(F)cc(N4C(=O)C=CC=C4)cc3)CN(C(=O)OC)C2)cc1,1.408935393,0.0,1,10.1021/acsomega.2c02156,r0_b378,0,378,1,False,[16],"[{""center_atom"":16,""environment_radius"":0,""atom_indices"":[16],""fragment_smiles"":""n""}]","[""n""]",3.1024539470672607,3.0932986736297607,0.0091552734375,fd63aa48c21ada4faba6977bc08f6b765c5964fd2a133a01c1d27b42327ac8de,63
2773,42,factor_xa_01,COC(=O)N1CC(C(=O)Nc2ccc(Cl)cn2)C(C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,Clc1cnc(NC(=O)C2C(C(=O)Nc3c(F)cc(N4C(=O)C=CC=C4)cc3)CN(C(=O)OC)C2)cc1,1.408935393,0.0,1,10.1021/acsomega.2c02156,r0_b650,0,650,4,True,"[3, 8, 19, 31]","[{""center_atom"":3,""environment_radius"":0,""atom_indices"":[3],""fragment_smiles"":""O""},{""center_atom"":8,""environment_radius"":0,""atom_indices"":[8],""fragment_smiles"":""O""},{""center_atom"":19,""environment_radius"":0,""atom_indices"":[19],""fragment_smiles"":""O""},{""center_atom"":31,""environment_radius"":0,""atom_indices"":[31],""fragment_smiles"":""O""}]","[""O"", ""O"", ""O"", ""O""]",3.1024539470672607,3.0884439945220947,0.014009952545166016,fd63aa48c21ada4faba6977bc08f6b765c5964fd2a133a01c1d27b42327ac8de,41
2773,42,factor_xa_01,COC(=O)N1CC(C(=O)Nc2ccc(Cl)cn2)C(C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,Clc1cnc(NC(=O)C2C(C(=O)Nc3c(F)cc(N4C(=O)C=CC=C4)cc3)CN(C(=O)OC)C2)cc1,1.408935393,0.0,1,10.1021/acsomega.2c02156,r0_b695,0,695,1,False,[1],"[{""center_atom"":1,""environment_radius"":0,""atom_indices"":[1],""fragment_smiles"":""O""}]","[""O""]",3.1024539470672607,3.089228868484497,0.013225078582763672,fd63aa48c21ada4faba6977bc08f6b765c5964fd2a133a01c1d27b42327ac8de,43
2773,42,factor_xa_01,COC(=O)N1CC(C(=O)Nc2ccc(Cl)cn2)C(C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,Clc1cnc(NC(=O)C2C(C(=O)Nc3c(F)cc(N4C(=O)C=CC=C4)cc3)CN(C(=O)OC)C2)cc1,1.408935393,0.0,1,10.1021/acsomega.2c02156,r0_b807,0,807,3,True,"[2, 7, 18]","[{""center_atom"":2,""environment_radius"":0,""atom_indices"":[2],""fragment_smiles"":""C""},{""center_atom"":7,""environment_radius"":0,""atom_indices"":[7],""fragment_smiles"":""C""},{""center_atom"":18,""environment_radius"":0,""atom_indices"":[18],""fragment_smiles"":""C""}]","[""C"", ""C"", ""C""]",3.1024539470672607,3.098716974258423,0.0037369728088378906,fd63aa48c21ada4faba6977bc08f6b765c5964fd2a133a01c1d27b42327ac8de,87
2773,42,factor_xa_01,COC(=O)N1CC(C(=O)Nc2ccc(Cl)cn2)C(C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,Clc1cnc(NC(=O)C2C(C(=O)Nc3c(F)cc(N4C(=O)C=CC=C4)cc3)CN(C(=O)OC)C2)cc1,1.408935393,0.0,1,10.1021/acsomega.2c02156,r0_b926,0,926,2,True,"[5, 35]","[{""center_atom"":5,""environment_radius"":0,""atom_indices"":[5],""fragment_smiles"":""C""},{""center_atom"":35,""environment_radius"":0,""atom_indices"":[35],""fragment_smiles"":""C""}]","[""C"", ""C""]",3.1024539470672607,3.1003592014312744,0.002094745635986328,fd63aa48c21ada4faba6977bc08f6b765c5964fd2a133a01c1d27b42327ac8de,94
2773,42,factor_xa_01,COC(=O)N1CC(C(=O)Nc2ccc(Cl)cn2)C(C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,Clc1cnc(NC(=O)C2C(C(=O)Nc3c(F)cc(N4C(=O)C=CC=C4)cc3)CN(C(=O)OC)C2)cc1,1.408935393,0.0,1,10.1021/acsomega.2c02156,r0_b935,0,935,2,True,"[4, 25]","[{""center_atom"":4,""environment_radius"":0,""atom_indices"":[4],""fragment_smiles"":""N""},{""center_atom"":25,""environment_radius"":0,""atom_indices"":[25],""fragment_smiles"":""n""}]","[""N"", ""n""]",3.1024539470672607,3.07560133934021,0.02685260772705078,fd63aa48c21ada4faba6977bc08f6b765c5964fd2a133a01c1d27b42327ac8de,12
2773,42,factor_xa_01,COC(=O)N1CC(C(=O)Nc2ccc(Cl)cn2)C(C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,Clc1cnc(NC(=O)C2C(C(=O)Nc3c(F)cc(N4C(=O)C=CC=C4)cc3)CN(C(=O)OC)C2)cc1,1.408935393,0.0,1,10.1021/acsomega.2c02156,r0_b1019,0,1019,2,True,"[6, 17]","[{""center_atom"":6,""environment_radius"":0,""atom_indices"":[6],""fragment_smiles"":""C""},{""center_atom"":17,""environment_radius"":0,""atom_indices"":[17],""fragment_smiles"":""C""}]","[""C"", ""C""]",3.1024539470672607,3.1068825721740723,-0.0044286251068115234,fd63aa48c21ada4faba6977bc08f6b765c5964fd2a133a01c1d27b42327ac8de,128
2773,42,factor_xa_01,COC(=O)N1CC(C(=O)Nc2ccc(Cl)cn2)C(C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,Clc1cnc(NC(=O)C2C(C(=O)Nc3c(F)cc(N4C(=O)C=CC=C4)cc3)CN(C(=O)OC)C2)cc1,1.408935393,0.0,1,10.1021/acsomega.2c02156,r0_b1057,0,1057,1,False,[0],"[{""center_atom"":0,""environment_radius"":0,""atom_indices"":[0],""fragment_smiles"":""C""}]","[""C""]",3.1024539470672607,3.141638994216919,-0.0391850471496582,fd63aa48c21ada4faba6977bc08f6b765c5964fd2a133a01c1d27b42327ac8de,189
2773,42,factor_xa_01,COC(=O)N1CC(C(=O)Nc2ccc(Cl)cn2)C(C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,Clc1cnc(NC(=O)C2C(C(=O)Nc3c(F)cc(N4C(=O)C=CC=C4)cc3)CN(C(=O)OC)C2)cc1,1.408935393,0.0,1,10.1021/acsomega.2c02156,r0_b1152,0,1152,2,True,"[9, 20]","[{""center_atom"":9,""environment_radius"":0,""atom_indices"":[9],""fragment_smiles"":""N""},{""center_atom"":20,""environment_radius"":0,""atom_indices"":[20],""fragment_smiles"":""N""}]","[""N"", ""N""]",3.1024539470672607,3.108217477798462,-0.005763530731201172,fd63aa48c21ada4faba6977bc08f6b765c5964fd2a133a01c1d27b42327ac8de,132
2773,42,factor_xa_01,COC(=O)N1CC(C(=O)Nc2ccc(Cl)cn2)C(C(=O)Nc2ccc(-n3ccccc3=O)cc2F)C1,Clc1cnc(NC(=O)C2C(C(=O)Nc3c(F)cc(N4C(=O)C=CC=C4)cc3)CN(C(=O)OC)C2)cc1,1.408935393,0.0,1,10.1021/acsomega.2c02156,r0_b1380,0,1380,6,True,"[10, 13, 21, 24, 30, 33]","[{""center_atom"":10,""environment_radius"":0,""atom_indices"":[10],""fragment_smiles"":""c""},{""center_atom"":13,""environment_radius"":0,""atom_indices"":[13],""fragment_smiles"":""c""},{""center_atom"":21,""environment_radius"":0,""atom_indices"":[21],""fragment_smiles"":""c""},{""center_atom"":24,""environment_radius"":0,""atom_indices"":[24],""fragment_smiles"":""c""},{""center_atom"":30,""environment_radius"":0,""atom_indices"":[30],""fragment_smiles"":""c""},{""center_atom"":33,""environment_radius"":0,""atom_indices"":[33],""fragment_smiles"":""c""}]","[""c"", ""c"", ""c"", ""c"", ""c"", ""c""]",3.1024539470672607,3.1158511638641357,-0.013397216796875,fd63aa48c21ada4faba6977bc08f6b765c5964fd2a133a01c1d27b42327ac8de,162
