training_dataset,compound_id,feature_key,channel_radius,bit_id,canonical_smiles,representative_smiles,observed_pkoff,observed_pkoff_sd,n_measurements,source,occurrence_count,collision_or_repetition,atom_indices_json,occurrences_json,fragment_smiles_json,n_seeds,mean_delta_pkoff,sd_delta_pkoff,median_delta_pkoff,positive_seed_fraction,sign_consistency,mean_rank,top10_seed_fraction,delta_by_seed_json
2773,factor_xa_06,r3_b983,3,983,N=C(N)NCCC[C@@H](NC(=O)CN1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1=O)C(=O)c1nccs1,NC(=N)NCCC[C@@H](NC(=O)CN1CCN(CC1=O)S(=O)(=O)c1ccc(Cl)cc1)C(=O)c1nccs1,0.721246399,0.0,1,10.1093/nar/gkv1072,1,False,"[0, 1, 2, 3, 4, 5]","[{""center_atom"":3,""environment_radius"":2,""atom_indices"":[0,1,2,3,4,5],""fragment_smiles"":""CCNC(=N)N""}]","[""CCNC(=N)N""]",5,0.045377492904663086,0.018451327492573,0.04993605613708496,1.0,1.0,8.4,0.8,"{""42"": 0.07011175155639648, ""142"": 0.04993605613708496, ""242"": 0.03428840637207031, ""342"": 0.051117897033691406, ""442"": 0.021433353424072266}"
2773,factor_xa_04,r3_b983,3,983,N=C(N)NCCCC(NC(=O)CN1CCN(S(=O)(=O)c2cccc3cccnc23)CC1=O)C(=O)c1nccs1,NC(=N)NCCCC(NC(=O)CN1CCN(CC1=O)S(=O)(=O)c1cccc2cccnc12)C(=O)c1nccs1,0.970616222,0.0,1,10.1093/nar/gkv1072,1,False,"[0, 1, 2, 3, 4, 5]","[{""center_atom"":3,""environment_radius"":2,""atom_indices"":[0,1,2,3,4,5],""fragment_smiles"":""CCNC(=N)N""}]","[""CCNC(=N)N""]",5,0.04463095664978027,0.016063095052895136,0.04127979278564453,1.0,1.0,9.4,0.8,"{""42"": 0.04127979278564453, ""142"": 0.06583094596862793, ""242"": 0.054639577865600586, ""342"": 0.03715324401855469, ""442"": 0.024251222610473633}"
2773,factor_xa_05,r3_b1066,3,1066,N=C(N)NCCC[C@@H](NC(=O)CN1CCN(S(=O)(=O)Cc2ccccc2)CC1=O)C(=O)c1nccs1,NC(=N)NCCC[C@@H](NC(=O)CN1CCN(CC1=O)S(=O)(=O)Cc1ccccc1)C(=O)c1nccs1,1.886056648,0.0,1,10.1093/nar/gkv1072,2,True,"[19, 20, 21, 22, 23, 24, 25]","[{""center_atom"":21,""environment_radius"":2,""atom_indices"":[19,20,21,22,23,25],""fragment_smiles"":""cccc(C)c""},{""center_atom"":25,""environment_radius"":2,""atom_indices"":[19,20,21,23,24,25],""fragment_smiles"":""cccc(C)c""}]","[""cccc(C)c"", ""cccc(C)c""]",5,0.039996337890625,0.019828838726840988,0.036035776138305664,1.0,1.0,8.8,0.8,"{""42"": 0.03229689598083496, ""142"": 0.03647494316101074, ""242"": 0.0737607479095459, ""342"": 0.036035776138305664, ""442"": 0.021413326263427734}"
2773,factor_xa_05,r3_b983,3,983,N=C(N)NCCC[C@@H](NC(=O)CN1CCN(S(=O)(=O)Cc2ccccc2)CC1=O)C(=O)c1nccs1,NC(=N)NCCC[C@@H](NC(=O)CN1CCN(CC1=O)S(=O)(=O)Cc1ccccc1)C(=O)c1nccs1,1.886056648,0.0,1,10.1093/nar/gkv1072,1,False,"[0, 1, 2, 3, 4, 5]","[{""center_atom"":3,""environment_radius"":2,""atom_indices"":[0,1,2,3,4,5],""fragment_smiles"":""CCNC(=N)N""}]","[""CCNC(=N)N""]",5,0.03956413269042969,0.012057423549773542,0.04323148727416992,1.0,1.0,8.8,0.8,"{""42"": 0.03511929512023926, ""142"": 0.05218029022216797, ""242"": 0.04627561569213867, ""342"": 0.04323148727416992, ""442"": 0.021013975143432617}"
2773,factor_xa_03,r3_b983,3,983,N=C(N)NCCCC(NC(=O)CN1CCN(S(=O)(=O)c2ccc3ccccc3c2)CC1=O)C(=O)c1nccs1,NC(=N)NCCCC(NC(=O)CN1CCN(CC1=O)S(=O)(=O)c1ccc2ccccc2c1)C(=O)c1nccs1,0.879426069,0.0,1,10.1093/nar/gkv1072,1,False,"[0, 1, 2, 3, 4, 5]","[{""center_atom"":3,""environment_radius"":2,""atom_indices"":[0,1,2,3,4,5],""fragment_smiles"":""CCNC(=N)N""}]","[""CCNC(=N)N""]",5,0.03890185356140137,0.018604206351886463,0.037817955017089844,1.0,1.0,14.8,0.6,"{""42"": 0.041205406188964844, ""142"": 0.06775856018066406, ""242"": 0.037817955017089844, ""342"": 0.030682086944580078, ""442"": 0.017045259475708008}"
2773,factor_xa_04,r3_b1040,3,1040,N=C(N)NCCCC(NC(=O)CN1CCN(S(=O)(=O)c2cccc3cccnc23)CC1=O)C(=O)c1nccs1,NC(=N)NCCCC(NC(=O)CN1CCN(CC1=O)S(=O)(=O)c1cccc2cccnc12)C(=O)c1nccs1,0.970616222,0.0,1,10.1093/nar/gkv1072,1,False,"[14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29]","[{""center_atom"":19,""environment_radius"":3,""atom_indices"":[14,15,16,17,18,19,20,21,22,23,24,26,27,28,29],""fragment_smiles"":""cnc1c(S(=O)(=O)N(C)C)cccc1c""}]","[""cnc1c(S(=O)(=O)N(C)C)cccc1c""]",5,0.03861889839172363,0.017178744952953753,0.04343461990356445,1.0,1.0,14.6,0.6,"{""42"": 0.02598428726196289, ""142"": 0.05863332748413086, ""242"": 0.048686981201171875, ""342"": 0.04343461990356445, ""442"": 0.016355276107788086}"
2773,factor_xa_06,r3_b1917,3,1917,N=C(N)NCCC[C@@H](NC(=O)CN1CCN(S(=O)(=O)c2ccc(Cl)cc2)CC1=O)C(=O)c1nccs1,NC(=N)NCCC[C@@H](NC(=O)CN1CCN(CC1=O)S(=O)(=O)c1ccc(Cl)cc1)C(=O)c1nccs1,0.721246399,0.0,1,10.1093/nar/gkv1072,2,True,"[9, 10, 29, 30]","[{""center_atom"":10,""environment_radius"":1,""atom_indices"":[9,10],""fragment_smiles"":""C=O""},{""center_atom"":30,""environment_radius"":1,""atom_indices"":[29,30],""fragment_smiles"":""C=O""}]","[""C=O"", ""C=O""]",5,0.03695063591003418,0.01914975711903749,0.042966365814208984,1.0,1.0,17.6,0.6,"{""42"": 0.042966365814208984, ""142"": 0.04371476173400879, ""242"": 0.06247282028198242, ""342"": 0.017747879028320312, ""442"": 0.01785135269165039}"
2773,factor_xa_07,r3_b983,3,983,N=C(N)NCCC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)NCC(=O)N[C@H](CCCNC(=N)N)C(=O)c1nccs1,NC(=N)NCCC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)NCC(=O)N[C@H](CCCNC(N)=N)C(=O)c1nccs1,-0.491361694,0.0,1,10.1093/nar/gkv1072,2,True,"[0, 1, 2, 3, 4, 5, 28, 29, 30, 31, 32, 33]","[{""center_atom"":3,""environment_radius"":2,""atom_indices"":[0,1,2,3,4,5],""fragment_smiles"":""CCNC(=N)N""},{""center_atom"":30,""environment_radius"":2,""atom_indices"":[28,29,30,31,32,33],""fragment_smiles"":""CCNC(=N)N""}]","[""CCNC(=N)N"", ""CCNC(=N)N""]",5,0.036880779266357425,0.014826335258382483,0.029612064361572266,1.0,1.0,11.8,0.6,"{""42"": 0.05157661437988281, ""142"": 0.02567005157470703, ""242"": 0.05422639846801758, ""342"": 0.029612064361572266, ""442"": 0.023318767547607422}"
2773,factor_xa_02,r3_b1452,3,1452,O=C(Nc1ccc(Cl)cn1)C1C[NH+](CC(F)F)CC1C(=O)Nc1ccc(-n2ccccc2=O)cc1F,Clc1cnc(NC(=O)C2C(C(=O)Nc3c(F)cc(N4C(=O)C=CC=C4)cc3)C[NH+](CC(F)F)C2)cc1,0.886056648,0.0,1,10.1021/acsomega.2c02156,1,False,"[3, 8, 9]","[{""center_atom"":9,""environment_radius"":1,""atom_indices"":[3,8,9],""fragment_smiles"":""cnc""}]","[""cnc""]",5,0.03617916107177734,0.02629447534304831,0.027612924575805664,1.0,1.0,16.4,0.4,"{""42"": 0.007309913635253906, ""142"": 0.050137996673583984, ""242"": 0.0742647647857666, ""342"": 0.021570205688476562, ""442"": 0.027612924575805664}"
2773,factor_xa_05,r2_b1066,2,1066,N=C(N)NCCC[C@@H](NC(=O)CN1CCN(S(=O)(=O)Cc2ccccc2)CC1=O)C(=O)c1nccs1,NC(=N)NCCC[C@@H](NC(=O)CN1CCN(CC1=O)S(=O)(=O)Cc1ccccc1)C(=O)c1nccs1,1.886056648,0.0,1,10.1093/nar/gkv1072,2,True,"[19, 20, 21, 22, 23, 24, 25]","[{""center_atom"":21,""environment_radius"":2,""atom_indices"":[19,20,21,22,23,25],""fragment_smiles"":""cccc(C)c""},{""center_atom"":25,""environment_radius"":2,""atom_indices"":[19,20,21,23,24,25],""fragment_smiles"":""cccc(C)c""}]","[""cccc(C)c"", ""cccc(C)c""]",5,0.03559622764587402,0.0407294064458488,0.018196821212768555,1.0,1.0,26.4,0.4,"{""42"": 0.009731292724609375, ""142"": 0.018196821212768555, ""242"": 0.008125782012939453, ""342"": 0.03626871109008789, ""442"": 0.10565853118896484}"
