training_dataset,compound_id,config_key,feature_count,seed_pair_count,mean_pairwise_spearman,mean_pairwise_top10_jaccard
2773,factor_xa_01,w16_s4_sequence_mean,119,10,0.6661259079903148,0.15603223745638606
2773,factor_xa_01,w8_s4_sequence_mean,121,10,0.6084385584609129,0.180718954248366
2773,factor_xa_01,w32_s4_sequence_mean,115,10,0.7313264420421368,0.21396997395449407
2773,factor_xa_01,w16_s4_zero,119,10,0.6671677823671842,0.15603223745638606
2773,factor_xa_02,w16_s4_sequence_mean,119,10,0.6049273607748185,0.12420389208314904
2773,factor_xa_02,w8_s4_sequence_mean,121,10,0.5597344533261074,0.17320261437908496
2773,factor_xa_02,w32_s4_sequence_mean,115,10,0.647644598753255,0.1410408562885343
2773,factor_xa_02,w16_s4_zero,119,10,0.6052699045719983,0.12420389208314904
2773,factor_xa_03,w16_s4_sequence_mean,119,10,0.75309286426435,0.24538382154481225
2773,factor_xa_03,w8_s4_sequence_mean,121,10,0.6898360655737703,0.27140522875816997
2773,factor_xa_03,w32_s4_sequence_mean,115,10,0.8026339461848023,0.2699059110823817
2773,factor_xa_03,w16_s4_zero,119,10,0.75293476712719,0.24538382154481225
2773,factor_xa_04,w16_s4_sequence_mean,119,10,0.702384275744196,0.17990196078431372
2773,factor_xa_04,w8_s4_sequence_mean,121,10,0.6430951090638122,0.15227406752174552
2773,factor_xa_04,w32_s4_sequence_mean,115,10,0.7357973644756569,0.22915376676986585
2773,factor_xa_04,w16_s4_zero,119,10,0.7030764848312206,0.17990196078431372
2773,factor_xa_05,w16_s4_sequence_mean,119,10,0.7805967810853155,0.21164799253034547
2773,factor_xa_05,w8_s4_sequence_mean,121,10,0.7173641782956237,0.24204014939309054
2773,factor_xa_05,w32_s4_sequence_mean,115,10,0.8358510218574924,0.26255296990591104
2773,factor_xa_05,w16_s4_zero,119,10,0.7805063381284718,0.21164799253034547
2773,factor_xa_06,w16_s4_sequence_mean,119,10,0.7380985614584817,0.2662231559290383
2773,factor_xa_06,w8_s4_sequence_mean,121,10,0.6850677414984416,0.22644185879479997
2773,factor_xa_06,w32_s4_sequence_mean,115,10,0.7810463189457904,0.25453414834219784
2773,factor_xa_06,w16_s4_zero,119,10,0.7379867540236434,0.2662231559290383
2773,factor_xa_07,w16_s4_sequence_mean,119,10,0.781379433129184,0.21833505331957345
2773,factor_xa_07,w8_s4_sequence_mean,121,10,0.7167985367836335,0.2595651080945199
2773,factor_xa_07,w32_s4_sequence_mean,115,10,0.8396228201688629,0.21217258833357905
2773,factor_xa_07,w16_s4_zero,119,10,0.7812718985899445,0.21833505331957345
