panel,target_name,evaluation,n,mse,rmse,mae,r2,pearson,spearman,kendall_tau,c_index
four_target,ALL,seed_42,43,1.0081482411458418,1.0040658549845431,0.8861354547969739,-0.23888035712275602,-0.06846862492048876,0.0330500483695773,0.040111576227892534,0.5201117318435754
four_target,ALL,seed_142,43,1.1471636176953472,1.0710572429591927,0.9407706941576448,-0.4097118006706413,-0.08967485518239383,0.07610953995965515,0.028969471720144607,0.5145251396648045
four_target,ALL,seed_242,43,0.8771507627146211,0.9365632721362829,0.7905027132208832,-0.07790184598971539,0.1542004944933594,0.10360718020314347,0.06908104794803714,0.5346368715083799
four_target,ALL,seed_342,43,1.3069525233859443,1.1432202427292584,1.0349168114748943,-0.6060711538558674,-0.1992069831178143,-0.1008120903981735,-0.057938943440289215,0.47094972067039104
four_target,ALL,seed_442,43,1.234404909843294,1.1110377625640337,1.0166654812386384,-0.5169197674764512,-0.14479239201524602,0.020887630569572855,0.006685262704648755,0.5033519553072626
four_target,ALL,five_seed_ensemble,43,1.0835146564403135,1.0409201008916646,0.9223387743016452,-0.33149567666044066,-0.08613186010949349,0.11388102381060064,0.07130946884958672,0.535754189944134
four_target,Dipeptidyl peptidase 4,seed_42,15,1.133041818602625,1.0644443708351436,0.9184669463863313,-0.35878205901019755,-0.12675056206774304,-0.07857142857142857,-0.009523809523809525,0.49523809523809526
four_target,Dipeptidyl peptidase 4,seed_142,15,1.3564225353056443,1.1646555436289496,1.0430800692612905,-0.6266677673764067,-0.16909680418436496,-0.1964285714285714,-0.1619047619047619,0.41904761904761906
four_target,Dipeptidyl peptidase 4,seed_242,15,1.3205308195738799,1.149143515655847,0.9929582691565135,-0.5836252083086735,-0.18637480888989028,-0.25,-0.14285714285714285,0.42857142857142855
four_target,Dipeptidyl peptidase 4,seed_342,15,1.368908611001655,1.1700036799094502,1.045413583156961,-0.6416414915273005,0.3837175969459085,0.38214285714285706,0.2761904761904762,0.638095238095238
four_target,Dipeptidyl peptidase 4,seed_442,15,1.4795789494463998,1.2163794430383965,1.1042850669597566,-0.774361103349541,0.18528600514725435,0.24642857142857136,0.12380952380952381,0.5619047619047619
four_target,Dipeptidyl peptidase 4,five_seed_ensemble,15,1.297088631079643,1.1388979897601204,1.0153866370891511,-0.5555125432446528,0.02089336929714843,0.08928571428571427,0.10476190476190476,0.5523809523809524
four_target,NK1R,seed_42,7,1.8633502228652794,1.3650458684107576,1.2422699268539517,-4.028596870299801,0.48079342246011836,0.14285714285714288,0.047619047619047616,0.5238095238095238
four_target,NK1R,seed_142,7,2.011716637758657,1.4183499701267868,1.2951405928518762,-4.42899121401217,-0.3878420217830727,-0.3571428571428572,-0.23809523809523808,0.38095238095238093
four_target,NK1R,seed_242,7,1.460422042153627,1.208479227026111,1.112934795889945,-2.941220292553417,0.8082579336401967,0.6071428571428572,0.5238095238095238,0.7619047619047619
four_target,NK1R,seed_342,7,2.303277837060868,1.5176553749322894,1.408142432586897,-5.215823295453877,0.5423433359485933,0.642857142857143,0.5238095238095238,0.7619047619047619
four_target,NK1R,seed_442,7,1.891202345418327,1.3752099277631495,1.2623355246995849,-4.103760999180573,-0.3683672017599778,-0.07142857142857144,-0.047619047619047616,0.47619047619047616
four_target,NK1R,five_seed_ensemble,7,1.887062146217145,1.3737038058537747,1.2492860747399555,-4.092587902201806,0.7102704988823407,0.5,0.3333333333333333,0.6666666666666666
four_target,V2R,seed_42,9,0.8946782116785903,0.9458743107192362,0.9227988442274646,-14.954043086006003,0.584535810091599,0.7999999999999999,0.6666666666666666,0.8333333333333334
four_target,V2R,seed_142,9,1.2337475668999458,1.1107418993177245,1.0857883679031712,-21.0003813467718,0.23510063547114823,0.4666666666666666,0.3333333333333333,0.6666666666666666
four_target,V2R,seed_242,9,0.47823571655576225,0.6915458889732208,0.6342538317534046,-7.52797478199744,-0.11953434266766776,-0.08333333333333334,0.0,0.5
four_target,V2R,seed_342,9,1.476120699953771,1.2149570774121081,1.1931058950383846,-25.32241731138534,0.2911549417884237,0.48333333333333334,0.2777777777777778,0.6388888888888888
four_target,V2R,seed_442,9,1.1453417005696591,1.0702063822317913,1.0555069301352948,-19.423913984452962,0.7236672843012532,0.6833333333333333,0.5,0.75
four_target,V2R,five_seed_ensemble,9,1.005019456314936,1.0025065866691032,0.9782907738115438,-16.92166557654252,0.3841952570560396,0.5666666666666667,0.3888888888888889,0.6944444444444444
four_target,sAC,seed_42,12,0.4382659687556303,0.6620165925077938,0.6104784395375061,-0.45718530216518793,0.6322953073785651,0.3774893476774887,0.31431805575746125,0.6637931034482759
four_target,sAC,seed_142,12,0.31632941374209606,0.562431696957147,0.4974049457306417,-0.05175990199807479,0.46715693278033416,0.01610144137012985,-0.01654305556618217,0.49137931034482757
four_target,sAC,seed_242,12,0.2818703965869383,0.5309146791970799,0.4665345478450012,0.06281247392270317,0.5255191346419451,0.10197579534415571,0.1158013889632752,0.5603448275862069
four_target,sAC,seed_342,12,0.5214415151300623,0.7221090742609888,0.6854390885510254,-0.7337346861397434,0.7276870472821922,0.3810674457597398,0.28123194462509693,0.646551724137931
four_target,sAC,seed_442,12,0.6116029298758692,0.7820504650442126,0.7347023870625305,-1.033511300698803,-0.06124183405396999,0.10197579534415571,0.049629166698546515,0.5258620689655172
four_target,sAC,five_seed_ensemble,12,0.40668255253203317,0.6377166710476002,0.5733456875958253,-0.3521739775490782,0.6384075074195125,0.17353775698917726,0.1819736112280039,0.5948275862068966
k4dd,ALL,seed_42,426,0.4906879796245007,0.7004912416472462,0.4636884302708443,0.3951715717905877,0.6639176081214809,0.6863410884222724,0.5304331884441471,0.7653192101015015
k4dd,ALL,seed_142,426,0.5022609325480253,0.7087036986978587,0.46529335800658317,0.3809065984936405,0.6605028071577667,0.672244330764921,0.518850133320596,0.759525441719555
k4dd,ALL,seed_242,426,0.5046831356414139,0.7104105402099647,0.4625317123237398,0.3779209592470879,0.6636115893113174,0.6616211597316909,0.509455479832983,0.7548262975166405
k4dd,ALL,seed_342,426,0.4196193685048575,0.6477803397023234,0.45969421596555093,0.4827716723502422,0.6955125327525049,0.7155881041578309,0.5553234939195643,0.7777691780367528
k4dd,ALL,seed_442,426,0.42334917084890894,0.6506528804584738,0.47334165946572826,0.47817426914706884,0.6950248245162958,0.7080891897506177,0.5322015938065213,0.7662037548926384
k4dd,ALL,five_seed_ensemble,426,0.4477844238427237,0.6691669626055397,0.44999820758835063,0.44805505637878806,0.6864105715567725,0.7080558167448001,0.5497309119610558,0.7749718051347825
k4dd,A1 receptor,seed_42,13,0.6396730204270731,0.7997956116577991,0.752695929014132,-1.6865678532589805,0.8325103249079417,0.429161341346969,0.2709733813985673,0.6363636363636364
k4dd,A1 receptor,seed_142,13,0.5468544271900937,0.739496062998373,0.6708202196271598,-1.2967382984518938,0.7711035489383801,0.40165099895293255,0.2709733813985673,0.6363636363636364
k4dd,A1 receptor,seed_242,13,0.6017063213269102,0.7756973129558399,0.7227863182658409,-1.5271112089428658,0.8170034284184268,0.5804682245141696,0.4258153136263201,0.7142857142857143
k4dd,A1 receptor,seed_342,13,0.45853590922016285,0.6771527960661189,0.5907409667238817,-0.925808645881776,0.7622154375591942,0.4621737522198128,0.29678037010319275,0.6493506493506493
