number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_best_epoch,user_attrs_output_dir,user_attrs_source,system_attrs_fixed_params,state
0,0.26155250143947595,2026-07-25 16:46:52.268597,2026-07-25 16:48:15.550591,0 days 00:01:23.281994,64,0.1,0.001,0.01,31,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0000,published_reimplementation_default,"{'lr': 0.001, 'weight_decay': 0.01, 'batch_size': 64, 'dropout': 0.1}",COMPLETE
1,0.23399149411201842,2026-07-25 16:48:15.646986,2026-07-25 16:50:21.525910,0 days 00:02:05.878924,8,0.2,3.196839887802081e-05,0.001,31,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0001,,,COMPLETE
2,0.25161969625989405,2026-07-25 16:50:21.592357,2026-07-25 16:52:40.177630,0 days 00:02:18.585273,64,0.3,0.00010570949451251919,0.0001,74,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0002,,,COMPLETE
3,0.25343223884288524,2026-07-25 16:52:40.251608,2026-07-25 16:53:49.415091,0 days 00:01:09.163483,64,0.0,0.0010555699712933647,0.0,19,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0003,,,COMPLETE
4,0.2527226469964452,2026-07-25 16:53:49.473428,2026-07-25 16:56:57.670002,0 days 00:03:08.196574,64,0.0,2.925837257538309e-05,0.01,117,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0004,,,COMPLETE
5,0.2644819519706313,2026-07-25 16:56:57.779982,2026-07-25 16:58:41.206394,0 days 00:01:43.426412,8,0.1,0.00035484392049755034,0.0001,23,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0005,,,COMPLETE
6,0.2517470502999524,2026-07-25 16:58:41.310405,2026-07-25 16:59:42.499568,0 days 00:01:01.189163,16,0.2,0.0004211518291984564,0.01,18,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0006,,,COMPLETE
7,0.2574607852600523,2026-07-25 16:59:42.602529,2026-07-25 17:01:02.771527,0 days 00:01:20.168998,64,0.1,0.00023710190963449062,0.001,28,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0007,,,COMPLETE
8,0.24886494753696634,2026-07-25 17:01:02.839375,2026-07-25 17:02:15.987453,0 days 00:01:13.148078,32,0.2,0.00030015946987714965,0.001,32,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0008,,,COMPLETE
9,0.25651078555653445,2026-07-25 17:02:16.065595,2026-07-25 17:03:11.196308,0 days 00:00:55.130713,32,0.2,0.0004013897182871736,1e-05,15,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0009,,,COMPLETE
10,0.2512530879853164,2026-07-25 17:03:11.270956,2026-07-25 17:08:35.362788,0 days 00:05:24.091832,8,0.3,1.1408218106734924e-05,1e-06,143,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0010,,,COMPLETE
11,0.24830939593006343,2026-07-25 17:08:35.440693,2026-07-25 17:10:47.658470,0 days 00:02:12.217777,32,0.2,5.7806538430939484e-05,0.001,87,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0011,,,COMPLETE
12,0.2368789212853582,2026-07-25 17:10:47.746045,2026-07-25 17:12:43.214822,0 days 00:01:55.468777,8,0.2,4.8407165134280544e-05,0.001,32,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0012,,,COMPLETE
13,0.2389528751333344,2026-07-25 17:12:43.286623,2026-07-25 17:14:44.462271,0 days 00:02:01.175648,8,0.2,2.9441573398970467e-05,0.001,32,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0013,,,COMPLETE
14,0.2368282516912749,2026-07-25 17:14:44.511431,2026-07-25 17:19:25.629284,0 days 00:04:41.117853,8,0.2,1.3239347149733037e-05,0.001,86,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0014,,,COMPLETE
15,0.24405723531676288,2026-07-25 17:19:25.729844,2026-07-25 17:23:38.468445,0 days 00:04:12.738601,8,0.2,1.0661648164712696e-05,0.0,86,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0015,,,COMPLETE
16,0.25044737089750596,2026-07-25 17:23:38.556599,2026-07-25 17:25:28.991984,0 days 00:01:50.435385,16,0.2,2.127204782803279e-05,1e-06,56,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0016,,,COMPLETE
17,0.2555800056227525,2026-07-25 17:25:29.082708,2026-07-25 17:26:53.853248,0 days 00:01:24.770540,8,0.0,9.063352891177713e-05,1e-05,14,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0017,,,COMPLETE
18,0.2408062085833417,2026-07-25 17:26:53.926321,2026-07-25 17:30:10.964987,0 days 00:03:17.038666,8,0.3,1.7815410875178876e-05,0.001,66,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/2773/stage1_run1/trial_0018,,,COMPLETE
