number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_best_epoch,user_attrs_output_dir,user_attrs_source,system_attrs_fixed_params,state
0,0.395429563091994,2026-07-25 13:40:09.937377,2026-07-25 13:42:46.944522,0 days 00:02:37.007145,64,0.1,0.001,0.01,26,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0000,published_reimplementation_default,"{'lr': 0.001, 'weight_decay': 0.01, 'batch_size': 64, 'dropout': 0.1}",COMPLETE
1,0.394637385307325,2026-07-25 13:42:47.007156,2026-07-25 13:46:42.283544,0 days 00:03:55.276388,8,0.2,3.196839887802081e-05,0.001,24,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0001,,,COMPLETE
2,0.3788984479899201,2026-07-25 13:46:42.382605,2026-07-25 13:50:08.494932,0 days 00:03:26.112327,64,0.3,0.00010570949451251919,0.0001,44,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0002,,,COMPLETE
3,0.41120059653874785,2026-07-25 13:50:08.614731,2026-07-25 13:53:05.603159,0 days 00:02:56.988428,64,0.0,0.0010555699712933647,0.0,33,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0003,,,COMPLETE
4,0.3758763699277363,2026-07-25 13:53:05.668676,2026-07-25 13:56:32.787709,0 days 00:03:27.119033,64,0.0,2.925837257538309e-05,0.01,44,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0004,,,COMPLETE
5,0.3842672554850746,2026-07-25 13:56:32.922603,2026-07-25 14:02:21.248291,0 days 00:05:48.325688,8,0.1,0.00035484392049755034,0.0001,60,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0005,,,COMPLETE
6,0.38632229874336305,2026-07-25 14:02:21.334737,2026-07-25 14:05:12.675247,0 days 00:02:51.340510,16,0.2,0.0004211518291984564,0.01,36,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0006,,,COMPLETE
7,0.3830758934703341,2026-07-25 14:05:12.798108,2026-07-25 14:08:09.731458,0 days 00:02:56.933350,64,0.1,0.00023710190963449062,0.001,33,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0007,,,COMPLETE
8,0.3914234251681337,2026-07-25 14:08:09.820712,2026-07-25 14:10:20.722811,0 days 00:02:10.902099,32,0.2,0.00030015946987714965,0.001,23,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0008,,,COMPLETE
9,0.42804405365598147,2026-07-25 14:10:20.784649,2026-07-25 14:12:53.031457,0 days 00:02:32.246808,32,0.2,0.0004013897182871736,1e-05,33,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0009,,,COMPLETE
10,0.39358855998038444,2026-07-25 14:12:53.126910,2026-07-25 14:15:56.740125,0 days 00:03:03.613215,16,0.0,1.1408218106734924e-05,1e-06,44,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0010,,,COMPLETE
11,0.3815472178327135,2026-07-25 14:15:56.808203,2026-07-25 14:18:27.923734,0 days 00:02:31.115531,64,0.3,6.977708747355053e-05,0.0001,25,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/attentiondta/KinetX/stage1_run1/trial_0011,,,COMPLETE
