number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_best_epoch,user_attrs_output_dir,user_attrs_source,system_attrs_fixed_params,state
0,0.25349488234595485,2026-07-25 01:35:12.473304,2026-07-25 01:35:47.494598,0 days 00:00:35.021294,64,0.1,0.001,0.01,13,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/deepdta/2773/stage1_run1/trial_0000,published_reimplementation_default,"{'lr': 0.001, 'weight_decay': 0.01, 'batch_size': 64, 'dropout': 0.1}",COMPLETE
1,0.24067146826882335,2026-07-25 01:35:47.573517,2026-07-25 01:37:23.633612,0 days 00:01:36.060095,32,0.3,3.494183707737564e-05,0.001,73,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/deepdta/2773/stage1_run1/trial_0001,,,COMPLETE
2,0.25285503872809284,2026-07-25 01:37:23.725177,2026-07-25 01:39:43.887783,0 days 00:02:20.162606,128,0.1,1.3162414734947469e-05,0.001,219,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/deepdta/2773/stage1_run1/trial_0002,,,COMPLETE
3,0.24849067939717207,2026-07-25 01:39:44.153799,2026-07-25 01:40:33.427277,0 days 00:00:49.273478,64,0.2,0.00014634050001104538,1e-06,32,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/deepdta/2773/stage1_run1/trial_0003,,,COMPLETE
4,0.24862410650070024,2026-07-25 01:40:33.496419,2026-07-25 01:43:19.583122,0 days 00:02:46.086703,128,0.3,1.1401976749919828e-05,0.01,295,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/deepdta/2773/stage1_run1/trial_0004,,,COMPLETE
5,0.2560991608930866,2026-07-25 01:43:19.666247,2026-07-25 01:43:54.113938,0 days 00:00:34.447691,64,0.1,0.002937340209291437,0.0001,11,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/deepdta/2773/stage1_run1/trial_0005,,,COMPLETE
6,0.23763718213156582,2026-07-25 01:43:54.201090,2026-07-25 01:44:39.325583,0 days 00:00:45.124493,64,0.3,0.00021032001200729414,0.001,26,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/deepdta/2773/stage1_run1/trial_0006,,,COMPLETE
7,0.24810724667062173,2026-07-25 01:44:39.384126,2026-07-25 01:45:58.689233,0 days 00:01:19.305107,32,0.1,5.0391690094171524e-05,0.0001,61,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/deepdta/2773/stage1_run1/trial_0007,,,COMPLETE
8,0.2547458493043891,2026-07-25 01:45:58.762908,2026-07-25 01:46:37.148901,0 days 00:00:38.385993,128,0.2,0.0016073852911823961,0.0001,28,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/deepdta/2773/stage1_run1/trial_0008,,,COMPLETE
9,0.247043995566186,2026-07-25 01:46:37.245406,2026-07-25 01:47:34.079154,0 days 00:00:56.833748,64,0.1,0.00011311010234447375,1e-06,44,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/deepdta/2773/stage1_run1/trial_0009,,,COMPLETE
