number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_best_epoch,user_attrs_output_dir,user_attrs_source,system_attrs_fixed_params,state
0,0.25683737255458455,2026-07-25 11:23:10.491672,2026-07-25 11:27:50.999109,0 days 00:04:40.507437,64,0.2,0.0005,0.0,77,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/2773/stage1_run1/trial_0000,published_reimplementation_default,"{'lr': 0.0005, 'weight_decay': 0.0, 'batch_size': 64, 'dropout': 0.2}",COMPLETE
1,0.3272757011665488,2026-07-25 11:27:51.097077,2026-07-25 11:28:32.947295,0 days 00:00:41.850218,32,0.3,2.7459414313177878e-05,0.001,23,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/2773/stage1_run1/trial_0001,,,COMPLETE
2,0.29098208775316614,2026-07-25 11:28:33.027235,2026-07-25 11:35:42.789475,0 days 00:07:09.762240,64,0.0,7.764889602690966e-05,0.0001,146,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/2773/stage1_run1/trial_0002,,,COMPLETE
3,0.2575320866680262,2026-07-25 11:35:42.866237,2026-07-25 11:36:37.076304,0 days 00:00:54.210067,32,0.0,0.0005738076294120294,0.0,50,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/2773/stage1_run1/trial_0003,,,COMPLETE
4,0.32519113505145253,2026-07-25 11:36:37.151633,2026-07-25 11:40:12.241725,0 days 00:03:35.090092,64,0.1,2.5424559933116626e-05,0.01,46,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/2773/stage1_run1/trial_0004,,,COMPLETE
5,0.28374732140945985,2026-07-25 11:40:12.318341,2026-07-25 11:41:36.740565,0 days 00:01:24.422224,32,0.0,0.0002224616981963028,0.0001,127,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/2773/stage1_run1/trial_0005,,,COMPLETE
6,0.32695753036366704,2026-07-25 11:41:36.817137,2026-07-25 11:45:15.966654,0 days 00:03:39.149517,64,0.3,0.00025818029364620956,0.01,46,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/2773/stage1_run1/trial_0006,,,COMPLETE
7,0.3284982115341608,2026-07-25 11:45:16.051324,2026-07-25 11:47:53.056614,0 days 00:02:37.005290,64,0.2,0.00015669694167112034,0.001,17,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/2773/stage1_run1/trial_0007,,,COMPLETE
8,0.3298704502516867,2026-07-25 11:47:53.133577,2026-07-25 11:50:27.409503,0 days 00:02:34.275926,128,0.3,0.00019234412011182153,0.001,24,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/2773/stage1_run1/trial_0008,,,COMPLETE
9,0.27040701199394057,2026-07-25 11:50:27.482100,2026-07-25 11:56:02.069732,0 days 00:05:34.587632,128,0.3,0.00024761745768624274,1e-05,119,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/2773/stage1_run1/trial_0009,,,COMPLETE
