number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_best_epoch,user_attrs_output_dir,user_attrs_source,system_attrs_fixed_params,state
0,0.3315134404176779,2026-07-25 02:39:15.596872,2026-07-25 02:49:02.677338,0 days 00:09:47.080466,64,0.2,0.0005,0.0,86,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/KinetX/stage1_run1/trial_0000,published_reimplementation_default,"{'lr': 0.0005, 'weight_decay': 0.0, 'batch_size': 64, 'dropout': 0.2}",COMPLETE
1,0.5253034260359112,2026-07-25 02:49:02.752499,2026-07-25 02:50:29.894709,0 days 00:01:27.142210,32,0.3,2.7459414313177878e-05,0.001,41,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/KinetX/stage1_run1/trial_0001,,,COMPLETE
2,0.3699691821352492,2026-07-25 02:50:29.988171,2026-07-25 02:58:30.108007,0 days 00:08:00.119836,64,0.0,7.764889602690966e-05,0.0001,61,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/KinetX/stage1_run1/trial_0002,,,COMPLETE
3,0.3557966994725157,2026-07-25 02:58:30.179787,2026-07-25 03:00:04.479449,0 days 00:01:34.299662,32,0.0,0.0005738076294120294,0.0,51,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/KinetX/stage1_run1/trial_0003,,,COMPLETE
4,0.5281116012327468,2026-07-25 03:00:04.546409,2026-07-25 03:07:05.221332,0 days 00:07:00.674923,64,0.1,2.5424559933116626e-05,0.01,47,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/KinetX/stage1_run1/trial_0004,,,COMPLETE
5,0.35676362926165117,2026-07-25 03:07:05.301762,2026-07-25 03:09:05.957371,0 days 00:02:00.655609,32,0.0,0.0002224616981963028,0.0001,74,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/KinetX/stage1_run1/trial_0005,,,COMPLETE
6,0.5291449016475674,2026-07-25 03:09:06.060580,2026-07-25 03:14:17.264211,0 days 00:05:11.203631,64,0.3,0.00025818029364620956,0.01,20,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/KinetX/stage1_run1/trial_0006,,,COMPLETE
7,0.5239704961432248,2026-07-25 03:14:17.353514,2026-07-25 03:24:40.912885,0 days 00:10:23.559371,64,0.2,0.00015669694167112034,0.001,96,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/KinetX/stage1_run1/trial_0007,,,COMPLETE
8,0.5280478552618487,2026-07-25 03:24:41.021497,2026-07-25 03:34:06.343651,0 days 00:09:25.322154,128,0.3,0.00019234412011182153,0.001,96,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/KinetX/stage1_run1/trial_0008,,,COMPLETE
9,0.3354481577091672,2026-07-25 03:34:06.422525,2026-07-25 03:45:18.772930,0 days 00:11:12.350405,128,0.3,0.00024761745768624274,1e-05,124,<BIO_PROJECT_ROOT>/re-implementation/aligned_baselines/hyperparameter_tuning/graphdta/KinetX/stage1_run1/trial_0009,,,COMPLETE
