number,state,value,lr,weight_decay,batch_size,dropout,window_size,best_epoch,output_dir
0,COMPLETE,0.21964813053392762,0.0001,0.01,64,0.17,2,16,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0000
1,COMPLETE,0.21858111271359,2.3586399722419837e-05,0.001,16,0.17,4,21,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0001
2,COMPLETE,0.22722493182020498,2.4774332740870576e-05,1e-05,32,0.2,2,21,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0002
3,COMPLETE,0.2210374822039897,2.2827299533576897e-05,0.0001,16,0.15,6,31,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0003
4,COMPLETE,0.21331795114042096,2.509947072248055e-05,0.0,64,0.25,1,73,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0004
5,COMPLETE,0.23411220430467103,0.0002809502824811888,1e-05,16,0.2,4,14,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0005
6,COMPLETE,0.21874593569483566,0.00036310384283730053,0.0001,32,0.17,4,8,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0006
7,COMPLETE,0.21916045350718585,0.00021094994354355887,0.0,32,0.15,6,21,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0007
8,COMPLETE,0.22841652894278294,0.00016763335582629897,0.0001,64,0.2,2,10,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0008
9,COMPLETE,0.2211318678804253,0.00030369724354883156,1e-06,32,0.15,2,25,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0009
10,COMPLETE,0.21832825560862407,1.1021656868068353e-05,0.0,64,0.25,1,47,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0010
11,COMPLETE,0.215840072838408,1.1031599858689705e-05,0.0,64,0.25,1,56,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0011
12,COMPLETE,0.22050818295255034,1.0215402869285893e-05,0.0,64,0.25,1,56,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0012
13,COMPLETE,0.21864174935791897,4.7769245649300444e-05,0.0,64,0.1,8,16,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0013
14,COMPLETE,0.21665057894985598,4.385901436670904e-05,0.0,64,0.25,1,22,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0014
15,COMPLETE,0.21865169924519123,1.7001042942833136e-05,0.001,64,0.05,1,36,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0015
16,COMPLETE,0.22948530176486348,4.399581656772717e-05,0.01,64,0.3,1,16,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0016
17,COMPLETE,0.21380439303842264,1.2512272896207036e-05,1e-06,64,0.25,8,56,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0017
18,COMPLETE,0.22326417434086437,7.82092809949002e-05,1e-06,64,0.25,8,16,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0018
19,COMPLETE,0.23015344293539275,1.6258413004194808e-05,1e-06,16,0.1,8,21,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0019
20,COMPLETE,0.22643911106922135,3.246313319540861e-05,1e-06,64,0.05,8,23,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0020
21,COMPLETE,0.21786455987592898,1.4278443578217656e-05,0.0,64,0.25,1,37,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0021
22,COMPLETE,0.21565260869931657,1.4071639844617315e-05,0.0,64,0.25,1,62,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0022
23,COMPLETE,0.217058216191371,1.8943849997110554e-05,1e-06,64,0.25,8,36,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0023
24,COMPLETE,0.2271723316894972,2.9208505053413624e-05,0.0,64,0.3,1,29,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0024
25,COMPLETE,0.21572365743588884,1.2644914794454151e-05,0.001,64,0.25,6,47,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0025
26,COMPLETE,0.22106701200189144,3.420998240634058e-05,0.01,64,0.25,8,36,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0026
27,COMPLETE,0.20650128250948357,6.244661567495738e-05,1e-05,64,0.25,1,21,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0027
28,COMPLETE,0.22067854012823276,0.00011564218821836787,1e-05,16,0.25,1,15,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0028
29,COMPLETE,0.21074406592854525,7.524967075300103e-05,1e-05,32,0.1,8,8,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/2773/stage1_run1/trial_0029
