number,state,value,lr,weight_decay,batch_size,dropout,window_size,best_epoch,output_dir
0,COMPLETE,0.31411855185733123,0.0001,0.01,64,0.17,2,12,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0000
1,COMPLETE,0.3157513018916635,2.3586399722419837e-05,0.001,16,0.17,4,23,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0001
2,COMPLETE,0.2972796313902911,2.4774332740870576e-05,1e-05,32,0.2,2,81,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0002
3,COMPLETE,0.3129945673486766,2.2827299533576897e-05,0.0001,16,0.15,6,23,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0003
4,COMPLETE,0.3303135221495348,2.509947072248055e-05,0.0,64,0.25,1,39,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0004
5,COMPLETE,0.3611219757620026,0.0002809502824811888,1e-05,16,0.2,4,8,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0005
6,COMPLETE,0.36208659498130574,0.00036310384283730053,0.0001,32,0.17,4,21,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0006
7,COMPLETE,0.35667872165932374,0.00021094994354355887,0.0,32,0.15,6,9,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0007
8,COMPLETE,0.34212833818267374,0.00016763335582629897,0.0001,64,0.2,2,12,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0008
9,COMPLETE,0.3494906302760629,0.00030369724354883156,1e-06,32,0.15,2,9,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0009
10,COMPLETE,0.33515193707802715,1.1021656868068353e-05,1e-05,32,0.3,8,43,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0010
11,COMPLETE,0.32058844233260436,3.743743637119391e-05,0.0001,16,0.05,6,21,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0011
12,COMPLETE,0.3324173092842102,1.0450465334252552e-05,1e-05,16,0.1,6,34,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0012
13,COMPLETE,0.32452177124864917,5.3930167978667536e-05,0.001,32,0.2,8,52,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0013
14,COMPLETE,0.3250880320282543,1.88016870090155e-05,0.01,16,0.15,1,23,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0014
15,COMPLETE,0.32922143532949333,7.26722684061858e-05,1e-05,32,0.05,6,30,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0015
16,COMPLETE,0.32196025243576837,3.786665870970612e-05,1e-06,16,0.1,2,24,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0016
17,COMPLETE,0.3278783669366556,1.5025944062439215e-05,0.0001,16,0.3,6,24,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0017
18,COMPLETE,0.3108074441552162,3.413106861806012e-05,0.0001,32,0.25,2,34,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0018
19,COMPLETE,0.3275069576852462,3.873649352195693e-05,1e-05,32,0.25,2,12,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0019
20,COMPLETE,0.36486781782963695,0.0001040811228935199,1e-06,32,0.25,2,12,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0020
21,COMPLETE,0.30374780998510476,2.880702185547885e-05,0.0001,32,0.2,2,64,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0021
22,COMPLETE,0.32348131344598885,5.325759366892307e-05,0.0001,32,0.2,2,28,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0022
23,COMPLETE,0.3102651860784082,1.600483811502888e-05,0.0001,32,0.2,2,34,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0023
24,COMPLETE,0.311802839531618,1.5101525456727954e-05,0.0001,32,0.2,2,34,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0024
25,COMPLETE,0.3194393331513685,1.6499269158043027e-05,0.001,32,0.2,2,37,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_fcfp/KinetX/stage1_run1/trial_0025
