number,state,value,lr,weight_decay,batch_size,dropout,window_size,best_epoch,output_dir
0,COMPLETE,0.23771953238476914,0.0001,0.01,64,0.17,2,25,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0000
1,COMPLETE,0.24788547293804183,2.3586399722419837e-05,0.001,16,0.17,4,16,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0001
2,COMPLETE,0.2464700898538858,2.4774332740870576e-05,1e-05,32,0.2,2,21,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0002
3,COMPLETE,0.25320197781716014,2.2827299533576897e-05,0.0001,16,0.15,6,13,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0003
4,COMPLETE,0.2526330259302463,2.509947072248055e-05,0.0,64,0.25,1,16,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0004
5,COMPLETE,0.23320408342977725,0.0002809502824811888,1e-05,16,0.2,4,35,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0005
6,COMPLETE,0.24588479892441512,0.00036310384283730053,0.0001,32,0.17,4,6,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0006
7,COMPLETE,0.2640071311151938,0.00021094994354355887,0.0,32,0.15,6,19,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0007
8,COMPLETE,0.239938026731195,0.00016763335582629897,0.0001,64,0.2,2,11,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0008
9,COMPLETE,0.23204475017230863,0.00030369724354883156,1e-06,32,0.15,2,25,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0009
10,COMPLETE,0.2507838497093008,6.245682587644499e-05,1e-06,32,0.3,8,12,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0010
11,COMPLETE,0.244712910389642,0.00046213804166586825,1e-06,16,0.05,4,13,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0011
12,COMPLETE,0.2597381244497609,0.0002259882124801502,1e-05,16,0.1,1,10,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0012
13,COMPLETE,0.24578906913096293,8.307123871774958e-05,1e-05,16,0.2,8,13,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0013
14,COMPLETE,0.23778876759084983,1.1350288829238306e-05,1e-06,32,0.15,4,28,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0014
15,COMPLETE,0.23240424837876744,0.00032237252813740894,0.001,32,0.05,2,8,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0015
16,COMPLETE,0.24188715284051449,0.00013839995417256273,0.001,32,0.05,2,6,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0016
17,COMPLETE,0.24287083174777804,0.0004987396407880646,0.001,32,0.05,2,6,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0017
18,COMPLETE,0.23905707868858364,5.508721337381501e-05,0.01,32,0.25,2,10,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0018
19,COMPLETE,0.22567346121860324,0.0001333773709704341,1e-06,32,0.1,2,51,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0019
20,COMPLETE,0.24465853987187686,0.00012717539177954618,1e-06,32,0.1,2,8,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0020
21,COMPLETE,0.25375501773848,0.0003012979146860329,1e-06,32,0.1,2,10,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/2773/stage1_run1/trial_0021
