number,state,value,lr,weight_decay,batch_size,dropout,window_size,best_epoch,output_dir
0,COMPLETE,0.33974472214193907,0.0001,0.01,64,0.17,2,16,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0000
1,COMPLETE,0.31999079707790823,2.3586399722419837e-05,0.001,16,0.17,4,17,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0001
2,COMPLETE,0.3481965512037277,2.4774332740870576e-05,1e-05,32,0.2,2,23,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0002
3,COMPLETE,0.32423091855119257,2.2827299533576897e-05,0.0001,16,0.15,6,17,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0003
4,COMPLETE,0.3126136152183308,2.509947072248055e-05,0.0,64,0.25,1,38,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0004
5,COMPLETE,0.33374103399760585,0.0002809502824811888,1e-05,16,0.2,4,23,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0005
6,COMPLETE,0.35767608618035035,0.00036310384283730053,0.0001,32,0.17,4,14,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0006
7,COMPLETE,0.36902308113434734,0.00021094994354355887,0.0,32,0.15,6,10,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0007
8,COMPLETE,0.33963098596124086,0.00016763335582629897,0.0001,64,0.2,2,12,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0008
9,COMPLETE,0.32843979579560895,0.00030369724354883156,1e-06,32,0.15,2,39,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0009
10,COMPLETE,0.3082507690962623,1.1021656868068353e-05,0.0,64,0.25,1,39,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0010
11,COMPLETE,0.3118179966421688,1.1031599858689705e-05,0.0,64,0.25,1,39,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0011
12,COMPLETE,0.315755191971274,1.0381608539514789e-05,0.0,64,0.25,1,39,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0012
13,COMPLETE,0.331384399357964,1.068883724279939e-05,0.0,64,0.1,8,23,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0013
14,COMPLETE,0.3259829633376178,5.104090997452306e-05,0.0,64,0.25,1,24,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0014
15,COMPLETE,0.308412071536569,4.192769376933532e-05,0.001,64,0.05,1,34,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0015
16,COMPLETE,0.3083956346792333,4.639874807526627e-05,0.001,64,0.05,1,34,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0016
17,COMPLETE,0.36571848217178793,8.222092281570692e-05,0.001,64,0.3,8,24,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/corrected_model_window_search_results_v4/mgca_morgan/KinetX/stage1_run1/trial_0017
