number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,user_attrs_best_epoch,user_attrs_output_dir,user_attrs_source,system_attrs_fixed_params,state
0,0.3541567325592041,2026-07-31 17:41:07.339023,2026-07-31 17:54:43.655427,0 days 00:13:36.316404,64,0.2,0.0005,0.0,34,<BIO_PROJECT_ROOT>/cross_dataset_bayesian_tuning/hyperparameter_tuning/moe/KinetX/stage1_run1/trial_0000,published_reimplementation_default,"{'lr': 0.0005, 'weight_decay': 0.0, 'batch_size': 64, 'dropout': 0.2}",COMPLETE
1,0.5114401578903198,2026-07-31 17:54:43.814942,2026-07-31 18:29:55.234684,0 days 00:35:11.419742,16,0.2,3.196839887802081e-05,0.001,47,<BIO_PROJECT_ROOT>/cross_dataset_bayesian_tuning/hyperparameter_tuning/moe/KinetX/stage1_run1/trial_0001,,,COMPLETE
2,0.49140167236328125,2026-07-31 18:29:55.339800,2026-07-31 18:44:56.431755,0 days 00:15:01.091955,128,0.3,0.00010570949451251919,0.0001,49,<BIO_PROJECT_ROOT>/cross_dataset_bayesian_tuning/hyperparameter_tuning/moe/KinetX/stage1_run1/trial_0002,,,COMPLETE
3,0.38358089327812195,2026-07-31 18:44:56.531277,2026-07-31 18:54:12.938996,0 days 00:09:16.407719,128,0.0,0.0010555699712933647,0.0,20,<BIO_PROJECT_ROOT>/cross_dataset_bayesian_tuning/hyperparameter_tuning/moe/KinetX/stage1_run1/trial_0003,,,COMPLETE
4,0.6678432822227478,2026-07-31 18:54:12.999889,2026-07-31 19:08:59.851769,0 days 00:14:46.851880,128,0.0,2.925837257538309e-05,0.01,50,<BIO_PROJECT_ROOT>/cross_dataset_bayesian_tuning/hyperparameter_tuning/moe/KinetX/stage1_run1/trial_0004,,,COMPLETE
5,0.3529421389102936,2026-07-31 19:08:59.927583,2026-07-31 19:26:22.511000,0 days 00:17:22.583417,16,0.1,0.00035484392049755034,0.0001,24,<BIO_PROJECT_ROOT>/cross_dataset_bayesian_tuning/hyperparameter_tuning/moe/KinetX/stage1_run1/trial_0005,,,COMPLETE
6,0.37581008672714233,2026-07-31 19:26:22.582633,2026-07-31 19:40:31.643202,0 days 00:14:09.060569,32,0.2,0.0004211518291984564,0.01,30,<BIO_PROJECT_ROOT>/cross_dataset_bayesian_tuning/hyperparameter_tuning/moe/KinetX/stage1_run1/trial_0006,,,COMPLETE
7,0.4021679759025574,2026-07-31 19:40:31.721851,2026-07-31 19:54:46.457536,0 days 00:14:14.735685,128,0.1,0.00023710190963449062,0.001,49,<BIO_PROJECT_ROOT>/cross_dataset_bayesian_tuning/hyperparameter_tuning/moe/KinetX/stage1_run1/trial_0007,,,COMPLETE
8,0.3427869975566864,2026-07-31 19:54:46.534894,2026-07-31 20:08:36.508889,0 days 00:13:49.973995,64,0.2,0.00030015946987714965,0.001,42,<BIO_PROJECT_ROOT>/cross_dataset_bayesian_tuning/hyperparameter_tuning/moe/KinetX/stage1_run1/trial_0008,,,COMPLETE
9,0.3586461842060089,2026-07-31 20:08:36.557834,2026-07-31 20:20:47.847584,0 days 00:12:11.289750,64,0.2,0.0004013897182871736,1e-05,34,<BIO_PROJECT_ROOT>/cross_dataset_bayesian_tuning/hyperparameter_tuning/moe/KinetX/stage1_run1/trial_0009,,,COMPLETE
10,0.453829288482666,2026-07-31 20:20:47.906911,2026-07-31 20:34:19.154285,0 days 00:13:31.247374,64,0.3,8.674951390251362e-05,1e-06,49,<BIO_PROJECT_ROOT>/cross_dataset_bayesian_tuning/hyperparameter_tuning/moe/KinetX/stage1_run1/trial_0010,,,COMPLETE
11,0.4132665991783142,2026-07-31 20:34:19.235526,2026-07-31 20:59:52.530755,0 days 00:25:33.295229,16,0.1,0.0010721622393458034,0.0001,35,<BIO_PROJECT_ROOT>/cross_dataset_bayesian_tuning/hyperparameter_tuning/moe/KinetX/stage1_run1/trial_0011,,,COMPLETE
12,0.6749218106269836,2026-07-31 20:59:52.606690,2026-07-31 21:27:02.966592,0 days 00:27:10.359902,16,0.1,1.0839763516199638e-05,0.0001,50,<BIO_PROJECT_ROOT>/cross_dataset_bayesian_tuning/hyperparameter_tuning/moe/KinetX/stage1_run1/trial_0012,,,COMPLETE
