epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.0762243151787503,1.1838467482066917,0.4240739047527313,0.6512095928192139,0.5198932886123657,0.31205599303129394,0.5724421191600576,0.5718378132282557,0.30000001198231374,0.0,0.30000001198231374,0.0,9.633429683691196,50.819549560546875,5.0,1.7076211189851165,0.017167250625789165,5,5.9260857797183374e-05,0.10762243331184594,0.0,0.0,0.0,0.0,0.0,9.99999974962673e-05,9.99999974962673e-05,0.0,0.0,0.03069465833761174,0.0,0.0,0.14113149448968354,0.23608664356471334,0.2968011201962629,0.3389874995061715,0.30106731411357374,0.1877861833228633,0.261000071446019,0.2371396699231636
2,False,False,0.6013387883605721,0.6614726692223278,0.3578767776489258,0.5982280373573303,0.4722484052181244,0.4194428071681857,0.6609098440667402,0.6068405655814044,0.30000001198231374,0.0,0.30000001198231374,0.0,9.245351701514483,26.346803665161133,5.0,0.688818066380918,0.015716328285634518,5,5.9260857797183374e-05,0.06013388012897465,0.0,0.0,0.0,0.0,0.0,9.99999974962673e-05,9.99999974962673e-05,0.0,0.0,0.029759261346624512,0.0,0.0,0.04759561714747907,0.23608664307363492,0.32106356714093476,0.33898749484092644,0.14858870955623388,0.18778618086747112,0.48275210020102627,0.23713967262409497
3,False,False,0.5056150164589455,0.5561765194184748,0.33455610275268555,0.5784082412719727,0.43617722392082214,0.4572741425474899,0.6887572872750376,0.6541582493427978,0.30000001198231374,0.0,0.30000001198231374,0.0,9.945598851762766,25.628557205200195,5.0,0.7127460082992911,0.016885552555322647,5,5.9260857797183374e-05,0.05056150228045996,0.0,0.0,0.0,0.0,0.0,9.99999974962673e-05,9.99999974962673e-05,0.0,0.0,0.029482326074191642,0.0,0.0,0.044985641718647384,0.2360866425825565,0.22626134909758483,0.3389875056446519,0.14131514223179292,0.1877861793942358,0.5874378752389234,0.23713967090532045
4,False,False,0.4735912886265009,0.5209504162737318,0.3181982934474945,0.5640906691551208,0.4166281819343567,0.4838101972872877,0.7091299912545665,0.6587206589851715,0.30000001198231374,0.0,0.30000001198231374,0.0,8.224353116523593,25.210763931274414,5.0,0.7139865355566144,0.01904360018670559,5,5.9260857797183374e-05,0.04735912967676606,0.0,0.0,0.0,0.0,0.0,9.99999974962673e-05,9.99999974962673e-05,0.0,0.0,0.029471372047978252,0.0,0.0,0.05081654613958451,0.2360866423370173,0.20397615432739258,0.3389874972963186,0.1474268319800757,0.18778618381394171,0.5977804736914276,0.237139666976693
5,False,False,0.4631256399451766,0.5094382095349191,0.31235116720199585,0.5588838458061218,0.407075971364975,0.49329564945125237,0.7211696823359283,0.6844719599907706,0.30000001198231374,0.0,0.30000001198231374,0.0,11.575798971645618,34.84394454956055,5.0,0.7331236712634563,0.01666726265102625,5,5.9260857797183374e-05,0.04631256474417957,0.0,0.0,0.0,0.0,0.0,9.99999974962673e-05,9.99999974962673e-05,0.0,0.0,0.02922915534550817,0.0,0.0,0.04283427783929725,0.23608664479240943,0.15964585917126137,0.3389874995061715,0.1075789490148778,0.1877861806219319,0.6899409053499986,0.23713966943208517
6,True,False,0.40263237999838486,0.44738164777367784,0.2901206314563751,0.5386284589767456,0.4000932574272156,0.529358602319745,0.754425865814047,0.7258974671195253,0.30000001198231374,0.0,0.30000001198231374,0.0,7.446230517602483,21.489749908447266,5.0,0.7704711323603988,0.016583366319537163,5,5.9260857797183374e-05,0.04353234476873116,0.0,0.0012169248588962517,0.0,0.0,0.25396499034673375,9.99999974962673e-05,0.25393648471694774,0.0,0.8465499485066942,0.05903969648323884,0.0,0.1300820162563933,0.04233473913799722,0.23996725607851385,0.15134233672144976,0.3354151089331394,0.132975349711095,0.18591369192828602,0.6733475684137472,0.23870393716711955
7,True,False,0.32181459404413043,0.366308052464936,0.24127048254013062,0.49119290709495544,0.3699031472206116,0.6086045733041499,0.7807929950825979,0.7536200626681523,0.30000001198231374,0.0,0.30000001198231374,0.0,9.180781923288174,21.18177604675293,5.0,0.7343914685770869,0.02200463507324457,5,5.9260857797183374e-05,0.04315750793880955,0.0,0.0013359514700875155,0.0,0.0,0.25458291237435304,9.99999974962673e-05,0.2545593867709536,0.0,0.8486096807415036,0.12423689701775689,0.0,0.22373515950663572,0.040923017981614684,0.24261283211555834,0.14443581750046702,0.33397446184521723,0.10430764292590282,0.18296929834799958,0.7103335245998709,0.2404434040081366
8,True,False,0.2738128195676941,0.3175938974386877,0.2719506323337555,0.5214888453483582,0.39457467198371887,0.5588344232444296,0.7760644906249121,0.7452298394678536,0.30000001198231374,0.0,0.30000001198231374,0.0,9.785932181424142,24.807634353637695,5.0,0.7408284926787019,0.02006383426487446,5,5.9260857797183374e-05,0.042535891365087244,0.0,0.0012451864499766591,0.0,0.0,0.2544284301486737,9.99999974962673e-05,0.25446458997245186,0.0,0.8480947476828012,0.17233550094305916,0.0,0.25343415592283963,0.0414820608100734,0.24336308283859867,0.130901764030928,0.3344222112001523,0.10166512102840121,0.18155815156922894,0.7259510611898499,0.2406565595483436
9,True,False,0.23255882821171464,0.2760549170472472,0.24969638884067535,0.499696284532547,0.3660075068473816,0.5949358461619589,0.7964729320863468,0.7603277508769974,0.30000001198231374,0.0,0.30000001198231374,0.0,9.199309810673785,27.562660217285156,5.0,0.7101821778342128,0.0171750346198678,5,5.9260857797183374e-05,0.04237897421715802,0.0,0.001117116093168459,0.0,0.0,0.2555097890317624,9.99999974962673e-05,0.2556011851121174,0.0,0.8516992790937178,0.194789883773678,0.0,0.2861578948220313,0.04200145132632506,0.2422512547486106,0.15062166205640926,0.3336078388929122,0.09198332225748489,0.18189261944237503,0.7153935574846828,0.24224828986257285
10,True,False,0.2165594574228988,0.2599857882601348,0.29810822010040283,0.5459928512573242,0.4187026619911194,0.5164009195068001,0.7712575771014968,0.7413549222818389,0.30000001198231374,0.0,0.30000001198231374,0.0,7.656558055956258,21.009262084960938,5.0,0.8150819707661867,0.021796904504299164,5,5.9260857797183374e-05,0.04251390839058879,0.0,0.0009124229534315262,0.0,0.0,0.2572090706790881,9.99999974962673e-05,0.2573718305228299,0.0,0.8573635427394438,0.2319531200106431,0.0,0.29320927628773497,0.03879140263728329,0.24124270217180496,0.13698509485910654,0.3334581797940601,0.08846522568428676,0.18310953266957025,0.7357582716936922,0.2421895912575059
