epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.0762243151787503,1.1838467482066917,0.4240739047527313,0.6512095928192139,0.5198932886123657,0.31205599303129394,0.5724421191600576,0.5718378132282557,0.30000001198231374,0.0,0.30000001198231374,0.0,9.633429683691196,50.819549560546875,5.0,1.6009646225720644,0.01858366746455431,5,5.9260857797183374e-05,0.10762243331184594,0.0,0.0,0.0,0.0,0.0,9.99999974962673e-05,9.99999974962673e-05,0.0,0.0,0.03069465833761174,0.0,0.0,0.14113149448968354,0.23608664356471334,0.2968011201962629,0.3389874995061715,0.30106731411357374,0.1877861833228633,0.261000071446019,0.2371396699231636
2,False,False,0.6013387883605721,0.6614726692223278,0.3578767776489258,0.5982280373573303,0.4722484052181244,0.4194428071681857,0.6609098440667402,0.6068405655814044,0.30000001198231374,0.0,0.30000001198231374,0.0,9.245351701514483,26.346803665161133,5.0,0.6428581485524774,0.01639972161501646,5,5.9260857797183374e-05,0.06013388012897465,0.0,0.0,0.0,0.0,0.0,9.99999974962673e-05,9.99999974962673e-05,0.0,0.0,0.029759261346624512,0.0,0.0,0.04759561714747907,0.23608664307363492,0.32106356714093476,0.33898749484092644,0.14858870955623388,0.18778618086747112,0.48275210020102627,0.23713967262409497
3,False,False,0.5056150164589455,0.5561765194184748,0.33455610275268555,0.5784082412719727,0.43617722392082214,0.4572741425474899,0.6887572872750376,0.6541582493427978,0.30000001198231374,0.0,0.30000001198231374,0.0,9.945598851762766,25.628557205200195,5.0,0.6703987568616867,0.01567300781607628,5,5.9260857797183374e-05,0.05056150228045996,0.0,0.0,0.0,0.0,0.0,9.99999974962673e-05,9.99999974962673e-05,0.0,0.0,0.029482326074191642,0.0,0.0,0.044985641718647384,0.2360866425825565,0.22626134909758483,0.3389875056446519,0.14131514223179292,0.1877861793942358,0.5874378752389234,0.23713967090532045
4,False,False,0.4735912886265009,0.5209504162737318,0.3181982934474945,0.5640906691551208,0.4166281819343567,0.4838101972872877,0.7091299912545665,0.6587206589851715,0.30000001198231374,0.0,0.30000001198231374,0.0,8.224353116523593,25.210763931274414,5.0,0.7412775652483106,0.02410207875072956,5,5.9260857797183374e-05,0.04735912967676606,0.0,0.0,0.0,0.0,0.0,9.99999974962673e-05,9.99999974962673e-05,0.0,0.0,0.029471372047978252,0.0,0.0,0.05081654613958451,0.2360866423370173,0.20397615432739258,0.3389874972963186,0.1474268319800757,0.18778618381394171,0.5977804736914276,0.237139666976693
5,False,False,0.4631256399451766,0.5094382095349191,0.31235116720199585,0.5588838458061218,0.407075971364975,0.49329564945125237,0.7211696823359283,0.6844719599907706,0.30000001198231374,0.0,0.30000001198231374,0.0,11.575798971645618,34.84394454956055,5.0,0.69176144618541,0.015662559308111668,5,5.9260857797183374e-05,0.04631256474417957,0.0,0.0,0.0,0.0,0.0,9.99999974962673e-05,9.99999974962673e-05,0.0,0.0,0.02922915534550817,0.0,0.0,0.04283427783929725,0.23608664479240943,0.15964585917126137,0.3389874995061715,0.1075789490148778,0.1877861806219319,0.6899409053499986,0.23713966943208517
6,True,False,0.37800807515821055,0.4223798896760577,0.29107898473739624,0.539517343044281,0.39539533853530884,0.5278039460060395,0.744927430022337,0.7092534351652912,0.30000001198231374,0.0,0.30000001198231374,0.0,7.011752365300879,20.012611389160156,5.0,0.7940074717625976,0.017453317530453205,5,5.9260857797183374e-05,0.04326220737610983,0.0011096083437764958,0.0,0.0,0.30000001198231374,0.0,0.2999825583181961,9.99999974962673e-05,1.0,0.0,0.02908815405150275,0.1572098615363501,0.0,0.040423076442537786,0.090854188594219,0.1380849549993796,0.34552209937118233,0.1251181798050013,0.22027501608144365,0.6963737892441597,0.3433486951244602
7,True,False,0.280132066976398,0.3259477713879056,0.2695437967777252,0.5191760659217834,0.3896927833557129,0.5627388752693302,0.7545328483511964,0.7075592093945808,0.30000001198231374,0.0,0.30000001198231374,0.0,9.788262213049908,22.892244338989258,5.0,0.7730480367317796,0.016470152884721756,5,5.9260857797183374e-05,0.04464443382854074,0.0011712697010399077,0.0,0.0,0.30000001198231374,0.0,0.30005974086993265,9.99999974962673e-05,1.0,0.0,0.028425411448788077,0.2880996238559208,0.0,0.03667080862760298,0.05391232103078667,0.12975231626375083,0.21234014719325653,0.0949741396918724,0.2338682708975952,0.7386027384246292,0.49987925314387627
8,True,False,0.2084157380949702,0.25175703287001866,0.3045351803302765,0.5518470406532288,0.43386948108673096,0.5059749313865454,0.7582518919817881,0.7134301527213435,0.30000001198231374,0.0,0.30000001198231374,0.0,6.654866231334934,34.99271774291992,5.0,0.759405417367816,0.015048014931380749,5,5.9260857797183374e-05,0.042275714215148245,0.0010655802207851224,0.0,0.0,0.30000001198231374,0.0,0.3002049264898015,9.99999974962673e-05,1.0,0.0,0.02780836642586485,0.33385080363060493,0.0,0.0341160404817206,0.0455584545244763,0.12099207724405243,0.19369102739772148,0.08974510075257809,0.2111528398570759,0.7551467809078009,0.5495976743688299
9,True,False,0.1810644209446303,0.22438592621030326,0.27888715267181396,0.5280976891517639,0.3949001729488373,0.5475818249306718,0.7676026226112644,0.7229987558375262,0.30000001198231374,0.0,0.30000001198231374,0.0,10.202586355219172,23.82780647277832,5.0,0.7658761851489544,0.016756420023739338,5,5.9260857797183374e-05,0.042435806179390384,0.000885700888142381,0.0,0.0,0.30000001198231374,0.0,0.30029390621872815,9.99999974962673e-05,1.0,0.0,0.02729234286611775,0.33606924946840955,0.0,0.03175385374610382,0.02886747073930766,0.11380025385337067,0.14238967217819576,0.08249017752776062,0.2503803073439122,0.7719557179726975,0.5783625454416481
10,True,False,0.15986289768398237,0.20249850492460228,0.2885514199733734,0.5371698141098022,0.4009820818901062,0.5319042161399876,0.7732263049658725,0.7300009994975063,0.30000001198231374,0.0,0.30000001198231374,0.0,7.32241160297492,18.815664291381836,5.0,0.7193207498639822,0.015922815538942814,5,5.9260857797183374e-05,0.041866334851535784,0.0007692725009435498,0.0,0.0,0.30000001198231374,0.0,0.30038841720958204,9.99999974962673e-05,1.0,0.0,0.027206544343278533,0.3502961491703619,0.0,0.029537098967574775,0.028028844774199074,0.10572858475509314,0.19024468253987212,0.07858269805151942,0.20047290735215287,0.7861516178575039,0.5812535595329119
