epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,2.522572376137232,2.774829619511816,0.8895696401596069,0.9431700110435486,0.7153599262237549,-0.03474201415077638,-0.13657464197176977,-0.10728635928101643,0.30000001189022074,0.0,0.30000001189022074,0.0,17.95840836897884,28.778017044067383,5.0,1.7945194346830249,0.015923899598419666,5,5.9260857797183374e-05,0.2522572410023747,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03428177189298784,0.0,0.0,0.2859350285046129,0.23853396411288466,0.18513725419317184,0.3377919351851922,0.24377885619000883,0.18867825294879834,0.28514885398790063,0.2349958503326149
2,False,False,0.9617962170236815,1.0579758381978683,0.8624093532562256,0.928659975528717,0.7102266550064087,-0.0031492212303247946,0.13657464197176977,0.10728635928101643,0.30000001189022074,0.0,0.30000001189022074,0.0,3.1149099067214343,8.503411293029785,5.0,0.6695998664945364,0.0190250463783741,5,5.9260857797183374e-05,0.09617962326618398,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.034281771770154984,0.0,0.0,0.28593502653928715,0.2385339591995703,0.1851372551758347,0.3377919342025293,0.24377885545301167,0.18867825429995977,0.2851488507942463,0.23499585278927204
3,False,False,0.9354290028996592,1.0289718960438237,0.8670936226844788,0.931178629398346,0.7207117080688477,-0.008597938160842311,0.13657464197176977,0.10728635928101643,0.30000001189022074,0.0,0.30000001189022074,0.0,2.1540296123790594,5.729767799377441,5.0,0.7131465086713433,0.019751418381929398,5,5.9260857797183374e-05,0.09354290142002823,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03428177207723713,0.0,0.0,0.2859350289959443,0.2385339604278989,0.18513725615849758,0.33779193371119787,0.24377885790966886,0.18867825184330259,0.2851488520225749,0.23499585180660917
4,False,False,0.9337590419404719,1.0271349463924682,0.867686927318573,0.9314971566200256,0.7103407979011536,-0.009288064780627936,,,0.30000001189022074,0.0,0.30000001189022074,0.0,1.5114222826999466,5.108730792999268,5.0,0.674442932009697,0.017461402341723442,5,5.9260857797183374e-05,0.0933759056841633,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03428177137094819,0.0,0.0,0.28593503096127004,0.2385339606735646,0.18513725394750613,0.33779193100887495,0.243778856927006,0.18867825159763688,0.2851488537422349,0.234995849349952
5,False,False,0.9406238930978338,1.0346862885646142,0.8603617548942566,0.9275568723678589,0.7112269401550293,-0.0007675220099949698,0.13657464197176977,0.10728635928101643,0.30000001189022074,0.0,0.30000001189022074,0.0,1.9165727864952815,5.892598628997803,5.0,0.6573032634332776,0.015578260645270348,5,5.9260857797183374e-05,0.09406239051316154,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03428177137094819,0.0,0.0,0.2859350287502786,0.2385339574799103,0.1851372564041633,0.3377919312545407,0.24377885815533457,0.18867825479129122,0.2851488561988921,0.23499585008694915
6,True,False,0.8650707639657855,0.9703919607483806,0.5794687867164612,0.7612285017967224,0.6016179323196411,0.32596546868747933,0.6332153631758112,0.43987166141285666,0.30000001189022074,0.0,0.30000001189022074,0.0,5.532262990795295,32.214317321777344,5.0,0.6888518091291189,0.01998673938214779,5,5.9260857797183374e-05,0.09421354068547778,0.008634920330600124,0.0024727314872794825,0.0,0.30000001189022074,0.253941273087389,0.3000548533223942,0.2539889494332378,1.0,0.8464708912931479,0.12090777638399497,0.5096022332224387,0.21873894553403153,0.2688314171564573,0.6217004303340136,0.19686312014635293,0.17847294871307168,0.24233142792840767,0.0720255280634228,0.2919740320664592,0.12780108260224002
7,True,False,0.4121282104516017,0.5113896024343834,0.4386322796344757,0.6622931957244873,0.511803150177002,0.489785627147172,0.7010017021931803,0.597900451546122,0.30000001189022074,0.0,0.30000001189022074,0.0,3.569401034370395,7.861839771270752,5.0,0.7454748582094908,0.016819357872009277,5,5.9260857797183374e-05,0.09458955776547108,0.003002109200612578,0.0016697301921717311,0.0,0.30000001189022074,0.25455951371308394,0.30012612586043536,0.2546003325460867,1.0,0.848531684698609,0.3229389758161636,0.5457364150631495,0.19491043132583485,0.25829725840360707,0.7002838361760748,0.19814522643484817,0.10266646467982218,0.23410027644979406,0.05371008811078079,0.3094572399400793,0.1433396214126988
8,True,False,0.2901724199085491,0.3878111043030426,0.45783188939094543,0.6766327619552612,0.5115907192230225,0.4674527504749725,0.7178601267553558,0.6189072298432313,0.30000001189022074,0.0,0.30000001189022074,0.0,3.0477948233001566,5.653834819793701,5.0,0.6951390821486712,0.018194607459008694,5,5.9260857797183374e-05,0.09366574905340601,0.0025248399940220995,0.0014480931026667227,0.0,0.30000001189022074,0.2544049516527509,0.30015720355639686,0.25443568099472463,1.0,0.8480164863472437,0.377572243880636,0.5649382720467726,0.23298459787580048,0.25791390245566354,0.6535646388482826,0.1910296383130065,0.08799041355473058,0.23665937180988325,0.06309941243658601,0.31439707956014373,0.19534553073841784
9,True,False,0.22947721693824089,0.32644452106270944,0.4092061221599579,0.6396921873092651,0.4794294536113739,0.5240139112311513,0.7596161513961075,0.6795076888230186,0.30000001189022074,0.0,0.30000001189022074,0.0,3.186813497469635,7.61020565032959,5.0,0.7278773300349712,0.018129747360944748,5,5.9260857797183374e-05,0.09355228892318801,0.002129342393913162,0.001285672912207163,0.0,0.30000001189022074,0.25548686789581915,0.3001574420978088,0.25551344671549103,1.0,0.8516228748068007,0.41149814395423034,0.5638703528536404,0.27275398378210053,0.26034481435753154,0.5944662438048216,0.1838387785837369,0.10183395165134373,0.2439095498605342,0.06412124375840059,0.3119068519163844,0.23957856594441418
10,True,False,0.19875575120703332,0.29540392539969185,0.3922356963157654,0.6262872219085693,0.47596868872642517,0.5437538258805865,0.7400445501895235,0.6636787784803985,0.30000001189022074,0.0,0.30000001189022074,0.0,3.047753773787045,6.128023624420166,5.0,0.7790374327450991,0.016202351078391075,5,5.9260857797183374e-05,0.09359419148939287,0.0019387476602526039,0.0011152340021725246,0.0,0.30000001189022074,0.2571870247645823,0.300159283853695,0.25720532931721374,1.0,0.8572900566718187,0.4408686533224822,0.5625374296287603,0.27394267568141145,0.2623839724745596,0.6182982814735755,0.18735112866318637,0.08716421591627542,0.24501746859150042,0.06796971017217464,0.3052474208126235,0.22656779286788947
11,True,True,0.1801121475646202,0.2763605629703791,0.3871314227581024,0.6221988797187805,0.4524840712547302,0.549691090845158,0.7502928087876745,0.6741433941508895,0.29998645065126806,1.1439723569637598e-05,0.3000135559325732,5.694077888449633e-06,3.161943581348716,7.857506275177002,5.0,0.7542819371446967,0.016102214343845844,5,5.9260857797183374e-05,0.09347279153146246,0.0018247620319915934,0.0009508639238059851,0.0,0.29998645065126806,0.2553437961124379,0.3001445959917606,0.2553663337310524,1.0,0.8511076764554354,0.44224456067800155,0.5507586438406502,0.28581867532469696,0.255931159505397,0.5972622621311225,0.18592408426885196,0.0901978557592566,0.2533339992250013,0.08032924784390598,0.3048107583519112,0.23221062397846298
