epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.0338556371602368,1.1372412078961585,0.6870836615562439,0.8289051055908203,0.6786243319511414,0.2769580596272804,0.591059858468257,0.5692294804495124,0.30000001189022074,0.0,0.30000001189022074,0.0,9.505043506867981,49.11243438720703,5.0,1.885256771929562,0.01731688156723976,5,5.9260857797183374e-05,0.10338556487065256,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03075930020171671,0.0,0.0,0.12457843431180927,0.23850594397244657,0.20910861724311086,0.339152514965248,0.28578534217178053,0.18777922635714706,0.38052760246548073,0.23456231126583832
2,False,False,0.6024222815085907,0.662664506774413,0.4793538749217987,0.6923538446426392,0.5361087918281555,0.4955594114377637,0.7108842424682298,0.6683126478751221,0.30000001189022074,0.0,0.30000001189022074,0.0,9.935479320858263,21.37895393371582,5.0,0.7492668805643916,0.016938711516559124,5,5.9260857797183374e-05,0.060242229035255654,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.029687528478798332,0.0,0.0,0.07244141227126674,0.2385059429897837,0.12929457920473425,0.339152513245588,0.14937253418440427,0.1877792256201499,0.6488914646972153,0.23456230979184403
3,False,False,0.4912574791005443,0.5403832267511143,0.40676912665367126,0.6377845406532288,0.47427672147750854,0.5719428111237433,0.7579834971305504,0.7080604198236659,0.30000001189022074,0.0,0.30000001189022074,0.0,7.564505162158005,17.222557067871094,5.0,0.8063885644078255,0.01756646018475294,5,5.9260857797183374e-05,0.04912574854878529,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.02981395066736409,0.0,0.0,0.043267458293439184,0.23850594667476946,0.0968547869686734,0.3391525159479109,0.11931541001655464,0.18777922684847848,0.7405623441378767,0.23456231175716977
4,False,False,0.46027207119694574,0.5062992802788953,0.3714815080165863,0.609492838382721,0.4433824121952057,0.6090771953791546,0.7848239493451095,0.7232051724857953,0.30000001189022074,0.0,0.30000001189022074,0.0,7.628269436309044,15.710991859436035,5.0,0.789170098491013,0.02080480381846428,5,5.9260857797183374e-05,0.04602720802059682,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.030238965686481677,0.0,0.0,0.03763319916604783,0.23850594470944372,0.09820975448469843,0.33915251570224514,0.15371231207339067,0.18777922635714706,0.7104447269980162,0.23456231249416692
5,False,False,0.4442720657031233,0.4886992727279172,0.4281546175479889,0.6543352603912354,0.4783807694911957,0.5494380832012369,0.7548113152890371,0.7287670792134147,0.30000001189022074,0.0,0.30000001189022074,0.0,9.834465342290251,19.37236213684082,5.0,0.7665033414959908,0.016689934767782688,5,5.9260857797183374e-05,0.04442720721288172,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.030729356498708435,0.0,0.0,0.022250862326712906,0.23850594200712083,0.015120156366514337,0.3391525139825851,0.11624150335143854,0.18777922709414419,0.8463874691113684,0.23456230930051258
6,True,False,0.4150747259304365,0.4604756995183423,0.3484940528869629,0.5903338193893433,0.4353751540184021,0.6332676658601208,0.8160702613395003,0.7776837374409667,0.30000001189022074,0.0,0.30000001189022074,0.0,9.259817883994149,21.39566421508789,5.0,0.6669263727962971,0.016970021650195122,5,5.9260857797183374e-05,0.044192543135267874,0.0,0.001208430702861884,0.0,0.0,0.253941273087389,9.999999746254183e-05,0.25393538104081387,0.0,0.8464708912931479,0.06412577395706924,0.0,0.1181497385918265,0.028528240969474632,0.23513010959536804,0.017319679505919623,0.33850500867392586,0.1336669665154325,0.18509022419382654,0.8204851125946123,0.2412746592565396
7,True,False,0.3135597415341353,0.3558505954722778,0.34538978338241577,0.5876986980438232,0.4289034605026245,0.6365343641124925,0.8105379273396278,0.7806434712009126,0.30000001189022074,0.0,0.30000001189022074,0.0,8.476908036693354,27.1802921295166,5.0,0.7967923050746322,0.016882997937500477,5,5.9260857797183374e-05,0.040763693581930695,0.0,0.001527164043176829,0.0,0.0,0.25455951371308394,9.999999746254183e-05,0.254566151846444,0.0,0.848531684698609,0.12091071528297671,0.0,0.22553371142505801,0.021809598869542864,0.23547087472348652,0.014883902885445856,0.344774786189068,0.08319552831585907,0.1762165108149596,0.8801109769920415,0.24353782814965305
8,True,False,0.2746062834412704,0.3184586421292446,0.33264243602752686,0.5767516493797302,0.41956573724746704,0.6499488618274532,0.8114480345010695,0.7787644185581999,0.30000001189022074,0.0,0.30000001189022074,0.0,9.49813235045585,21.647146224975586,5.0,0.7620617002248764,0.0166314160451293,5,5.9260857797183374e-05,0.04253121284841877,0.0,0.0013211471175449618,0.0,0.0,0.2544049516527509,9.999999746254183e-05,0.25446883137234705,0.0,0.8480164863472437,0.13894126588447017,0.0,0.26159725773893394,0.02452402081703292,0.2352144255090288,0.01587431574224013,0.348782606188751,0.0986035954761849,0.17921376842496814,0.8609980603335506,0.2367891960694334
9,True,False,0.21505315504327133,0.25679796927218457,0.38919949531555176,0.6238585710525513,0.4604393541812897,0.5904319169815839,0.7885739103350994,0.7642723379751153,0.30000001189022074,0.0,0.30000001189022074,0.0,5.691177489031595,14.833578109741211,5.0,0.7586260661482811,0.017287747003138065,5,5.9260857797183374e-05,0.04073973868132436,0.0,0.0010050749597844985,0.0,0.0,0.25548686789581915,9.999999746254183e-05,0.2556301217174972,0.0,0.8516228748068007,0.14831581734800264,0.0,0.28491159642498126,0.02799012665893539,0.23546531506262755,0.016674744582311326,0.34879709800944264,0.10965337764350856,0.18024429385653482,0.845681763874508,0.2354933042491852
10,True,False,0.19941774597952872,0.24191990244456138,0.3184868097305298,0.5643463730812073,0.40079692006111145,0.6648453291961245,0.8272593524447317,0.799368784112344,0.30000001189022074,0.0,0.30000001189022074,0.0,8.611224219702004,25.23099708557129,5.0,0.788030369207263,0.017815646715462208,5,5.9260857797183374e-05,0.04163245782486438,0.0,0.000869697914641741,0.0,0.0,0.2571870247645823,9.999999746254183e-05,0.2574032199315224,0.0,0.8572900566718187,0.14738149338318846,0.0,0.301698271973977,0.028865915024053307,0.232746115669278,0.016164967535943608,0.352296684526525,0.09608088529705694,0.1788322850639583,0.8588882340161472,0.23612491080958717
