epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.0519283351088724,1.1571211607907004,0.5399192571640015,0.7347919940948486,0.5693653225898743,0.3805644407885155,0.640895468125436,0.6215547703361592,0.30000001189022074,0.0,0.30000001189022074,0.0,9.045418807859583,50.29323196411133,5.0,1.880538142286241,0.017021446488797665,5,5.9260857797183374e-05,0.10519283546815208,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.031118665786823742,0.0,0.0,0.13239931556626977,0.23763743065977022,0.2397443468210809,0.3404998737533703,0.3002226815771528,0.18746684114691034,0.3276336641424652,0.23439586193275352
2,False,False,0.5567893124560239,0.6124682469751219,0.3867814838886261,0.6219176054000854,0.4537412226200104,0.5562554783054138,0.7516403248007844,0.7188622685432144,0.30000001189022074,0.0,0.30000001189022074,0.0,6.294175055394279,18.816537857055664,5.0,0.8014710498973727,0.022003342397511005,5,5.9260857797183374e-05,0.05567893231002588,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.030739917176584187,0.0,0.0,0.06887424741437422,0.23763742967710735,0.21688094979275876,0.34049986048742154,0.14383734433323006,0.1874668444633975,0.5704074556958977,0.23439586242408497
3,False,False,0.4677649946909231,0.5145414959579814,0.3679967224597931,0.606627345085144,0.4528704881668091,0.5778067442182622,0.7615520232535332,0.730684702280423,0.30000001189022074,0.0,0.30000001189022074,0.0,9.799083023818113,24.364627838134766,5.0,0.7486912710592151,0.01593491993844509,5,5.9260857797183374e-05,0.046776500144289176,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.030860677476644147,0.0,0.0,0.044623665622925406,0.23763743188809883,0.10011335428936588,0.34049987301637313,0.1550731724036962,0.18746684335790179,0.7001898145012362,0.23439585947609637
4,False,False,0.43583007893078357,0.47941308528845117,0.35482144355773926,0.5956689119338989,0.4220196604728699,0.5929224011808188,0.7763113779972031,0.746352864541028,0.30000001189022074,0.0,0.30000001189022074,0.0,9.159672943972117,29.307405471801758,5.0,0.7350456854328513,0.01880207657814026,5,5.9260857797183374e-05,0.04358300903504009,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03085081359886865,0.0,0.0,0.04019900543796592,0.23763742918577593,0.09294143452710678,0.3404998668747302,0.13200421937650653,0.18746684040991318,0.7348553383860129,0.23439586045875924
5,False,False,0.4148766226156786,0.4563642842507989,0.4224357604980469,0.6499505639076233,0.4720660150051117,0.5153502523736946,0.7640881176672553,0.7478081271895207,0.30000001189022074,0.0,0.30000001189022074,0.0,7.998260988886979,17.715187072753906,5.0,0.7785495761781931,0.01987169310450554,5,5.9260857797183374e-05,0.04148766311295311,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.030733676131148732,0.0,0.0,0.03913301048298462,0.23763742844877878,0.0944492176965854,0.3404998656464016,0.11980731262490038,0.18746684298940322,0.7466104621435182,0.2343958575107706
6,True,False,0.4115171165026567,0.45681338039088165,0.3588965833187103,0.5990797877311707,0.44446897506713867,0.5882471298082086,0.8248165723557733,0.8016530851264487,0.30000001189022074,0.0,0.30000001189022074,0.0,12.283761910591341,28.648094177246094,5.0,0.7517698146402836,0.01772188115864992,5,5.9260857797183374e-05,0.04413500129370453,0.0011612652398651636,0.0,0.0,0.30000001189022074,0.0,0.29998667420707126,9.999999746254183e-05,1.0,0.0,0.02995327288560312,0.1287971337636312,0.0,0.05301389468201407,0.11222656356004757,0.10484713871782432,0.28746180802138427,0.1503729726898492,0.35309109154710566,0.691765988137168,0.24722053856041432
7,True,False,0.3176576612629515,0.3647290377166086,0.25515317916870117,0.5051268935203552,0.3709769546985626,0.707269297667992,0.8423514731098525,0.8106849776480431,0.30000001189022074,0.0,0.30000001189022074,0.0,17.054378064866537,39.88526916503906,5.0,0.7444561775773764,0.018173818476498127,5,5.9260857797183374e-05,0.04597165295254441,0.0010997243081629737,0.0,0.0,0.30000001189022074,0.0,0.30003481387846376,9.999999746254183e-05,1.0,0.0,0.030010181625499854,0.22755021498658987,0.0,0.04130209385888101,0.035540793127524735,0.09729973069789911,0.19572842139549196,0.10235932695073359,0.431454843740252,0.7590388377139029,0.33727593989423843
8,True,False,0.22226373353826206,0.26476161879770904,0.25394436717033386,0.5039289593696594,0.3617803752422333,0.7086561182820095,0.8489924209041871,0.8189619775180345,0.30000001189022074,0.0,0.30000001189022074,0.0,7.105227961238053,17.855955123901367,5.0,0.757297364063561,0.023106309585273266,5,5.9260857797183374e-05,0.041442420838390163,0.001055465716829534,0.0,0.0,0.30000001189022074,0.0,0.3001727571443207,9.999999746254183e-05,1.0,0.0,0.029211032151070408,0.29712833589281634,0.0,0.03612631513309626,0.03772765020314472,0.09516115682386725,0.1539274247143454,0.09558104559786844,0.44392231455296355,0.7731314791286809,0.36442261145079274
9,True,False,0.1907019396684392,0.23341492127813304,0.30399930477142334,0.5513613224029541,0.4074275493621826,0.6512293575070642,0.8426084199391408,0.8104469916699948,0.30000001189022074,0.0,0.30000001189022074,0.0,11.154211534660297,20.31202507019043,5.0,0.753245803527534,0.015783254988491535,5,5.9260857797183374e-05,0.0418410041369018,0.0008719776215949151,0.0,0.0,0.30000001189022074,0.0,0.3003032896581352,9.999999746254183e-05,1.0,0.0,0.02837230166106541,0.32457775850998627,0.0,0.0313980160669713,0.03131389227925595,0.08223966579348817,0.1884689550925505,0.08861039300237594,0.45180283595089565,0.7977519175368815,0.32841432641180196
10,True,False,0.18017422128804622,0.22356068421613917,0.2494300752878189,0.49942976236343384,0.3483891189098358,0.713835229786629,0.8532131819559915,0.8227567669805818,0.30000001189022074,0.0,0.30000001189022074,0.0,11.420377825658878,26.311504364013672,5.0,0.734732068143785,0.01636679843068123,5,5.9260857797183374e-05,0.04256623184969596,0.0008202318123353205,0.0,0.0,0.30000001189022074,0.0,0.30039002808143894,9.999999746254183e-05,1.0,0.0,0.028267356337252993,0.322684774934355,0.0,0.029042658641251138,0.02891027227251386,0.08606181833806693,0.12916061461800954,0.08018322269797387,0.46351683821523393,0.8047123083068439,0.37841227299033336
11,True,True,0.15012688985471564,0.19072863744405788,0.23743772506713867,0.4872758090496063,0.3422097861766815,0.7275937504108432,0.8551968487180731,0.8300397589873362,0.30010644386012425,4.3093391563648756e-05,0.30000001189022074,0.0,7.724344853947053,16.9599552154541,5.0,0.7789180278778076,0.019360193982720375,5,5.9260857797183374e-05,0.039901123529454595,0.0007006225114019414,0.0,0.0,0.30010644386012425,0.0,0.3005743336272203,9.999999746254183e-05,1.0,0.0,0.02797846656555616,0.3366992469917309,0.0,0.02648461411626974,0.031118739302289786,0.07443689716531714,0.14443638814840656,0.07605259938070542,0.47480481583577094,0.8230258847314755,0.34964005963081307
12,True,True,0.14666292779934523,0.1873989878303915,0.24038556218147278,0.4902912974357605,0.3492543399333954,0.7242117918718027,0.8555930437178519,0.8202193791149832,0.300254238321264,5.4902653651221675e-05,0.30000001189022074,0.0,6.981387436604881,20.347360610961914,5.0,0.8193308413028717,0.020687272772192955,5,5.9260857797183374e-05,0.040111912540143325,0.0006241467465286224,0.0,0.0,0.300254238321264,0.0,0.30080050847261364,9.999999746254183e-05,1.0,0.0,0.027926507283583674,0.3284827755137487,0.0,0.026426602030218047,0.03601465469042951,0.07953159075800381,0.1494752703592496,0.07534811338280231,0.44174086341287966,0.8186936975446698,0.37276920935715796
13,True,True,0.14267877746893534,0.1840274095043947,0.27083098888397217,0.5204142332077026,0.37153270840644836,0.689282508858706,0.8558991614165326,0.8232615343930972,0.3004632430983106,6.162581966137681e-05,0.30000001189022074,0.0,6.067713421316014,14.285016059875488,5.0,0.792317470535636,0.016231766901910305,5,5.9260857797183374e-05,0.04065938901188815,0.000689241250531651,0.0,0.0,0.3004632430983106,0.0,0.30111392977801504,9.999999746254183e-05,1.0,0.0,0.027504029438582846,0.34919101856591345,0.0,0.026679031969283673,0.030436593346347643,0.08120028859619502,0.1436897309277243,0.08199319727085473,0.4623092516742374,0.8101274833305787,0.36356442739888606
14,True,True,0.1427613602954048,0.1844174966008807,0.24917249381542206,0.49917179346084595,0.3534623086452484,0.7141307655921221,0.8474230616499089,0.8146491521483475,0.3006820447785163,5.67523644080322e-05,0.30000001189022074,0.0,8.933380427647963,21.034635543823242,5.0,0.777950944378972,0.020552000030875206,5,5.9260857797183374e-05,0.04095506633927931,0.0007010692482421224,0.0,0.0,0.3006820447785163,0.0,0.3014367060339494,9.999999746254183e-05,1.0,0.0,0.027675562455198435,0.3494863043366972,0.0,0.024956542858446094,0.027371119187702412,0.07230716209814513,0.10700937781611526,0.06385233615981371,0.49782712308479793,0.838883967451187,0.3677923692863421
15,True,True,0.1235411394615876,0.16429909921718097,0.24961352348327637,0.49961337447166443,0.3484664559364319,0.7136247585292993,0.8556370070619459,0.8262554149354506,0.300823691209403,2.8170691790743434e-05,0.30000001189022074,0.0,7.556573889170769,21.79787254333496,5.0,0.7275151005014777,0.016955634579062462,5,5.9260857797183374e-05,0.040154645819215046,0.0006033140701270101,0.0,0.0,0.300823691209403,0.0,0.30165340727226814,9.999999746254183e-05,1.0,0.0,0.02785097048001336,0.35837398246045826,0.0,0.025852476380523612,0.030069196764677227,0.08141233158258972,0.12681916888874256,0.0782482930521938,0.47578154244047044,0.814486898140217,0.3673300922439001
16,True,True,0.11877658302976814,0.15918530362942734,0.2466781586408615,0.4966670572757721,0.35448983311653137,0.7169924619908865,0.8509083676721939,0.8230661769828842,0.3009920911282869,6.53626677596538e-05,0.30000001189022074,0.0,6.280272696080864,14.630419731140137,5.0,0.7561385501176119,0.020387742668390274,5,5.9260857797183374e-05,0.039821547372117905,0.0005871736587757904,0.0,0.0,0.3009920911282869,0.0,0.30190185711962364,9.999999746254183e-05,1.0,0.0,0.027288885137458734,0.3555853601462567,0.0,0.021803512977362292,0.028430136284344223,0.05876724465737203,0.10224663412859611,0.06151032656630802,0.47502744253120244,0.8579189048975414,0.3942957951321177
17,True,True,0.11598157699976552,0.1566377897381721,0.2990546226501465,0.5468588471412659,0.3948710858821869,0.6569022901327058,0.8593818590119215,0.8281988259353148,0.3011355319015762,3.231721948828731e-05,0.30000001189022074,0.0,7.4215667642065695,21.184473037719727,5.0,0.7884066561236978,0.02202032320201397,5,5.9260857797183374e-05,0.0401396242760617,0.0005165887995954605,0.0,0.0,0.3011355319015762,0.0,0.30212780005657935,9.999999746254183e-05,1.0,0.0,0.028067962617250156,0.3536019357192891,0.0,0.020792925775450322,0.029842393567794258,0.058788315375277456,0.1308798859992757,0.06652657040488406,0.48445388866662364,0.8538921823948699,0.35482384236064046
18,True,True,0.11701882232147538,0.15851476219651137,0.2521806061267853,0.5021758675575256,0.349261999130249,0.7106796469126729,0.8587304323572977,0.8270261168572445,0.3012915485486242,6.104377458176213e-05,0.30000001189022074,0.0,9.557131655372215,19.341184616088867,5.0,0.7494175331667066,0.015972059220075607,5,5.9260857797183374e-05,0.04094917067489263,0.0005467684866496689,0.0,0.0,0.3012915485486242,0.0,0.30236261766758976,9.999999746254183e-05,1.0,0.0,0.02775485794425072,0.35633986147330754,0.0,0.021954701126143835,0.028069271769860182,0.05939506077999801,0.12664437281723062,0.06505236153993209,0.467070366782297,0.8535978660210084,0.3782159932061362
