epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.1264418514303196,1.2390860382793019,1.2875081300735474,1.1346842050552368,0.7844516038894653,0.30978081530624235,0.5962892716761286,0.6228621764584752,0.3999999761581421,2.4493997596941863e-05,0.05000000819466115,7.481780410366591e-06,22.9086454374463,80.02852630615234,5.0,6.923804678954184,0.12130159698426723,5,2.432667795899065e-05,0.11264418751649936,0.0,0.0,0.0,0.0,0.0,9.999999747187832e-05,9.999999747187832e-05,0.0,0.0,0.030271765301153122,0.0,0.0,0.1272839324832807,0.2411915113593737,0.4642258308528759,0.3358738262551377,0.2757327460423131,0.18605792148630626,0.13275748820512573,0.23687673885032157
2,False,False,0.824229604145011,0.9066525662674174,1.2096984386444092,1.0998629331588745,0.7465380430221558,0.35149377516146174,0.6286030128193609,0.6637627469697033,0.3999999761581421,2.4493997596941863e-05,0.05000000819466115,7.481780410366591e-06,20.984239661828077,119.95178985595703,5.0,6.0256064143031836,0.11853425577282906,5,2.432667795899065e-05,0.08242296184088357,0.0,0.0,0.0,0.0,0.0,9.999999747187832e-05,9.999999747187832e-05,0.0,0.0,0.03024831153814075,0.0,0.0,0.10232448438683447,0.24119151167217687,0.5311646981522093,0.33587382653666054,0.25778140974182434,0.18605792118914324,0.10872940416881588,0.23687673860007902
3,False,False,0.7665771092858817,0.843234820472728,1.1824978590011597,1.0874271392822266,0.7162007689476013,0.3660757856630551,0.612134707868322,0.6462154233326229,0.3999999761581421,2.4493997596941863e-05,0.05000000819466115,7.481780410366591e-06,20.582818232756278,67.34241485595703,5.0,6.034638196229935,0.11990144103765488,5,2.432667795899065e-05,0.07665771216288995,0.0,0.0,0.0,0.0,0.0,9.999999747187832e-05,9.999999747187832e-05,0.0,0.0,0.030481930731225595,0.0,0.0,0.08489418621374159,0.24119151250110527,0.5314617989038865,0.3358738248944439,0.2649967696090534,0.18605792120478343,0.11864724432317894,0.2368767378806317
4,False,False,0.74552283983661,0.8200751225549823,1.3315510749816895,1.153928518295288,0.7960352897644043,0.2861699422334629,0.6018033168421434,0.6399199174217995,0.3999999761581421,2.4493997596941863e-05,0.05000000819466115,7.481780410366591e-06,20.93911347380463,66.58173370361328,5.0,5.992313407361507,0.11931916885077953,5,2.432667795899065e-05,0.07455228520808993,0.0,0.0,0.0,0.0,0.0,9.999999747187832e-05,9.999999747187832e-05,0.0,0.0,0.030424896233728068,0.0,0.0,0.08415152577864658,0.24119151273570766,0.5474505574957839,0.335873826880744,0.26016880104592455,0.1860579205635369,0.10822911901881895,0.2368767387252003
5,False,False,0.728255908677222,0.8010814987871785,1.156448245048523,1.0753828287124634,0.7005277872085571,0.38004059427422754,0.6173309012492589,0.6489108972902979,0.3999999761581421,2.4493997596941863e-05,0.05000000819466115,7.481780410366591e-06,21.677156447363288,82.05712127685547,5.0,6.060206455178559,0.12316156644374132,5,2.432667795899065e-05,0.07282559229908997,0.0,0.0,0.0,0.0,0.0,9.999999747187832e-05,9.999999747187832e-05,0.0,0.0,0.03038860052409556,0.0,0.0,0.08784371978871874,0.24119151232906352,0.555753881022299,0.33587382537928884,0.2469347307795272,0.18605792211191263,0.10946766714260228,0.23687673863135933
6,True,False,0.6236855660940805,0.6976218818933968,0.9905188083648682,0.9952481389045715,0.6695912480354309,0.46899358140572245,0.7099630622623283,0.7162416271499638,0.3999999761581421,2.4493997596941863e-05,0.05000000819466115,7.481780410366591e-06,20.51347878885782,93.11209106445312,5.0,6.199718509800732,0.11219209991395473,5,2.432667795899065e-05,0.07195750359818241,0.0016109150016572346,0.00036789947056815875,0.0,0.3999999761581421,0.042508534353976175,0.39988346745479264,0.042523693745920146,1.0,0.850170558908423,0.1099826974901306,0.19317325592291257,0.01837025555811101,0.08109011773017097,0.2618742664321393,0.5595176677571229,0.26082111834478766,0.24947752714219665,0.36553314260158976,0.10991468806649655,0.11177147113566822
7,True,False,0.4613828192824487,0.533820352664428,0.9687411785125732,0.9842464923858643,0.6190829873085022,0.4806683802395456,0.6993615999563112,0.7149312623825816,0.3999999761581421,2.4493997596941863e-05,0.05000000819466115,7.481780410366591e-06,18.756210627439483,58.678565979003906,5.0,6.149562661536038,0.11461975332349539,5,2.432667795899065e-05,0.07065491080948826,0.001417333278919264,0.000365287510731202,0.0,0.3999999761581421,0.04240357500362415,0.40003690860991525,0.04242225953973331,1.0,0.8480713723432171,0.118548050792597,0.28439479801980755,0.021784518579741032,0.07406138528037716,0.14128378125914937,0.5485031105845783,0.17061533054571018,0.2616511210779667,0.48110106886919013,0.11578438575109513,0.20699982207079817
8,True,False,0.3695059621531142,0.4417953032485083,0.8767037391662598,0.9363245964050293,0.5853132605552673,0.5300086573380041,0.7295692607920422,0.7592113096434165,0.3999999761581421,2.4493997596941863e-05,0.05000000819466115,7.481780410366591e-06,16.63856522613421,52.46980285644531,5.0,6.36424445360899,0.10978130903095007,5,2.432667795899065e-05,0.07063022679354819,0.0012999498274661669,0.0003591659423705543,0.0,0.3999999761581421,0.04210181685999853,0.40023191749064263,0.0421229682704402,1.0,0.8420362109682498,0.13958134195429858,0.3521231318733818,0.02576345119286134,0.07201173694716824,0.14769071737820944,0.5558675940160018,0.16639231819081762,0.26367884025083255,0.45055186276171844,0.10844182628748204,0.2353651027171451
9,True,False,0.3126950045268982,0.3836695311561215,0.8092541694641113,0.8995855450630188,0.5787753462791443,0.5661676432530688,0.7531314990822343,0.7468831764104598,0.3999999761581421,2.4493997596941863e-05,0.05000000819466115,7.481780410366591e-06,16.24406304618437,54.20819091796875,5.0,6.297569449990988,0.11518174782395363,5,2.432667795899065e-05,0.06941364466274273,0.001152691043455401,0.00040819140285275763,0.0,0.3999999761581421,0.04212805670809477,0.4003808738928209,0.04215464476086404,1.0,0.8425610076095513,0.15924862612892218,0.3654939051188687,0.034567990372794656,0.07092905050811728,0.14981518807419952,0.568931760859283,0.13211004737480142,0.2563361697733731,0.4697452000638251,0.10380301778787579,0.24832956279803686
10,True,False,0.2698537990337468,0.3412304020121916,0.8061119318008423,0.8978373408317566,0.5812951326370239,0.5678521567535442,0.7536947416048396,0.7511802521487827,0.3999999761581421,2.4493997596941863e-05,0.05000000819466115,7.481780410366591e-06,14.938240952142673,74.28372192382812,5.0,6.14748596586287,0.11408987920731306,5,2.432667795899065e-05,0.06991402920197702,0.0011093368366544192,0.0003532380256894707,0.0,0.3999999761581421,0.04242981485660794,0.40053269175587286,0.04245699571049204,1.0,0.8485961689845185,0.1610368786756525,0.3921147239267654,0.029004320693873133,0.06304279380318875,0.14506616030299924,0.5639368042298984,0.1312950298373889,0.26851723890734985,0.4670877452598598,0.10450316488164142,0.2565510624257701
