epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,2.12894737758016,2.3418421071073565,1.1342167854309082,1.0649961233139038,0.8181018829345703,-0.014218909625513643,,,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,9.668210294727013,39.54124450683594,5.0,6.5318206595256925,0.10796287748962641,5,2.432667795899065e-05,0.2128947418405902,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.03214442651769672,0.0,0.0,0.2790119738043418,0.2385611904380454,0.1753626160112533,0.33640575165013076,0.2611964044766061,0.18821605597500535,0.2844289985308492,0.23681700279680154
2,False,False,1.480627783948452,1.6286905585531173,1.1198241710662842,1.0582174062728882,0.8056414127349854,-0.001349177459169404,0.016434542607155128,0.020439017409736467,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,4.911487060729004,18.394886016845703,5.0,5.632149623706937,0.10974460933357477,5,2.432667795899065e-05,0.1480627810545383,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.03214442650206067,0.0,0.0,0.2790119749301378,0.23856119062567807,0.1753626154483553,0.3364057509934164,0.26119640597766747,0.1882160570226211,0.28442899778031855,0.23681700224953958
3,False,False,1.4821542038622333,1.6303696252116378,1.1186903715133667,1.0576815605163574,0.8034963607788086,-0.0003351694154580809,-0.016434542607155128,-0.020439017409736467,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,4.66448547075144,18.4257869720459,5.0,5.636705598793924,0.10641157813370228,5,2.432667795899065e-05,0.1482154231475508,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.03214442651769672,0.0,0.0,0.2790119754930358,0.23856119006278007,0.17536261551089952,0.3364057529010152,0.26119640550858575,0.18821605602191352,0.28442900165806034,0.23681700339097167
4,False,False,1.4789710834168937,1.6268681896946238,1.1308470964431763,1.0634129047393799,0.815647542476654,-0.011205794038803285,,,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,5.072234258712402,21.829179763793945,5.0,5.816255372017622,0.11825502198189497,5,2.432667795899065e-05,0.1478971106714617,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.03214442651769672,0.0,0.0,0.2790119754930358,0.23856118915588884,0.17536261565162403,0.33640574896072917,0.26119640547731365,0.18821605696007687,0.28442899950028466,0.23681700339097167
5,False,False,1.479397145204504,1.6273368624862818,1.130915880203247,1.0634453296661377,0.8156965374946594,-0.011267361344227345,,,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,4.779395754915219,16.918357849121094,5.0,5.908299180679023,0.11600012332201004,5,2.432667795899065e-05,0.14793971702182843,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.03214442651769672,0.0,0.0,0.27901197430469554,0.23856119062567807,0.17536261519817842,0.33640575127486544,0.26119640547731365,0.18821605594373325,0.28442899840576075,0.23681700307825054
6,True,False,0.939574299741767,1.0935915652252068,0.6929085850715637,0.8324112892150879,0.6094068884849548,0.3803996779038188,0.618556713846922,0.5382047588945125,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,9.805564115830508,34.90580368041992,5.0,5.893066518008709,0.11507526785135269,5,2.432667795899065e-05,0.14759223175636743,0.004978187961854698,0.0014468446177303515,0.0,0.3999999761581421,0.04251049958943445,0.40008048452085115,0.04257163974179926,1.0,0.8502098635886673,0.2191366663228052,0.5809345213463775,0.11497264259259322,0.2614584306855017,0.5805164224703689,0.16976860884854575,0.10759148433225978,0.23590516994032004,0.11593712985922132,0.33286779093217,0.1959549635805088
7,True,False,0.5208993039767239,0.6731782417982848,0.6668649911880493,0.816618025302887,0.5914239287376404,0.403688026140526,0.6453321800234437,0.5964690890671717,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,7.65352017231528,20.838640213012695,5.0,5.988809294067323,0.11115589737892151,5,2.432667795899065e-05,0.1475368473651464,0.0030576912651872185,0.0016843945402182944,0.0,0.3999999761581421,0.042405567772037585,0.40002546464909033,0.04252474005495326,1.0,0.8481112277019937,0.33044900355033835,0.7260941375840498,0.2048137857806395,0.2654453223924947,0.5241194744550419,0.1637825405485107,0.07007924350054792,0.22327375327552604,0.15547398220579622,0.34749838506562514,0.2503273000184286
8,True,False,0.4303733277655473,0.5820803483879704,0.6834592819213867,0.8267159461975098,0.6053385138511658,0.38884924590826864,0.636642464971553,0.5927497012666044,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,7.433262859036264,20.20611000061035,5.0,5.978749033994973,0.12339088600128889,5,2.432667795899065e-05,0.14757966377615053,0.002580224266942739,0.0015471325651901322,0.0,0.3999999761581421,0.04210388878944788,0.3999431261485921,0.04226576775343696,1.0,0.842077649527807,0.3393466312512521,0.7343213625744782,0.2305087721110141,0.2724363367930289,0.5112147443817395,0.15629275335470003,0.05991687143274269,0.2255511155346133,0.16009054655856125,0.345719794098753,0.26877783695460616
9,True,False,0.37006241450592453,0.5212893972929727,0.6490362882614136,0.8056278824806213,0.5804933309555054,0.4196303425045922,0.6584596211147666,0.6150706612277012,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,7.35435740920204,18.654815673828125,5.0,5.976391582749784,0.11858759634196758,5,2.432667795899065e-05,0.14748317914832176,0.0024159489137593354,0.0013278549589467864,0.0,0.3999999761581421,0.042130121752103754,0.3998698755426397,0.042321384680171076,1.0,0.8426023084994754,0.33906222684435927,0.7513672267277368,0.22791025664848896,0.2856321447105748,0.4962185007702766,0.15193202721046875,0.06012968183470673,0.22052090212405667,0.1766874294528681,0.3419149270337876,0.26696439004519806
10,True,False,0.32472122533311376,0.475931790042649,0.660854160785675,0.8129293918609619,0.5925933122634888,0.40906284357101275,0.651468998734579,0.6064329356112703,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,7.383927840626127,22.45453453063965,5.0,5.855145901441574,0.11317652743309736,5,2.432667795899065e-05,0.14754582758590282,0.00250552381515092,0.0011592132727049217,0.0,0.3999999761581421,0.042431800740556976,0.399804278848554,0.04265719907434515,1.0,0.8486358866736621,0.3439662642268794,0.768717232305881,0.23200523245059432,0.2940248477684113,0.47384256033807337,0.15740468801006066,0.06051905710222776,0.22221553238091163,0.18361843794052649,0.3263549292450311,0.28201994143528053
