epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.123923944536845,1.2363163453420003,1.0489732027053833,1.0241938829421997,0.8253843188285828,-0.03671467656958893,0.04873964706063083,0.006887593295394415,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,18.531229242960613,59.22156524658203,5.0,6.792800761759281,0.17424774914979935,5,2.432667795899065e-05,0.11239239643017451,0.0,0.0,0.0,0.0,0.0,9.999999746990701e-05,9.999999746990701e-05,0.0,0.0,0.029344539086023965,0.0,0.0,0.09021081751187643,0.2618556509653727,0.17529440415700276,0.22877057991027833,0.21615435353914897,0.2862537748336792,0.5183404239654541,0.22311999158859253
2,False,False,0.8472825844446819,0.9320108422279358,1.1886435747146606,1.0902493000030518,0.8866775035858154,-0.1747527888508349,-0.1069376847078757,-0.18683305745715112,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,22.2912724609375,84.89717864990234,5.0,6.035912467166781,0.17077002581208944,5,2.432667795899065e-05,0.08472825988133749,0.0,0.0,0.0,0.0,0.0,9.999999746990701e-05,9.999999746990701e-05,0.0,0.0,0.02938063759803772,0.0,0.0,0.08385442260106404,0.26185565220514934,0.14663437401453655,0.2287705792427063,0.2000756172180176,0.2862537760734558,0.5694355861663818,0.22311999044418335
3,False,False,0.8321990583260854,0.9154189668655396,1.189314603805542,1.0905569791793823,0.8848105072975159,-0.17541595802061472,-0.041956347402923436,-0.17363444403027634,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,20.232599830118815,72.95962524414062,5.0,5.957746650092304,0.16236159391701221,5,2.432667795899065e-05,0.08321990744670232,0.0,0.0,0.0,0.0,0.0,9.999999746990701e-05,9.999999746990701e-05,0.0,0.0,0.029351592683792116,0.0,0.0,0.06950830591519673,0.26185565274556477,0.13873925995826722,0.22877058086395263,0.2044536821047465,0.2862537753423055,0.5872987512588501,0.2231199904759725
4,False,False,0.806074577109019,0.8866820359071096,1.1528141498565674,1.0736918449401855,0.8769614696502686,-0.13934208155624006,0.011142721622375978,-0.02090706515046203,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,18.502062363179526,51.48063278198242,5.0,6.115951586514711,0.1727176494896412,5,2.432667795899065e-05,0.08060745934446653,0.0,0.0,0.0,0.0,0.0,9.999999746990701e-05,9.999999746990701e-05,0.0,0.0,0.029290280103683473,0.0,0.0,0.06228770473798116,0.261855651919047,0.1330032015800476,0.22877058041890463,0.18814624064763388,0.2862537746111552,0.6165628541310628,0.22311999123891194
5,False,False,0.7936404206752777,0.8730044605255127,1.2570972442626953,1.1212034225463867,0.9084973931312561,-0.24240657097924734,-0.08249151599200377,-0.16771747119652627,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,17.097281743367514,59.36374282836914,5.0,5.9672488532960415,0.16363433096557856,5,2.432667795899065e-05,0.07936404320398967,0.0,0.0,0.0,0.0,0.0,9.999999746990701e-05,9.999999746990701e-05,0.0,0.0,0.02934283316930135,0.0,0.0,0.059935124985376995,0.26185565147399903,0.13270897472699483,0.22877058118184407,0.20086753334999086,0.2862537743250529,0.6064883684794108,0.22311999162038168
6,True,False,0.7496748416105906,0.827987340927124,1.30571448802948,1.1426786184310913,0.910072386264801,-0.2904557096538516,-0.052598739820914904,-0.019391474409008153,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,16.800313707987467,77.84197235107422,5.0,6.031595558859408,0.1659503849223256,5,2.432667795899065e-05,0.0775578935255607,0.0,0.0007546039658909042,0.0,0.0,0.04246667306423187,9.999999746990701e-05,0.04253667460282644,0.0,0.8493333333333334,0.11851631849606832,0.0,0.07212749252319337,0.05823512276013692,0.2679890143712362,0.11371845401128133,0.22494411042531332,0.21665541370709737,0.2857292811075846,0.6113910073598225,0.22133759517669677
7,True,False,0.6835796830495199,0.7622030818303426,1.291172742843628,1.1362978219985962,0.8945120573043823,-0.2760838081928132,0.058615099543713536,0.028914941241141436,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,17.777461562093098,71.83016967773438,5.0,6.182771681807935,0.15484733879566193,5,2.432667795899065e-05,0.07757545718948046,0.0,0.0010479446687735618,0.0,0.0,0.04272000646193822,9.999999746990701e-05,0.043000619049866996,0.0,0.8544,0.1954304324467977,0.0,0.1579607825279236,0.05926573357582092,0.26625138298670453,0.1108224042415619,0.22361954282124838,0.18249405581156414,0.2859604721705119,0.6474178034464518,0.2241686006863912
8,True,False,0.6359384709676107,0.7137198489189148,1.16594398021698,1.0797888040542603,0.8493392467498779,-0.15231848575883133,0.15675332930125022,0.08536651146984045,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,20.35458399302165,69.39762878417969,5.0,6.037308124825358,0.15788630861788988,5,2.432667795899065e-05,0.07645162854592005,0.0,0.00132974953710412,0.0,0.0,0.04277333980401357,9.999999746990701e-05,0.04325741931597392,0.0,0.8554666666666667,0.23320671552022298,0.0,0.21350720119476319,0.05784347871144613,0.2654767465273539,0.11734463322957357,0.22009349082310994,0.16747456931273141,0.28760872192382814,0.6573373171488444,0.22682104018529256
9,True,False,0.5899204971949259,0.6686710750579834,1.2486368417739868,1.1174242496490479,0.8942204713821411,-0.2340450603502089,0.17796921689772482,0.08020686416953118,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,21.433233733113607,79.18000793457031,5.0,5.9651317317038774,0.16697582975029945,5,2.432667795899065e-05,0.07716242828369141,0.0,0.001588149856434514,0.0,0.0,0.042320006370544436,9.999999746990701e-05,0.04294950482050578,0.0,0.8464,0.25543713760375975,0.0,0.27172619263331094,0.05363901835282644,0.2685787916501363,0.10976272966861725,0.22175567433039348,0.1450278196811676,0.2839706844011943,0.691570434697469,0.22569485009511311
10,True,False,0.5567772926330566,0.6365589752515157,1.0850460529327393,1.041655421257019,0.8135899305343628,-0.0723659725090966,0.2543614339038111,0.15066782739933435,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,26.185471944173177,98.40109252929688,5.0,6.102812632918358,0.15885064750909805,5,2.432667795899065e-05,0.07821593234936396,0.0,0.0015657531908131205,0.0,0.0,0.042106672978401184,9.999999746990701e-05,0.042815460435549416,0.0,0.8421333333333333,0.27936617336273195,0.0,0.30730129254659017,0.05451100434462229,0.265532896677653,0.09475020449956258,0.22674673077265423,0.1314857438246409,0.28048263765970866,0.7192530495961507,0.2272377324740092
