epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,2.142420308748881,2.3566623428026836,1.013098120689392,1.0065277814865112,0.8141769170761108,-0.001258749231919376,-0.07010028949998032,-0.04569558648179974,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,9.727540221182505,36.66554641723633,5.0,4.49570129159838,0.13367313332855701,5,2.432667795899065e-05,0.21424203519423804,0.0,0.0,0.0,0.0,0.0,9.999999746990701e-05,9.999999746990701e-05,0.0,0.0,0.027772555303573608,0.0,0.0,0.30532802708943685,0.2671918766657511,0.24862920808792113,0.2199183451652527,0.22425173486073813,0.26795961567560833,0.2217910206158956,0.24493016007741292
2,False,False,1.5446156223932903,1.6990771887779237,1.0156025886535645,1.0077711343765259,0.8158693313598633,-0.003734072725958937,,,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,4.948437808946768,18.445737838745117,5.0,4.473071253858507,0.15622148755937815,5,2.432667795899065e-05,0.1544615644733111,0.0,0.0,0.0,0.0,0.0,9.999999746990701e-05,9.999999746990701e-05,0.0,0.0,0.027772555271784464,0.0,0.0,0.3053280271848043,0.2671918766975403,0.24862920821507772,0.21991834522883097,0.22425173587799072,0.26795961592992146,0.2217910203933716,0.2449301601409912
3,False,False,1.5436759799321493,1.698043578306834,1.0440601110458374,1.0217926502227783,0.8166650533676147,-0.03185901551681125,-0.07010028949998033,-0.04569558648179974,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,4.919241556406021,15.906103134155273,5.0,5.196600798517466,0.15059122629463673,5,2.432667795899065e-05,0.15436760023434956,0.0,0.0,0.0,0.0,0.0,9.999999746990701e-05,9.999999746990701e-05,0.0,0.0,0.027772555271784464,0.0,0.0,0.3053280277252197,0.26719187491734825,0.24862920796076457,0.21991834564208984,0.22425173517862956,0.2679596155802409,0.22179102115631102,0.24493016093571982
4,False,False,1.542355468304952,1.696591017818451,1.0210317373275757,1.0104610919952393,0.8116565942764282,-0.0090997189292652,,,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,4.952460482756297,20.851871490478516,5.0,5.526873805560172,0.1481095915660262,5,2.432667795899065e-05,0.15423554934263228,0.0,0.0,0.0,0.0,0.0,9.999999746990701e-05,9.999999746990701e-05,0.0,0.0,0.027772555287679038,0.0,0.0,0.3053280274073283,0.26719187723795573,0.2486292086283366,0.21991834497451782,0.2242517344156901,0.26795961526234946,0.2217910205523173,0.244930162080129
5,False,False,1.5441163411458334,1.6985279795964559,1.0195139646530151,1.0097098350524902,0.811521589756012,-0.007599711684375343,,,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,4.748106541083256,18.548641204833984,5.0,5.536848395131528,0.15026560612022877,5,2.432667795899065e-05,0.15441163659095763,0.0,0.0,0.0,0.0,0.0,9.999999746990701e-05,9.999999746990701e-05,0.0,0.0,0.027772555319468182,0.0,0.0,0.30532802708943685,0.2671918753941854,0.2486292077700297,0.21991834599177043,0.22425173473358154,0.2679596152941386,0.22179102052052815,0.24493016001383464
6,True,False,0.9655265212059021,1.1268232883453368,0.7784786224365234,0.8823143839836121,0.7182570695877075,0.23061880554826086,0.4812081884132932,0.41552204943320176,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,9.61447512257894,39.218650817871094,5.0,5.6515826135873795,0.16406600084155798,5,2.432667795899065e-05,0.15439961348374684,0.005411463029868901,0.0014856889685499481,0.0,0.3999999761581421,0.04232000636259715,0.4000769442240397,0.042375923204421996,1.0,0.8464,0.24973338497479758,0.6441361285527547,0.12268231219847997,0.2985731979370117,0.30843033475875853,0.24586559460957846,0.1147537338813146,0.28732094275156655,0.15823050203323363,0.16824026416142782,0.4185854268391927
7,True,False,0.5370141075452168,0.6954657799084981,0.840921938419342,0.917017936706543,0.737216591835022,0.16890524380107386,0.4795317891770734,0.3827180117989336,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,7.097557150268555,17.993915557861328,5.0,5.608333369717002,0.1687106629833579,5,2.432667795899065e-05,0.15420089962482453,0.0028042072719351076,0.0014465677364108463,0.0,0.3999999761581421,0.04170667289098104,0.3999920486450195,0.04182920736471812,1.0,0.8341333333333333,0.22159930006663003,0.7276930141448975,0.18500746189753214,0.2871598453203837,0.25075384867986045,0.2400764396349589,0.0977102781534195,0.2966301891644796,0.16008606746991474,0.17613352635701499,0.4914498050053914
8,True,False,0.40960219650268553,0.567487878259023,0.7988144159317017,0.8937641978263855,0.7181649804115295,0.2105206674475083,0.5383705283192423,0.40101443746859966,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,6.810946379089356,23.5931339263916,5.0,5.581862247548997,0.16561471577733755,5,2.432667795899065e-05,0.15408678247133892,0.0024288201136669764,0.0013700783688109367,0.0,0.3999999761581421,0.04261333977381388,0.39992479387919105,0.042784842705726626,1.0,0.8522666666666666,0.2541453340530396,0.7623147843678793,0.2145352436065674,0.28273313109079995,0.24901466089884441,0.252127281888326,0.09269055868784587,0.2858958583831787,0.16136361967722576,0.17924372787475587,0.49693116143544513
9,True,False,0.33599686082204183,0.49371270281473795,0.718754768371582,0.8477940559387207,0.6973415613174438,0.2896447004838373,0.545279032663415,0.40715771493371994,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,6.416271979777018,19.644933700561523,5.0,5.604408388026059,0.1600787416100502,5,2.432667795899065e-05,0.15419572478930155,0.002202611471990743,0.0013175030254254428,0.0,0.3999999761581421,0.042160006328423816,0.39987753156026207,0.04237156320015589,1.0,0.8432,0.29240652554829916,0.7665458452860514,0.2296801466782888,0.27760333709716795,0.2838638326644897,0.2601202646255493,0.08862074744701386,0.2821658601442973,0.1607563777287801,0.18011053625742596,0.46675904191335044
10,True,False,0.2871683592001597,0.4445398032506307,0.7587563395500183,0.8710662126541138,0.7030264735221863,0.2501106668668017,0.5423856003253485,0.3528903906186974,0.3999999761581421,2.457627231785399e-05,0.050000008193651836,7.488522519492616e-06,5.950900364685059,21.877635955810547,5.0,5.590447762049735,0.15002717822790146,5,2.432667795899065e-05,0.15411094394127528,0.0021473509877842543,0.0011131483835168183,0.0,0.3999999761581421,0.042626673110326134,0.3998333573659261,0.04287299336592356,1.0,0.8525333333333334,0.3068047183354696,0.7861615439097086,0.23047359406153362,0.28649929167429605,0.2996583796183268,0.2539154748280843,0.07846164476076761,0.2776442495346069,0.15662151397069296,0.18194098421732585,0.4652584614435832
