dataset,protocol,variant,run,full_mse,ablation_mse,ablation_minus_full
2773,warm,without_protein,1,0.2636280953884125,0.2893490791320801,0.025720983743667603
2773,warm,without_protein,2,0.3239820897579193,0.3346470296382904,0.010664939880371094
2773,warm,without_protein,3,0.28098464012145996,0.29522085189819336,0.014236211776733398
2773,warm,without_protein,4,0.26930779218673706,0.3203245997428894,0.051016807556152344
2773,warm,without_protein,5,0.24558569490909576,0.2709029018878937,0.025317206978797913
2773,warm,without_drug,1,0.2636280953884125,0.2677344083786011,0.004106312990188599
2773,warm,without_drug,2,0.3239820897579193,0.3208800256252289,-0.0031020641326904297
2773,warm,without_drug,3,0.28098464012145996,0.2867988646030426,0.005814224481582642
2773,warm,without_drug,4,0.26930779218673706,0.2863437235355377,0.01703593134880066
2773,warm,without_drug,5,0.24558569490909576,0.2584947347640991,0.012909039855003357
2773,warm,without_joint,1,0.2636280953884125,0.272271066904068,0.008642971515655518
2773,warm,without_joint,2,0.3239820897579193,0.32595905661582947,0.0019769668579101562
2773,warm,without_joint,3,0.28098464012145996,0.2794710397720337,-0.0015136003494262695
2773,warm,without_joint,4,0.26930779218673706,0.26164770126342773,-0.007660090923309326
2773,warm,without_joint,5,0.24558569490909576,0.24603518843650818,0.00044949352741241455
2773,drug_cold,without_protein,1,0.39481067657470703,0.409485787153244,0.014675110578536987
2773,drug_cold,without_protein,2,0.4575321078300476,0.4515438675880432,-0.0059882402420043945
2773,drug_cold,without_protein,3,0.3668862283229828,0.3875216543674469,0.02063542604446411
2773,drug_cold,without_protein,4,0.39985838532447815,0.44097429513931274,0.041115909814834595
2773,drug_cold,without_protein,5,0.3226318359375,0.3251652419567108,0.0025334060192108154
2773,drug_cold,without_drug,1,0.39481067657470703,0.38681474328041077,-0.007995933294296265
2773,drug_cold,without_drug,2,0.4575321078300476,0.4551980197429657,-0.002334088087081909
2773,drug_cold,without_drug,3,0.3668862283229828,0.3877120316028595,0.02082580327987671
2773,drug_cold,without_drug,4,0.39985838532447815,0.3827480673789978,-0.017110317945480347
2773,drug_cold,without_drug,5,0.3226318359375,0.29923880100250244,-0.02339303493499756
2773,drug_cold,without_joint,1,0.39481067657470703,0.3986463248729706,0.00383564829826355
2773,drug_cold,without_joint,2,0.4575321078300476,0.43634775280952454,-0.02118435502052307
2773,drug_cold,without_joint,3,0.3668862283229828,0.39646488428115845,0.02957865595817566
2773,drug_cold,without_joint,4,0.39985838532447815,0.38943254947662354,-0.010425835847854614
2773,drug_cold,without_joint,5,0.3226318359375,0.3205511271953583,-0.0020807087421417236
2773,protein_cold,without_protein,1,1.0958755016326904,1.3795480728149414,0.283672571182251
2773,protein_cold,without_protein,2,1.0758779048919678,1.3181042671203613,0.24222636222839355
2773,protein_cold,without_protein,3,1.0157740116119385,1.493757963180542,0.4779839515686035
2773,protein_cold,without_protein,4,1.0809531211853027,1.5930461883544922,0.5120930671691895
2773,protein_cold,without_protein,5,1.1817394495010376,1.4404000043869019,0.25866055488586426
2773,protein_cold,without_drug,1,1.0958755016326904,1.067033290863037,-0.02884221076965332
2773,protein_cold,without_drug,2,1.0758779048919678,0.9458150267601013,-0.13006287813186646
2773,protein_cold,without_drug,3,1.0157740116119385,1.1237471103668213,0.10797309875488281
2773,protein_cold,without_drug,4,1.0809531211853027,1.3100156784057617,0.22906255722045898
2773,protein_cold,without_drug,5,1.1817394495010376,1.0188242197036743,-0.16291522979736328
2773,protein_cold,without_joint,1,1.0958755016326904,1.0790703296661377,-0.016805171966552734
2773,protein_cold,without_joint,2,1.0758779048919678,1.0952988862991333,0.019420981407165527
2773,protein_cold,without_joint,3,1.0157740116119385,1.0006178617477417,-0.015156149864196777
2773,protein_cold,without_joint,4,1.0809531211853027,1.1368943452835083,0.055941224098205566
2773,protein_cold,without_joint,5,1.1817394495010376,1.0197449922561646,-0.16199445724487305
KinetX,warm,without_protein,1,0.43294867873191833,0.5754282474517822,0.1424795687198639
KinetX,warm,without_protein,2,0.4331216812133789,0.5137529373168945,0.08063125610351562
KinetX,warm,without_protein,3,0.4064989387989044,0.5006515979766846,0.09415265917778015
KinetX,warm,without_protein,4,0.32757219672203064,0.38441208004951477,0.05683988332748413
KinetX,warm,without_protein,5,0.3175601363182068,0.40606242418289185,0.08850228786468506
KinetX,warm,without_drug,1,0.43294867873191833,0.501366376876831,0.06841769814491272
KinetX,warm,without_drug,2,0.4331216812133789,0.44908300042152405,0.01596131920814514
KinetX,warm,without_drug,3,0.4064989387989044,0.4145682454109192,0.00806930661201477
KinetX,warm,without_drug,4,0.32757219672203064,0.324989378452301,-0.0025828182697296143
KinetX,warm,without_drug,5,0.3175601363182068,0.33704811334609985,0.019487977027893066
KinetX,warm,without_joint,1,0.43294867873191833,0.4356507658958435,0.002702087163925171
KinetX,warm,without_joint,2,0.4331216812133789,0.4327579140663147,-0.000363767147064209
KinetX,warm,without_joint,3,0.4064989387989044,0.3961643576622009,-0.010334581136703491
KinetX,warm,without_joint,4,0.32757219672203064,0.3235816955566406,-0.003990501165390015
KinetX,warm,without_joint,5,0.3175601363182068,0.3234165608882904,0.005856424570083618
KinetX,drug_cold,without_protein,1,0.5256850719451904,0.6085847020149231,0.08289963006973267
KinetX,drug_cold,without_protein,2,0.4799301326274872,0.5852069854736328,0.10527685284614563
KinetX,drug_cold,without_protein,3,0.5476784110069275,0.657524824142456,0.10984641313552856
KinetX,drug_cold,without_protein,4,0.523422360420227,0.6770314574241638,0.15360909700393677
KinetX,drug_cold,without_protein,5,0.5329849720001221,0.641841471195221,0.10885649919509888
KinetX,drug_cold,without_drug,1,0.5256850719451904,0.5413199067115784,0.01563483476638794
KinetX,drug_cold,without_drug,2,0.4799301326274872,0.4926969110965729,0.012766778469085693
KinetX,drug_cold,without_drug,3,0.5476784110069275,0.5612097978591919,0.013531386852264404
KinetX,drug_cold,without_drug,4,0.523422360420227,0.48467904329299927,-0.03874331712722778
KinetX,drug_cold,without_drug,5,0.5329849720001221,0.5070515871047974,-0.025933384895324707
KinetX,drug_cold,without_joint,1,0.5256850719451904,0.525184690952301,-0.0005003809928894043
KinetX,drug_cold,without_joint,2,0.4799301326274872,0.48629629611968994,0.006366163492202759
KinetX,drug_cold,without_joint,3,0.5476784110069275,0.5358312726020813,-0.011847138404846191
KinetX,drug_cold,without_joint,4,0.523422360420227,0.5129092931747437,-0.010513067245483398
KinetX,drug_cold,without_joint,5,0.5329849720001221,0.5986899137496948,0.06570494174957275
KinetX,protein_cold,without_protein,1,0.8772900700569153,0.769136369228363,-0.10815370082855225
KinetX,protein_cold,without_protein,2,0.9776936769485474,0.9347769618034363,-0.042916715145111084
KinetX,protein_cold,without_protein,3,0.9367566108703613,0.8787844777107239,-0.05797213315963745
KinetX,protein_cold,without_protein,4,0.87883061170578,0.8457238674163818,-0.03310674428939819
KinetX,protein_cold,without_protein,5,0.9029018878936768,0.8196622729301453,-0.0832396149635315
KinetX,protein_cold,without_drug,1,0.8772900700569153,0.8667171597480774,-0.01057291030883789
KinetX,protein_cold,without_drug,2,0.9776936769485474,1.054492712020874,0.07679903507232666
KinetX,protein_cold,without_drug,3,0.9367566108703613,0.970750629901886,0.03399401903152466
KinetX,protein_cold,without_drug,4,0.87883061170578,0.9695367217063904,0.09070611000061035
KinetX,protein_cold,without_drug,5,0.9029018878936768,0.8449681401252747,-0.0579337477684021
KinetX,protein_cold,without_joint,1,0.8772900700569153,0.8590680360794067,-0.018222033977508545
KinetX,protein_cold,without_joint,2,0.9776936769485474,0.9754979014396667,-0.0021957755088806152
KinetX,protein_cold,without_joint,3,0.9367566108703613,0.911892831325531,-0.024863779544830322
KinetX,protein_cold,without_joint,4,0.87883061170578,0.8831468820571899,0.004316270351409912
KinetX,protein_cold,without_joint,5,0.9029018878936768,0.8802221417427063,-0.02267974615097046
