dataset,protocol,variant,method,mse,rmse,mae,r2,pearson,spearman
2773,drug_cold,full,raw_pair_unique_pooled_test_predictions,0.3883633778818041,0.6231880758501434,0.45668197859090737,0.5900340675846083,0.7760168559954687,0.7216777296350251
2773,drug_cold,without_drug,raw_pair_unique_pooled_test_predictions,0.38237215434881167,0.6183624781217014,0.4538880961322791,0.5963585504836106,0.7813332158531078,0.7280909400002712
2773,drug_cold,without_joint,raw_pair_unique_pooled_test_predictions,0.3883125255274642,0.6231472743480984,0.4603065239091589,0.5900877485804226,0.7760435828906809,0.7188211149984299
2773,drug_cold,without_protein,raw_pair_unique_pooled_test_predictions,0.4029525027686841,0.6347853989882597,0.46645751887757103,0.5746334285748337,0.7631405585011544,0.7138936734407882
2773,protein_cold,full,five_seed_prediction_ensemble,1.0628652652302286,1.0309535708412036,0.8376384105838713,0.09388967669083337,0.4199238136880439,0.37880177998669706
2773,protein_cold,without_drug,five_seed_prediction_ensemble,1.0581425844032255,1.028660577840536,0.8323749559213881,0.09791584067514114,0.4279367331203117,0.41787397319062736
2773,protein_cold,without_joint,five_seed_prediction_ensemble,1.0301109370629766,1.0149438098057333,0.8251871181804628,0.1218132864429824,0.4298015939018921,0.3885191412007895
2773,protein_cold,without_protein,five_seed_prediction_ensemble,1.4136867279345748,1.1889855877741222,0.9779745201351212,-0.2051914574790492,0.21582810372320618,0.23559768439633405
2773,warm,full,raw_pair_unique_pooled_test_predictions,0.27671154236669054,0.5260337844346982,0.3704261910385263,0.7078964909225121,0.8436313931721507,0.814703438531527
2773,warm,without_drug,raw_pair_unique_pooled_test_predictions,0.2840587286920777,0.5329716021441271,0.3725394032864667,0.7001406203537025,0.8393590436447181,0.8129649251652097
2773,warm,without_joint,raw_pair_unique_pooled_test_predictions,0.2770935698011071,0.5263967798164301,0.36745944865493946,0.7074932133678336,0.8445101850664735,0.8169524920747917
2773,warm,without_protein,raw_pair_unique_pooled_test_predictions,0.30209355155239226,0.5496303772103506,0.3852422520259024,0.6811026178257569,0.8277577388147194,0.8064492969434429
KinetX,drug_cold,full,raw_pair_unique_pooled_test_predictions,0.5219408939295144,0.7224547694696979,0.4995660956131908,0.6360802915817592,0.7983007271661273,0.7784282051471404
KinetX,drug_cold,without_drug,raw_pair_unique_pooled_test_predictions,0.5173958606534376,0.7193023430056638,0.4881859768154336,0.6392492848601522,0.8002227748807555,0.7805602429179296
KinetX,drug_cold,without_joint,raw_pair_unique_pooled_test_predictions,0.5317810727848679,0.7292332087781438,0.5023897771540246,0.6292192943664171,0.7936343361019588,0.7797137030132459
KinetX,drug_cold,without_protein,raw_pair_unique_pooled_test_predictions,0.6340332220896712,0.7962620310486186,0.539849984953628,0.5579246845879242,0.7487470728611788,0.7433558072824471
KinetX,protein_cold,full,five_seed_prediction_ensemble,0.8513984598315943,0.9227125553668349,0.7213536008994147,0.33673433401029007,0.6216570300705198,0.5854639943373868
KinetX,protein_cold,without_drug,five_seed_prediction_ensemble,0.8881570675056167,0.9424208547701057,0.7393480178773683,0.308098244623204,0.5913742288973382,0.5291827601439527
KinetX,protein_cold,without_joint,five_seed_prediction_ensemble,0.8495481855387191,0.9217093823644843,0.7205299567987282,0.3381757547657026,0.6234859001291759,0.5827632234417185
KinetX,protein_cold,without_protein,five_seed_prediction_ensemble,0.8016535433096684,0.8953510726579091,0.6621764164476311,0.3754871586196321,0.6247960015043819,0.5753009087740474
KinetX,warm,full,non_strict_pooled_test_predictions,0.3835403180637356,0.6193063200579626,0.41709688146573004,0.7306069623063901,0.8550541810460917,0.8391084707558284
KinetX,warm,without_drug,non_strict_pooled_test_predictions,0.4054110237696709,0.6367189519479304,0.42620125432780714,0.7152453026082152,0.8469444418981954,0.8341745867515752
KinetX,warm,without_joint,non_strict_pooled_test_predictions,0.38231426205531144,0.6183156653808081,0.4161947127720427,0.7314681258840795,0.8556491918803099,0.8396259018472709
KinetX,warm,without_protein,non_strict_pooled_test_predictions,0.47606147151218126,0.689972080241064,0.4479999171800638,0.665621474720046,0.8169691232186141,0.8168605801589341
