epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,0.7185845183595316,0.790442968016737,0.43430382013320923,0.6590173244476318,0.5087050795555115,0.5017343503991449,0.7250154837808375,0.677929096857813,0.05000000818988087,7.529606512704365e-06,0.3999999761581421,2.4881258803202306e-05,13.148734620893695,54.03105163574219,5.0,2.631272343918681,0.05330437421798706,1,4.684559877139664e-05,0.07185845301495668,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03132045136967128,0.0,0.0,0.09941186066880046,0.23763742906294305,0.26926015935442854,0.3404998674888945,0.20947537592303686,0.18746684286657037,0.42185260830682186,0.23439585929184706
2,False,False,0.4954636633733939,0.5450100299932489,0.40852585434913635,0.6391602754592896,0.5067773461341858,0.5313087261548884,0.7475606442285655,0.7134195145728991,0.05000000818988087,7.529606512704365e-06,0.3999999761581421,2.4881258803202306e-05,14.323069335626979,38.49315643310547,5.0,1.902345184236765,0.05240466631948948,1,4.684559877139664e-05,0.04954636711694419,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.031649330176992674,0.0,0.0,0.06780504213050123,0.23763742801886376,0.17303130296258076,0.3404998673046452,0.1214126873298873,0.18746684271302927,0.6377509689281922,0.2343958599674278
3,False,False,0.46476141035188295,0.5112375508166661,0.37481391429901123,0.6122204661369324,0.44243675470352173,0.5699855712604956,0.7615427607062888,0.7456398870903924,0.05000000818988087,7.529606512704365e-06,0.3999999761581421,2.4881258803202306e-05,13.48139378853768,42.38606262207031,5.0,1.9637069832533598,0.052385459654033184,1,4.684559877139664e-05,0.046476141937817884,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.0316135704302407,0.0,0.0,0.04085817989892778,0.2376374282645295,0.10171207271243787,0.34049986779597663,0.13530320018176747,0.18746684302011143,0.7221265525808045,0.2343958589233485
4,False,False,0.437668162237302,0.4814349778038764,0.3502694070339203,0.591835618019104,0.4321553111076355,0.5981448420437816,0.7737975496202709,0.7506619554088046,0.05000000818988087,7.529606512704365e-06,0.3999999761581421,2.4881258803202306e-05,12.079673820153639,41.09999465942383,5.0,1.9306830689311028,0.050720568746328354,1,4.684559877139664e-05,0.04376681715764378,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.0313311175302646,0.0,0.0,0.03687970648101775,0.2376374289401102,0.10614716714955309,0.3404998665062316,0.09255003700361984,0.1874668437571086,0.7644230890740813,0.23439585947609637
5,False,False,0.4237436523516113,0.4661180169111917,0.43877044320106506,0.6623975038528442,0.49206042289733887,0.496609865939293,0.7716964015069114,0.7487262892602586,0.05000000818988087,7.529606512704365e-06,0.3999999761581421,2.4881258803202306e-05,11.66318255094816,36.11137771606445,5.0,1.839542094618082,0.050567069090902805,1,4.684559877139664e-05,0.0423743659030648,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.031535327803038374,0.0,0.0,0.03329798993776902,0.23763742887869377,0.11664149321765399,0.34049986669048093,0.10581207984750385,0.1874668431429443,0.7442484369970731,0.23439585923043063
6,True,False,0.39736656226613115,0.44079052325624096,0.29451218247413635,0.5426897406578064,0.39431166648864746,0.6621137038711107,0.8164996774817536,0.8043426372176323,0.05000000818988087,7.529606512704365e-06,0.3999999761581421,2.4881258803202306e-05,10.566439975972399,35.268062591552734,5.0,2.0340011045336723,0.05014954600483179,1,4.684559877139664e-05,0.04194256761396809,0.0002611562011956939,0.0012202371093087063,0.0,0.05000000818988087,0.3352910635214623,0.05001008665666084,0.33517199874477005,1.0,0.8382277176713034,0.17355328248617025,0.024165507691966574,0.10463621225140869,0.0286637877278694,0.0238891165724647,0.11436439730468821,0.04923303799952262,0.09588901016099252,0.12719162154725874,0.761082801543702,0.7996862198752512
7,True,False,0.3006131371875696,0.34456499666359425,0.33472320437431335,0.5785526633262634,0.456316202878952,0.6159806169165485,0.8418982742972279,0.8182881073761583,0.05000000818988087,7.529606512704365e-06,0.3999999761581421,2.4881258803202306e-05,10.508975196535719,45.38175582885742,5.0,1.9317313665524125,0.050900635309517384,1,4.684559877139664e-05,0.04255583411728458,0.00026976267138982096,0.0011262638589555837,0.0,0.05000000818988087,0.33941264842847524,0.050076240764826245,0.339282157432167,1.0,0.848531684698609,0.2623533498743402,0.046725895096505196,0.19066660002541874,0.027268984421726847,0.007811599987329189,0.09284664152333075,0.011998480795232492,0.08135686333049885,0.12506549375871603,0.7985275087744719,0.8551244251756309
8,True,False,0.25621043491124,0.2997454284608272,0.2655382454395294,0.5153040289878845,0.3782505393028259,0.69535475594333,0.8516109317190735,0.8225063594330977,0.05000000818988087,7.529606512704365e-06,0.3999999761581421,2.4881258803202306e-05,9.32804857683452,29.603992462158203,5.0,2.046054563485086,0.05112204048782587,1,4.684559877139664e-05,0.04226069228885823,0.00026184947985991654,0.0010124514295238789,0.0,0.05000000818988087,0.340030887027428,0.05015541546311592,0.33991654959614287,1.0,0.8500772797527048,0.3093115234424133,0.058702705356031885,0.20463428719641927,0.02490999385722208,0.006855439055002823,0.11871630168341903,0.011772877001719398,0.06452662692372176,0.09890682163894453,0.7918470712865154,0.8824648596711039
9,True,False,0.2148778319573783,0.25671163516091294,0.2915570139884949,0.5399602055549622,0.3882092535495758,0.6655040747643909,0.8432704859189112,0.8263632567428225,0.05000000818988087,7.529606512704365e-06,0.3999999761581421,2.4881258803202306e-05,9.045273341326785,30.144289016723633,5.0,2.046752281486988,0.05265173967927694,1,4.684559877139664e-05,0.04086825485153643,0.0002592114341834038,0.0007063367966387857,0.0,0.05000000818988087,0.35074701123726487,0.050247459805300404,0.35066160033008353,1.0,0.8768675940236991,0.3290085563458222,0.07228015219655497,0.21211462488253052,0.025839767586257518,0.009304574391833905,0.09815959918750801,0.02242931503839004,0.07883147134540132,0.11706278237837114,0.7971691655351107,0.8512033271396485
10,True,False,0.20645589327333147,0.24913151843961767,0.2592649459838867,0.5091806650161743,0.3511039614677429,0.702551924519242,0.8583870955696608,0.8310580453726514,0.05000000818988087,7.529606512704365e-06,0.3999999761581421,2.4881258803202306e-05,9.0288463240736,47.989437103271484,5.0,1.9603509372100234,0.052870649844408035,1,4.684559877139664e-05,0.041710196628145554,0.0002900073897644843,0.0006754208342129921,0.0,0.05000000818988087,0.3422977578572426,0.050318676224079165,0.3422470335982498,1.0,0.8557444616177228,0.35639681440232523,0.08246852945016254,0.21051207560967194,0.02583453819608639,0.010849638494179767,0.10712852398493068,0.01789096263436421,0.07490005979044789,0.13874630762061652,0.7921368796944557,0.8325130933342
