epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,0.8677867216771562,0.954565390675784,0.5244702696800232,0.7242031693458557,0.5735563635826111,0.3982887383717647,0.650499302046725,0.6310268721140202,0.10000000148627759,2.0273861294631143e-05,0.010000001639127731,1.0421192441669103e-06,12.628479506783973,57.159027099609375,5.0,2.6636714562773705,0.05111302342265844,1,2.3586399722419837e-05,0.08677867351273542,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03109994986694784,0.0,0.0,0.20738848289959458,0.23763742906294305,0.29166801180930435,0.3404998674888945,0.29817485133745447,0.18746684286657037,0.20276865518197518,0.23439585929184706
2,False,False,0.5405880412694292,0.5946468448344118,0.4468001425266266,0.6684311032295227,0.5314034819602966,0.48739759876654287,0.7237918298167894,0.6807808839031162,0.10000000148627759,2.0273861294631143e-05,0.010000001639127731,1.0421192441669103e-06,16.476359911274503,47.666893005371094,5.0,2.0328259114176035,0.05089292023330927,1,2.3586399722419837e-05,0.054058804856646867,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03101782050100815,0.0,0.0,0.21574363648307993,0.23763742801886376,0.2891677654876591,0.3404998673046452,0.219244556412262,0.18746684271302927,0.27584404198549756,0.2343958599674278
3,False,False,0.47639518356673316,0.5240347020823215,0.3832513093948364,0.6190729141235352,0.44823408126831055,0.5603055128897161,0.7575293599041936,0.7380334599023233,0.10000000148627759,2.0273861294631143e-05,0.010000001639127731,1.0421192441669103e-06,20.659656638647096,55.66524887084961,5.0,2.054501436650753,0.049924383871257305,1,2.3586399722419837e-05,0.04763951931208265,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03131347996005688,0.0,0.0,0.21651767640307906,0.2376374282645295,0.2267989610532459,0.34049986779597663,0.2367859051314781,0.18746684302011143,0.31989745802636127,0.2343958589233485
4,False,False,0.451610869534663,0.4967719551093304,0.3855489492416382,0.6209259033203125,0.46954891085624695,0.5576695375140661,0.7619713698572257,0.7320665441261338,0.10000000148627759,2.0273861294631143e-05,0.010000001639127731,1.0421192441669103e-06,19.482840685915665,101.00161743164062,5.0,2.0293386690318584,0.051357763819396496,1,2.3586399722419837e-05,0.045161087751112175,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.031102187605262847,0.0,0.0,0.20676300747992757,0.2376374289401102,0.22944618806834077,0.3404998665062316,0.2033777679750933,0.1874668437571086,0.3604130345113126,0.23439585947609637
5,False,False,0.43587875547389404,0.47946662960563474,0.39745059609413147,0.6304368376731873,0.45746666193008423,0.5440151210906574,0.767372018805186,0.7456110694879755,0.10000000148627759,2.0273861294631143e-05,0.010000001639127731,1.0421192441669103e-06,20.470049623728165,66.97637939453125,5.0,2.0724022751674056,0.05114193819463253,1,2.3586399722419837e-05,0.043587876273638686,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03112984419114684,0.0,0.0,0.19490398266215966,0.23763742887869377,0.22724618511308045,0.34049986669048093,0.20918170475947495,0.1874668431429443,0.36866812678970423,0.23439585923043063
6,True,False,0.4087341587639297,0.45309562624145694,0.3111131489276886,0.5577751994132996,0.3991337716579437,0.6430678255250265,0.8059646079400704,0.7915396691387764,0.10000000148627759,2.0273861294631143e-05,0.010000001639127731,1.0421192441669103e-06,18.073463015431045,61.906429290771484,5.0,2.0168871944770217,0.05228112544864416,1,2.3586399722419837e-05,0.043538424167695704,0.0006113308716157168,0.00021171172468466967,0.0,0.10000000148627759,0.008382278439358053,0.10001360829622091,0.008399161704494928,1.0,0.8382277176713034,0.0893509313349009,0.07994857229319262,0.005672849035336761,0.1757766873120402,0.09044391094931986,0.22985052958031035,0.23704255523907652,0.18960183131086772,0.42696870042760615,0.40477095284086106,0.24554483255487566
7,True,False,0.3417354078098771,0.3864782317467168,0.3791365623474121,0.6157406568527222,0.49089089035987854,0.5650263037679967,0.8019675155091189,0.7673828219790754,0.10000000148627759,2.0273861294631143e-05,0.010000001639127731,1.0421192441669103e-06,20.847694882408113,68.45335388183594,5.0,2.156510205939412,0.05011930875480175,1,2.3586399722419837e-05,0.04361422141531213,0.0008633911904976317,0.0002652097957991812,0.0,0.10000000148627759,0.008485318074700514,0.10012068077806711,0.008507195474375529,1.0,0.848531684698609,0.11055721698011214,0.16363425951284088,0.015389019069691284,0.1852135530825069,0.05466089949265145,0.24033097358538527,0.1436917264703498,0.1689390279717325,0.430902725270825,0.4055164437635482,0.3707446473459188
8,True,False,0.27937916163806137,0.3235477641155768,0.25733160972595215,0.5072786211967468,0.3734225630760193,0.704770006265512,0.8397818751754973,0.8045591677575648,0.10000000148627759,2.0273861294631143e-05,0.010000001639127731,1.0421192441669103e-06,16.401353477387623,54.1076545715332,5.0,1.966255464591086,0.05075856763869524,1,2.3586399722419837e-05,0.04299087503839558,0.0008725639625074843,0.0003051627810592468,0.0,0.10000000148627759,0.008500774046967535,0.10023903435250646,0.008531399625883711,1.0,0.8500772797527048,0.1330945809927876,0.222668308071842,0.025547813088669106,0.16753729537613057,0.04893393073728071,0.24012289708696155,0.11443360717194649,0.15481661589473625,0.4295240109388144,0.43752318961542946,0.40710845231887055
9,True,False,0.2243270537845257,0.2667290036639008,0.33620014786720276,0.5798276662826538,0.4291191101074219,0.6142861306526125,0.8421614412926405,0.8282637568664549,0.10000000148627759,2.0273861294631143e-05,0.010000001639127731,1.0421192441669103e-06,16.806497586627156,50.55014419555664,5.0,1.9846388343721628,0.05037303548306227,1,2.3586399722419837e-05,0.041225496038510466,0.0008389153585556678,0.00033753730978894477,0.0,0.10000000148627759,0.008768677206720537,0.10033200857014093,0.008803167911548703,1.0,0.8768675940236991,0.15144510130363908,0.27346328943430426,0.03459652802306681,0.16456951894200014,0.049786429700625426,0.22596392847716593,0.09644908624970379,0.13921472047911915,0.46951208441359427,0.47025183633944845,0.38425240352066564
10,True,False,0.21477347228528298,0.2585416372629369,0.239258274435997,0.4891403317451477,0.3453894555568695,0.7255050920127109,0.8573257616495529,0.8339991342449037,0.10000000148627759,2.0273861294631143e-05,0.010000001639127731,1.0421192441669103e-06,17.578390660941878,74.52666473388672,5.0,2.142295734025538,0.05168819148093462,1,2.3586399722419837e-05,0.04262687374119412,0.0007901542725887544,0.000351136323084478,0.0,0.10000000148627759,0.00855744581924831,0.10038412231443347,0.008596851199189761,1.0,0.8557444616177228,0.17012837281981305,0.2793451143195493,0.03558361805142477,0.16222831138564656,0.03240365946510906,0.2334148370992394,0.08694225804576058,0.15281670060371505,0.4431134628795091,0.4515401498980279,0.4375406160052445
