epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.1866589480303784,1.3053248416572916,0.6457363367080688,0.803577184677124,0.6213400959968567,0.25916317045373594,0.5261157994122871,0.5743559836855725,0.49999997002878244,0.0,0.05000000820523497,7.491274606390732e-06,11.338466597610623,49.9658317565918,5.0,1.3984655011445284,0.015653401613235474,1,4.362925881460341e-05,0.11866589702209021,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.030645510543565783,0.0,0.0,0.14653897555693715,0.23763743065977022,0.2305203793529135,0.3404998737533703,0.3800543780673232,0.18746684114691034,0.24288626911098474,0.23439586193275352
2,False,False,0.6696344215743386,0.7365978586188546,0.49626287817955017,0.7044593095779419,0.5543639063835144,0.4306503124238663,0.6671040358139413,0.6826686352274811,0.49999997002878244,0.0,0.05000000820523497,7.491274606390732e-06,5.031190514748763,14.72989273071289,5.0,0.5056781079620123,0.014870802871882915,1,4.362925881460341e-05,0.06696344388477093,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.029857444032328085,0.0,0.0,0.05971152772613557,0.23763742967710735,0.1534129292125987,0.34049986048742154,0.6326559377293928,0.1874668444633975,0.15421959912881356,0.23439586242408497
3,False,False,0.5634427997698678,0.6197870832813701,0.42128071188926697,0.649061381816864,0.49894261360168457,0.5166753868842561,0.7239196648904884,0.6930877071668597,0.49999997002878244,0.0,0.05000000820523497,7.491274606390732e-06,8.223146325592403,16.362836837768555,5.0,0.5048787295818329,0.015012519434094429,1,4.362925881460341e-05,0.0563442807304896,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.029659449962044056,0.0,0.0,0.04661718107633281,0.23763743188809883,0.19476937682649514,0.34049987301637313,0.4504335006446583,0.18746684335790179,0.3081799413296809,0.23439585947609637
4,False,False,0.4923650611005819,0.5416015678616543,0.380850225687027,0.6171306371688843,0.4526360034942627,0.5630602510180228,0.754851029622361,0.7384699463529052,0.49999997002878244,0.0,0.05000000820523497,7.491274606390732e-06,10.779930865500527,23.803688049316406,5.0,0.4876087848097086,0.015418259426951408,1,4.362925881460341e-05,0.049236507194825876,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.0299171853593672,0.0,0.0,0.040551243216520975,0.23763742918577593,0.06509076658442486,0.3404998668747302,0.5124869584914399,0.18746684040991318,0.3818710367437615,0.23439586045875924
5,False,False,0.46725306860691856,0.5139783733533498,0.39707687497138977,0.6301403641700745,0.46479129791259766,0.5444438408764496,0.7499573960734919,0.7350092201489443,0.49999997002878244,0.0,0.05000000820523497,7.491274606390732e-06,12.703521825062252,28.963010787963867,5.0,0.5556305842474103,0.015141450800001621,1,4.362925881460341e-05,0.04672530779806011,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.029763133086106754,0.0,0.0,0.04473419480567001,0.23763742844877878,0.06718892494714611,0.3404998656464016,0.49081364591854987,0.18746684298940322,0.39726323162631116,0.2343958575107706
6,True,False,0.4272410103428431,0.47418817552262393,0.3279125690460205,0.5726364850997925,0.42128074169158936,0.6237942934148575,0.8184157098032178,0.7954775889582282,0.49999997002878244,0.0,0.05000000820523497,7.491274606390732e-06,9.912685382986487,18.77290916442871,5.0,0.5230069514364004,0.015881167724728584,1,4.362925881460341e-05,0.044840007815039815,0.001767412978759451,0.00033974268320503576,0.0,0.49999997002878244,0.04232355093968277,0.49988318840785473,0.0423363463771767,1.0,0.8464708912931479,0.05259501743660582,0.1781329359362139,0.017068826495096404,0.050649741394872334,0.06947990402863359,0.0847330577345253,0.22370503736119612,0.42096123899276083,0.10077670061483879,0.4436559652557452,0.6060383554465497
7,True,False,0.30047133652467445,0.3485746259759346,0.256138414144516,0.5061011910438538,0.3629550337791443,0.7061389296913971,0.8416848251315808,0.8150805193778351,0.49999997002878244,0.0,0.05000000820523497,7.491274606390732e-06,14.18781226421987,32.95576095581055,5.0,0.549168593250215,0.015197426080703735,1,4.362925881460341e-05,0.046663273747728266,0.00116010475435929,0.0002799121133707481,0.0,0.49999997002878244,0.04242659051168954,0.49981138916251466,0.042439355732300184,1.0,0.848531684698609,0.05319129683687661,0.25483754711750545,0.012420814317381916,0.04283353015358211,0.02673100939981106,0.07561049321335286,0.13221268811095688,0.41584865632958784,0.1678725253178372,0.46570731314846314,0.6731837782154741
8,True,False,0.21785420994670165,0.26184314805659237,0.2593563497066498,0.509270429611206,0.3700772523880005,0.7024470938619927,0.8452969322626711,0.8108501280598562,0.49999997002878244,0.0,0.05000000820523497,7.491274606390732e-06,7.483437348001707,13.370152473449707,5.0,0.5751364706084132,0.01593560166656971,1,4.362925881460341e-05,0.04268156962794535,0.0010516635713367572,0.0002557060751966347,0.0,0.49999997002878244,0.04240083068010427,0.4998574333053345,0.04241198620680741,1.0,0.8480164863472437,0.05046599467718251,0.3039090796760036,0.012504748620058322,0.04106064791043108,0.024205191979268233,0.07132319811998354,0.12284950912766454,0.421752075753465,0.151312175944317,0.4658640901309077,0.7016331202464273
9,True,False,0.18640303429041494,0.23028781534101103,0.2907995283603668,0.5392583012580872,0.39021751284599304,0.66637314876561,0.8362989297764521,0.8184151461544761,0.49999997002878244,0.0,0.05000000820523497,7.491274606390732e-06,10.786618006223259,22.375696182250977,5.0,0.5597693882882595,0.015495846047997475,1,4.362925881460341e-05,0.0427526472254413,0.0008907629178053882,0.00024137047101685462,0.0,0.49999997002878244,0.04258114999253255,0.4999153986227752,0.042591046328891005,1.0,0.8516228748068007,0.05420504274717131,0.3289926620809642,0.01201720931123422,0.04234453162110263,0.021354255327424212,0.06697470923172696,0.11995564546246064,0.4216911801353427,0.13637246279787735,0.46898957517330087,0.722317645010538
10,True,False,0.17585645446391648,0.21955257090694325,0.24133053421974182,0.4912540316581726,0.3438192903995514,0.7231276612413047,0.8562524466660469,0.8242648584334107,0.49999997002878244,0.0,0.05000000820523497,7.491274606390732e-06,10.584077098085855,22.2731990814209,5.0,0.5267860107123852,0.015142994001507759,1,4.362925881460341e-05,0.04266160471669059,0.0007998407931133744,0.0002346699394191875,0.0,0.49999997002878244,0.04286450979821403,0.4999593295490908,0.042873141938788814,1.0,0.8572900566718187,0.05009758490867556,0.3161953570362466,0.011582475633488557,0.04124949434133979,0.02029060746271054,0.06416103540162092,0.11587288433715648,0.4452611389140503,0.13044885579364193,0.4493283306674083,0.7333876606362926
