epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.4558251859415812,1.6014076950376885,0.6772063374519348,0.8229254484176636,0.642274796962738,0.22305849076103224,0.5675982424760351,0.6045257022902606,0.19999998810977926,1.1936748904460346e-05,0.49999997002878244,0.0,14.451174139178088,50.29323196411133,5.0,1.2386558139696717,0.01471810694783926,1,2.2490163145920384e-05,0.1455825207230051,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03238003205417788,0.0,0.0,0.1463157380136984,0.23763743065977022,0.2890543114702951,0.3404998737533703,0.32431799059734706,0.18746684114691034,0.2403119554966765,0.23439586193275352
2,False,False,0.6775933406452491,0.745352672646182,0.4746154844760895,0.6889234185218811,0.5263451337814331,0.45548580322587917,0.692243085637875,0.6740104032384144,0.19999998810977926,1.1936748904460346e-05,0.49999997002878244,0.0,5.418193225084292,17.74067497253418,5.0,0.5173316560685635,0.014891963452100754,1,2.2490163145920384e-05,0.06775933507175436,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03152554987755588,0.0,0.0,0.1491229405174668,0.23763742967710735,0.33137182671037424,0.34049986048742154,0.254753383270924,0.1874668444633975,0.2647518522035578,0.23439586242408497
3,False,False,0.5461271669617761,0.6007398800835174,0.5369678139686584,0.7327808737754822,0.6002517938613892,0.38395053873486495,0.6920073661553116,0.6250302863135512,0.19999998810977926,1.1936748904460346e-05,0.49999997002878244,0.0,11.239438349288005,56.27005386352539,5.0,0.4694575387984514,0.014736862853169441,1,2.2490163145920384e-05,0.054612717670395716,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03191236897512295,0.0,0.0,0.11443920113388133,0.23763743188809883,0.3323351669901121,0.34049987301637313,0.224485835360842,0.18746684335790179,0.3287398000773175,0.23439585947609637
4,False,False,0.48888508985486,0.5377736042787709,0.4024348258972168,0.6343775391578674,0.48322099447250366,0.5382967900512341,0.7532683056941452,0.7195625138972228,0.19999998810977926,1.1936748904460346e-05,0.49999997002878244,0.0,12.434009738707898,42.37834167480469,5.0,0.4562474498525262,0.014708708971738815,1,2.2490163145920384e-05,0.0488885101439534,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03210914899613795,0.0,0.0,0.12161895321055456,0.23763742918577593,0.3125008664629866,0.3404998668747302,0.22534553271357022,0.18746684040991318,0.34053463766342706,0.23439586045875924
5,False,False,0.4361990143318019,0.47981891854407555,0.3805827498435974,0.616913914680481,0.4475056231021881,0.5633671130682232,0.7581792892347091,0.736574410017674,0.19999998810977926,1.1936748904460346e-05,0.49999997002878244,0.0,12.440529347694394,25.122350692749023,5.0,0.4726961636915803,0.014630462042987347,1,2.2490163145920384e-05,0.043619901863095195,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03212158180032423,0.0,0.0,0.10431973348260846,0.23763742844877878,0.31499230401040595,0.3404998656464016,0.21649184170486632,0.18746684298940322,0.364196125346935,0.2343958575107706
6,True,False,0.4450724228088049,0.4929876908821153,0.41014060378074646,0.6404222249984741,0.47773870825767517,0.5294561640255969,0.7931488091595261,0.7812794527850481,0.19999998810977926,1.1936748904460346e-05,0.49999997002878244,0.0,14.859309457614826,31.204504013061523,5.0,0.4888489404693246,0.014790513552725315,1,2.2490163145920384e-05,0.04548412070085191,0.0006230815877180234,0.001808061888095976,0.0,0.19999998810977926,0.4232354156753564,0.1999882678897156,0.4231410097793351,1.0,0.8464708912931479,0.040465980998515345,0.057791545672370014,0.1304517686520576,0.11305590722439278,0.12179757257763225,0.28473039732220123,0.35887614578883836,0.23007935632571064,0.23912612437464908,0.37213434625200115,0.2802001539423931
7,True,False,0.3817124908913785,0.4297886885575939,0.3017994165420532,0.5493627190589905,0.4106551706790924,0.6537532680942408,0.8109637459055065,0.7831105050432002,0.19999998810977926,1.1936748904460346e-05,0.49999997002878244,0.0,22.680337544263853,52.518028259277344,5.0,0.4939609384164214,0.014864101074635983,1,2.2490163145920384e-05,0.04647144255703838,0.0005956819696442571,0.0010090742517159057,0.0,0.19999998810977926,0.4242658123780869,0.19999104440365792,0.42412056547044047,1.0,0.848531684698609,0.040386527792072247,0.09426642778544989,0.10117942030315606,0.10793931554237142,0.07044185540652778,0.2690843309955705,0.24928263301151674,0.20538824062750305,0.34343652833312643,0.4175881155368779,0.3368389767386875
8,True,False,0.30971232951762195,0.3550290994457459,0.30145153403282166,0.5490460395812988,0.4072323441505432,0.6541523606619318,0.8315987908684179,0.8069884315073952,0.19999998810977926,1.1936748904460346e-05,0.49999997002878244,0.0,17.78183642126493,33.69487380981445,5.0,0.5225936770439148,0.014928852207958698,1,2.2490163145920384e-05,0.0435653412153216,0.0005561449388481124,0.0011952855810307115,0.0,0.19999998810977926,0.4240082132024043,0.2000151756557836,0.42383447889812453,1.0,0.8480164863472437,0.036951726119214885,0.1254033551026963,0.1385968663777229,0.10602755327927335,0.06417120805049545,0.2784847817673995,0.23907404422514344,0.19946072729268927,0.34958316860955624,0.4160269393802979,0.3471715815100456
9,True,False,0.2714605017582944,0.31600009128336193,0.257943332195282,0.507881224155426,0.3686353266239166,0.7040682146803503,0.8402990684988983,0.8068486888512456,0.19999998810977926,1.1936748904460346e-05,0.49999997002878244,0.0,16.61456151625227,39.3623161315918,5.0,0.48270080890506506,0.014708648435771465,1,2.2490163145920384e-05,0.042981871467569266,0.0005411736321748781,0.0010165454494003505,0.0,0.19999998810977926,0.42581140743218276,0.2000413135054921,0.425625947994525,1.0,0.8516228748068007,0.0385975959619132,0.13713933781580112,0.144558931613079,0.10593836667425911,0.06131910018734193,0.25831195019619296,0.23156328559965894,0.1904014364337872,0.33126743253759966,0.4453482487839193,0.3758501895981189
10,True,False,0.23074392826209542,0.27426375639862405,0.24251332879066467,0.49245643615722656,0.3569914698600769,0.7217706481315374,0.8516396218096461,0.8247713196963038,0.19999998810977926,1.1936748904460346e-05,0.49999997002878244,0.0,16.889913711764038,35.42195129394531,5.0,0.48694326635450125,0.015514260157942772,1,2.2490163145920384e-05,0.0421252293259842,0.0004905852241048639,0.000904012544789303,0.0,0.19999998810977926,0.4286449983646918,0.20005893510742817,0.4284566695514504,1.0,0.8572900566718187,0.04275573116795787,0.14474774414211863,0.15420107470536465,0.11067242158067282,0.05718612290116575,0.26788636668940785,0.20806955713884293,0.1798414547746787,0.34651811315741876,0.44159975351592057,0.3882262108560569
11,True,True,0.2128671268130749,0.2559099167907809,0.27109408378601074,0.5206669569015503,0.3790307641029358,0.6889806574285726,0.8520911684928558,0.8299048155739231,0.20003406120783762,1.408423016257286e-05,0.4999899581681202,0.0,15.597685476359112,31.2431697845459,5.0,0.5099080614745617,0.01561472937464714,1,2.2490163145920384e-05,0.04149225851859646,0.000541715403022662,0.0010088156153160517,0.0,0.20003406120783762,0.4255453165752995,0.20011053596311842,0.425356569147675,1.0,0.8511076764554354,0.04732104615413424,0.16775101475467516,0.1709527478028916,0.09972801563483055,0.06158470474893687,0.2558853617652921,0.22590562745752193,0.1823790502081453,0.35852976326841723,0.46200756582017416,0.35397990569203613
12,True,True,0.19202575073728606,0.23326117463605667,0.26548895239830017,0.5152562260627747,0.37253209948539734,0.695411285596955,0.8462392543800193,0.8187750893597093,0.20010897500314767,2.358733427380844e-05,0.4999453939155842,0.0,11.592622332447647,27.57939338684082,5.0,0.4856156464666128,0.014926327392458916,1,2.2490163145920384e-05,0.03999158839077633,0.0004872251705349064,0.0007566108966847457,0.0,0.20010897500314767,0.42318913372812167,0.20020578326422306,0.4229957938255691,1.0,0.8464708912931479,0.04808473709868992,0.17065497147306102,0.14784272020468694,0.09774700751444657,0.060541214739029584,0.246188962170907,0.20851625320163356,0.1654625308691749,0.34678525718323416,0.49060150570994737,0.38415728249173997
13,True,True,0.17322303332476688,0.21454323339192047,0.2451850026845932,0.49516159296035767,0.3497152626514435,0.7187055371584897,0.8581929638086501,0.832593803048314,0.20019832952068,1.5796149421554335e-05,0.49991430786698826,0.0,10.080534555198359,27.214466094970703,5.0,0.5031761042773724,0.01458820328116417,1,2.2490163145920384e-05,0.039988456215250746,0.0005446667944900174,0.0007870774325088918,0.0,0.20019832952068,0.42239023028790856,0.20032182027236017,0.42219053206524854,1.0,0.844925296239052,0.051509232603355146,0.19929263027963534,0.15429122714514834,0.09880907052819843,0.056433963996733914,0.256463601133493,0.2054300174339723,0.1660964922583146,0.3564513202551282,0.47863083829098546,0.3816846929095198
14,True,True,0.1719915686594586,0.21350939509673317,0.24936695396900177,0.49936655163764954,0.36429518461227417,0.7139076813810483,0.8599046627459398,0.8407688895872548,0.20026126883190848,2.372923599421814e-05,0.49986512362496377,0.0,12.240376283801874,28.701725006103516,5.0,0.5214732848107815,0.01484354306012392,1,2.2490163145920384e-05,0.040251414376488055,0.0005412002867253258,0.000725213460134086,0.0,0.20026126883190848,0.42827200017474104,0.20040489606547762,0.4280625352658051,1.0,0.8567748583204534,0.05543765414934193,0.202138292242853,0.14993967363847893,0.09710532583446002,0.05860839474760092,0.2417507788251811,0.19256044822154372,0.15981660093123737,0.3290833139591522,0.5013272994452688,0.41974784294887035
15,True,True,0.1604415462042854,0.2024190233716149,0.2600138187408447,0.5099155306816101,0.3821145296096802,0.7016928170944514,0.8530559678674376,0.8216574580855392,0.20032111963373309,7.5411525475851505e-06,0.4998441462293229,7.53712128819137e-05,15.424588873114923,37.69240951538086,5.0,0.5168496817350388,0.01478255819529295,1,2.2490163145920384e-05,0.04081974436693558,0.000516186233523308,0.0006415477620019342,0.0,0.20032111963373309,0.42439110435080984,0.2004832671144339,0.42417735060977296,1.0,0.8490468830499742,0.05768437363449167,0.20809016333358427,0.15291702348138178,0.09505903739280641,0.0618673510799575,0.24492344961898466,0.23083104170947147,0.15072693129534084,0.3353545047891687,0.5092905846408566,0.37194709541992943
16,True,True,0.1469610415721511,0.187644603286497,0.22911608219146729,0.4786607027053833,0.3393421173095703,0.7371409824153792,0.8643243932342861,0.8366511393193844,0.2003726160814933,8.735324784995075e-06,0.4998469674544258,1.2843245049169952e-05,11.615377855816801,23.287166595458984,5.0,0.4990549646317959,0.014908785000443459,1,2.2490163145920384e-05,0.03948222472208145,0.00052461065857569,0.0006767254238679529,0.0,0.2003726160814933,0.42542356808488974,0.20055333982110946,0.425211490766711,1.0,0.8511076764554354,0.060757678787097806,0.2165508353790016,0.15265184195615286,0.09097319543515205,0.056877629281564326,0.23602982147153906,0.19632628331290022,0.1487506844836495,0.32845400633853716,0.5242463096646167,0.41834208819130414
