epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,0.7987086790729466,0.8785795493724111,0.6357373595237732,0.7973313927650452,0.6442809700965881,0.27063475824276084,0.5813971934025601,0.5611399320212059,0.19999998810977926,1.1936748904460346e-05,0.3999999762195585,2.3873497808920693e-05,5.423628347672979,57.0626335144043,5.0,1.7246432472020388,0.1231582798063755,1,0.00046616120605997506,0.07987086952024364,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.024682087483079332,0.0,0.0,0.004755763121209553,0.23764498070427464,0.01613033061450583,0.34045996609451473,0.9698864559977403,0.18748995607996158,0.009227444194660305,0.23440509822674477
2,False,False,0.5703953903462087,0.6274349298875151,0.4268922805786133,0.6533699631690979,0.5160496830940247,0.5102373749308022,0.7195914698885161,0.6640584224779872,0.19999998810977926,1.1936748904460346e-05,0.3999999762195585,2.3873497808920693e-05,3.8610764175023937,14.05157470703125,5.0,0.9477965347468853,0.026197027415037155,1,0.00046616120605997506,0.057039539654542955,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.025578768366332647,0.0,0.0,2.0920311414445583e-06,0.2376601753745848,1.0868410154713375e-05,0.3403788993556373,0.9989207128714435,0.18753662138854887,0.0010663235992133726,0.2344243016702376
3,False,False,0.49787631022874873,0.5476639364442526,0.4112114906311035,0.6412577629089355,0.4780188202857971,0.5282275445801512,0.7402804850520223,0.7314351312722975,0.19999998810977926,1.1936748904460346e-05,0.3999999762195585,2.3873497808920693e-05,3.7408061478323447,9.34097957611084,5.0,0.9472790649160743,0.02570751029998064,1,0.00046616120605997506,0.04978763170267798,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.025582015760039496,0.0,0.0,1.100191745256258e-06,0.23767566435242485,2.0429492397861202e-06,0.3402968823817635,0.9999596076426833,0.18758381450993078,3.724442622785076e-05,0.23444364096687234
4,False,False,0.5027727669873598,0.5530500436553877,0.40085577964782715,0.633131742477417,0.504188597202301,0.5401084254096986,0.7527169382946198,0.7361293089953784,0.19999998810977926,1.1936748904460346e-05,0.3999999762195585,2.3873497808920693e-05,4.830455239933216,35.659793853759766,5.0,0.9603329701349139,0.02571195922791958,1,0.00046616120605997506,0.05027727737239745,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.02567626194263598,0.0,0.0,1.6525776594750572e-06,0.23769045416563211,2.7340067202103693e-06,0.3402162131300174,0.9999468870718169,0.18763107518938507,4.871895067520451e-05,0.23446225702363396
5,False,False,0.44902436592602224,0.493926802595395,0.41736212372779846,0.6460356712341309,0.47636687755584717,0.5211710909248046,0.7520681648838508,0.7410999803103548,0.19999998810977926,1.1936748904460346e-05,0.3999999762195585,2.3873497808920693e-05,3.572601665853533,11.406460762023926,5.0,1.006816859357059,0.02547502424567938,1,0.00046616120605997506,0.04490243710120703,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.025345083274281192,0.0,0.0,1.3888133766756612e-06,0.23770579500704436,2.3979412868958674e-06,0.3401348346413441,0.9999485949398869,0.1876779310117365,4.7623740697720045e-05,0.2344814398312065
6,True,False,0.43387421385213804,0.4810972400758145,0.3356154263019562,0.5793232321739197,0.435166597366333,0.6149570016260963,0.7961781146253436,0.7851606286168514,0.19999998810977926,1.1936748904460346e-05,0.3999999762195585,2.3873497808920693e-05,3.5409766383419203,8.841085433959961,5.0,1.032455070875585,0.029878534376621246,1,0.00046616120605997506,0.04555928234792075,0.0009252194741391517,0.0007385235485189682,0.0,0.19999998810977926,0.34435855181545155,0.19970913120055556,0.34238369154107134,1.0,0.8608964451313755,0.8359953506836751,0.10089032871707207,0.04763188993482477,2.2014546288032945e-06,0.005482595061728902,3.828496117366018e-06,0.030607649589748334,0.9999299665998393,0.9565959404203954,6.399188662837425e-05,0.0073138302106928845
7,True,False,0.3359117965794052,0.38093046270529674,0.29485228657722473,0.5430030226707458,0.416396826505661,0.6617235018965333,0.8216244775571873,0.790254601318994,0.19999998810977926,1.1936748904460346e-05,0.3999999762195585,2.3873497808920693e-05,3.3819737780775867,14.12032699584961,5.0,1.0047771651297808,0.02657691016793251,1,0.00046616120605997506,0.04342024306594435,0.0011277244344321529,0.00047069901635881495,0.0,0.19999998810977926,0.33838225295407326,0.2033789031349587,0.3346446767902325,1.0,0.8459556929417826,0.9547364128305394,0.20264956276788962,0.03109481023304982,2.563613421066066e-06,2.865583333848296e-09,4.526148261873043e-06,3.146758393339995e-11,0.9999193253436082,0.9999993543904937,7.358050292443209e-05,6.601365255611068e-07
8,True,False,0.2801081491370351,0.3259220407956166,0.25826162099838257,0.5081944465637207,0.3682475686073303,0.7037030182234847,0.840923161244207,0.8117600080210072,0.19999998810977926,1.1936748904460346e-05,0.3999999762195585,2.3873497808920693e-05,3.3640634890747463,7.672587871551514,5.0,1.016694308258593,0.027653570286929607,1,0.00046616120605997506,0.044185917586518096,0.0011664334653302382,0.0004615418509256799,0.0,0.19999998810977926,0.33961872585282876,0.20694176552530297,0.33486940097956236,1.0,0.8490468830499742,0.9773998535643651,0.275318468802372,0.03526684861401809,3.1754174225952617e-06,1.527326390038609e-09,5.739048630585016e-06,2.810795780513463e-11,0.9998958200477314,0.9999995479750793,9.524742465721523e-05,4.6666530659687956e-07
9,True,False,0.22392238767904943,0.26875674226338075,0.3007233738899231,0.5483825206756592,0.3948954939842224,0.6549877300464036,0.8416262448577257,0.8333543418678424,0.19999998810977926,1.1936748904460346e-05,0.3999999762195585,2.3873497808920693e-05,3.2921491163038583,12.337284088134766,5.0,0.9499882273375988,0.02583931665867567,1,0.00046616120605997506,0.04341524207387801,0.0010141467025176281,0.00040496521321891114,0.0,0.19999998810977926,0.33776401429370406,0.2084300305535043,0.3324494022858751,1.0,0.8444100978876867,0.9947552894698413,0.3174087847710147,0.03571945487193875,4.731866906889815e-06,7.939676586918752e-10,8.280695620734707e-06,1.8607921563265833e-11,0.9998530516115922,0.9999996472240292,0.00013392533322950726,3.643629493925267e-07
10,True,False,0.2316836896537199,0.2791494507263887,0.32124024629592896,0.5667806267738342,0.4109348654747009,0.6314492541234595,0.8427230515207935,0.8158865098491617,0.19999998810977926,1.1936748904460346e-05,0.3999999762195585,2.3873497808920693e-05,4.565994384545508,9.53084659576416,5.0,0.9254716401919723,0.025359006598591805,1,0.00046616120605997506,0.04606072671062734,0.0009115294998128779,0.0004935069147308848,0.0,0.19999998810977926,0.3371457758790006,0.20974022896249292,0.3317766496657343,1.0,0.8428645028335909,0.9956917377061171,0.30728453130589384,0.04392394701394146,6.0576030174591745e-06,1.2945165955409036e-09,1.0842911574374433e-05,3.488730878207632e-11,0.9998122042813662,0.9999995450270907,0.00017090241047124284,4.7378204882589716e-07
