epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,0.902239812266452,0.9924637841416781,0.525142252445221,0.7246670126914978,0.5687302947044373,0.3975177440618448,0.6636292614568184,0.6274076277397115,0.49999997002878244,0.0,0.01999999769319891,0.0,8.54634177322427,50.29323196411133,5.0,1.3869162676855922,0.01490618847310543,1,0.00012967204524842914,0.09022398307316853,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.028963102316623003,0.0,0.0,0.08872355704206833,0.23763743065977022,0.4377875178207877,0.3404998737533703,0.293246594978816,0.18746684114691034,0.18024232619696828,0.23439586193275352
2,False,False,0.5331120627832928,0.5864232724042113,0.4132809340953827,0.6428692936897278,0.5019570589065552,0.5258533223341341,0.7508759782492015,0.7116647912691715,0.49999997002878244,0.0,0.01999999769319891,0.0,7.676888590679532,20.384510040283203,5.0,0.4938964983448386,0.016092165373265743,1,0.00012967204524842914,0.053311207285174876,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.027728026610929164,0.0,0.0,0.029878312137432778,0.23763742967710735,0.5315702409857269,0.34049986048742154,0.18777026791108262,0.1874668444633975,0.2507811683407154,0.23439586242408497
3,False,False,0.49654508800865266,0.5461995983817785,0.4219173789024353,0.6495516896247864,0.4847797751426697,0.5159449381006355,0.7528003875984353,0.7385800382667465,0.49999997002878244,0.0,0.01999999769319891,0.0,9.243159158520942,21.453296661376953,5.0,0.49872617796063423,0.016339467838406563,1,0.00012967204524842914,0.049654510250293,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.027648108635656247,0.0,0.0,0.032569773383880014,0.23763743188809883,0.4989128977536295,0.34049987301637313,0.17490462234866552,0.18746684335790179,0.29361271059801747,0.23439585947609637
4,False,False,0.449565435549084,0.4945219792022587,0.3657319247722626,0.6047577261924744,0.4451518654823303,0.5804051203175435,0.7708666986462948,0.7470992423977902,0.49999997002878244,0.0,0.01999999769319891,0.0,5.606729298384764,12.736589431762695,5.0,0.4792749024927616,0.015539438463747501,1,0.00012967204524842914,0.04495654402167327,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.027211164703447754,0.0,0.0,0.03651627540465546,0.23763742918577593,0.4177243548653164,0.3404998668747302,0.19836478845045039,0.18746684040991318,0.34739458358269387,0.23439586045875924
5,False,False,0.4344462434665743,0.4778908644061553,0.38412877917289734,0.6197812557220459,0.44535812735557556,0.5592988782235422,0.7661652111913427,0.7524636127552066,0.49999997002878244,0.0,0.01999999769319891,0.0,6.567946350617485,17.514156341552734,5.0,0.5338266454637051,0.014990437775850296,1,0.00012967204524842914,0.04344462501417724,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.02702487549912002,0.0,0.0,0.029750488395238892,0.23763742844877878,0.45277502535545355,0.3404998656464016,0.16746039417587194,0.18746684298940322,0.35001408961677843,0.2343958575107706
6,True,False,0.3965344260274473,0.44160091984462396,0.2973419725894928,0.5452907085418701,0.3999471962451935,0.6588671759419178,0.8336992682835435,0.8058467763529136,0.49999997002878244,0.0,0.01999999769319891,0.0,6.534150696979976,14.60076904296875,5.0,0.5234149470925331,0.014948809519410133,1,0.00012967204524842914,0.04341203246662937,0.001442688773014323,0.00021177274090270783,0.0,0.49999997002878244,0.01692941642065505,0.4998289920938562,0.016944855359459218,1.0,0.8464708912931479,0.07775004784634652,0.17153721393720814,0.002933127756649412,0.035701156614491275,0.03890262909582876,0.2441134671462313,0.5432300400574265,0.19083277230899032,0.2884066334586362,0.5293526160600319,0.1294606987315929
7,True,False,0.2808787835160216,0.32564320260565777,0.27426281571388245,0.5237010717391968,0.3802589476108551,0.6853452727429243,0.8385626191742194,0.8162391130360922,0.49999997002878244,0.0,0.01999999769319891,0.0,6.10646240665764,14.340957641601562,5.0,0.5461981222033501,0.015165736898779869,1,0.00012967204524842914,0.0433522493572256,0.001197947478420852,0.0002142230246939621,0.0,0.49999997002878244,0.01697063201914615,0.49979671063587755,0.01698543377784894,1.0,0.848531684698609,0.21045084161773162,0.26796926683153705,0.00475949617097944,0.039493430403935915,0.010347329099297461,0.3250118346020219,0.3686088120304758,0.17004350213154512,0.213381812721107,0.4654512346435736,0.40766204601093275
8,True,False,0.20127837526497308,0.24400688648715207,0.2558693587779999,0.5058352947235107,0.35612761974334717,0.7064476079147906,0.8478235539236995,0.8127754713223597,0.49999997002878244,0.0,0.01999999769319891,0.0,3.831526922602312,12.534708976745605,5.0,0.5492572393268347,0.014940835535526276,1,0.00012967204524842914,0.0415950377943404,0.0009204457230416848,0.0002130275147898427,0.0,0.49999997002878244,0.016960328230840652,0.4999433941966415,0.01697367838152532,1.0,0.8480164863472437,0.24379380593159836,0.30866836113514573,0.006500533289174822,0.034008966040083084,0.01778812386337351,0.3105865608227124,0.42221474340439824,0.20397001980875398,0.28809881296310147,0.4514344533284505,0.2718983146101467
9,True,False,0.18968529374343965,0.23299412580570691,0.24841614067554474,0.498413622379303,0.3527185916900635,0.7149985031331028,0.8514104900324648,0.8340999183423692,0.49999997002878244,0.0,0.01999999769319891,0.0,5.174509662626209,14.946595191955566,5.0,0.5151773849502206,0.015010135248303413,1,0.00012967204524842914,0.04216572845288462,0.0009228221001295446,0.00022028173215755408,0.0,0.49999997002878244,0.01703245610014057,0.5001350542370159,0.017044335864733813,1.0,0.8516228748068007,0.2720294585859327,0.33614732702020395,0.0077393484877164315,0.03031803344341359,0.02407265025767268,0.40067903065669175,0.45522444055351874,0.17555470800719145,0.17014366520366248,0.3934482312091904,0.3505592464110951
10,True,False,0.15458783857420755,0.1961512025915919,0.22395701706409454,0.4732409715652466,0.3262408971786499,0.7430598172252219,0.8627415359028663,0.8260942168411853,0.49999997002878244,0.0,0.01999999769319891,0.0,3.3007411684098162,9.087469100952148,5.0,0.5384463304653764,0.015128377825021744,1,0.00012967204524842914,0.04067244146754298,0.0006859606783381255,0.00020496164873376246,0.0,0.49999997002878244,0.017145799506515156,0.5002975955198623,0.017158028377447468,1.0,0.8572900566718187,0.2904865769981294,0.3218639099616356,0.007259319886173679,0.03279543567846142,0.02109140145416299,0.2495432686154711,0.4313932651714343,0.1771944736095509,0.16437348749513542,0.5404668240004259,0.3831418542011935
