epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.305620506920193,1.4361825463453683,0.6480253338813782,0.8050001859664917,0.6346650123596191,0.25653710316260614,0.5614840985505256,0.6166485578002051,0.49999997002878244,0.0,0.3999999762195585,2.3873497808920693e-05,12.9918936941195,50.29323196411133,5.0,1.3078680969774723,0.01456437911838293,1,3.1656863098761864e-05,0.1305620535087303,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.0318705735901838,0.0,0.0,0.14840278878523971,0.23763743065977022,0.3065256018542801,0.3404998737533703,0.28741612746382666,0.18746684114691034,0.2576554906177865,0.23439586193275352
2,False,False,0.6771427404628716,0.7448570205034023,0.46675026416778564,0.6831912398338318,0.5277026295661926,0.4645092910174696,0.6960914591408711,0.6855054504408357,0.49999997002878244,0.0,0.3999999762195585,2.3873497808920693e-05,5.157578664609662,11.874975204467773,5.0,0.4742946904152632,0.014837640337646008,1,3.1656863098761864e-05,0.06771427537288204,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.030884280332519123,0.0,0.0,0.11492300377501341,0.23763742967710735,0.27299947605987973,0.34049986048742154,0.2468587847360319,0.1874668444633975,0.36521874058805504,0.23439586242408497
3,False,False,0.5251294089800792,0.5776423511586196,0.41561806201934814,0.6446844935417175,0.5006662011146545,0.5231719936965955,0.7274360930037004,0.6761076839233049,0.49999997002878244,0.0,0.3999999762195585,2.3873497808920693e-05,6.759914728859416,17.55401039123535,5.0,0.4487238572910428,0.01464865729212761,1,3.1656863098761864e-05,0.052512941827315265,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03128560933791627,0.0,0.0,0.09300621276906568,0.23763743188809883,0.20661296579163446,0.34049987301637313,0.2069806544084269,0.18746684335790179,0.49340016150339433,0.23439585947609637
4,False,False,0.45377417448437873,0.49915158717918495,0.35762596130371094,0.5980183482170105,0.43383294343948364,0.5897048790362297,0.7679676659026264,0.7406685505072508,0.49999997002878244,0.0,0.3999999762195585,2.3873497808920693e-05,7.930477690168535,24.454875946044922,5.0,0.5390909500420094,0.01589358225464821,1,3.1656863098761864e-05,0.04537741810329055,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03169098651513557,0.0,0.0,0.07216939245653423,0.23763742918577593,0.16713379904635478,0.3404998668747302,0.20177894397717908,0.18746684040991318,0.5589178567814618,0.23439586045875924
5,False,False,0.4430828989780422,0.48739118484846405,0.36120015382766724,0.6009992957115173,0.43308448791503906,0.5856042464168814,0.7678765308272596,0.7438783018499439,0.49999997002878244,0.0,0.3999999762195585,2.3873497808920693e-05,13.93126980046032,30.612089157104492,5.0,0.5264080706983805,0.015395006164908409,1,3.1656863098761864e-05,0.0443082900448198,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.031797892804123706,0.0,0.0,0.07518894552017596,0.23763742844877878,0.16972564631427212,0.3404998656464016,0.20356398694973396,0.18746684298940322,0.5515214088711157,0.2343958575107706
6,True,False,0.4626086936176345,0.5112929043850906,0.32048025727272034,0.5661097764968872,0.42287349700927734,0.6323211546947315,0.8065348949287464,0.7818356003256833,0.49999997002878244,0.0,0.3999999762195585,2.3873497808920693e-05,14.489428328092046,37.531593322753906,5.0,0.5173088032752275,0.015037556178867817,1,3.1656863098761864e-05,0.04546555754282866,0.0019068158197368791,0.0013118342914854142,0.0,0.49999997002878244,0.33858833308074965,0.4998975416730815,0.338532950447,1.0,0.8464708912931479,0.0505333026618702,0.1753903001562214,0.07706639147615506,0.06662403167614551,0.09265378656490508,0.17125155212091822,0.4438429949886709,0.18590317013213342,0.19721064108171027,0.5762212425086499,0.26629259241173897
7,True,False,0.3078914152507251,0.35298323304244134,0.27154427766799927,0.5210990905761719,0.38461995124816895,0.6884641937535471,0.830956919974356,0.8005244161581954,0.49999997002878244,0.0,0.3999999762195585,2.3873497808920693e-05,11.906366196936519,25.08827018737793,5.0,0.49333429522812366,0.01642593089491129,1,3.1656863098761864e-05,0.043403350732287814,0.001058448341939961,0.0006300175476973778,0.0,0.49999997002878244,0.3394126494111381,0.4998247558342188,0.33930747623237245,1.0,0.848531684698609,0.05578269859001478,0.2106463185663631,0.052187347614783594,0.06120174241888959,0.04891502531701176,0.14096944937688796,0.3404313079602076,0.18053757917137872,0.2509721026845595,0.6172912289100109,0.3596815576509125
8,True,False,0.23128175421482136,0.2742370802492656,0.25231659412384033,0.5023112297058105,0.3606609106063843,0.7105236382081681,0.8458053870776218,0.8153794839694758,0.49999997002878244,0.0,0.3999999762195585,2.3873497808920693e-05,7.975036982713687,17.291622161865234,5.0,0.5439704526215792,0.01655837893486023,1,3.1656863098761864e-05,0.04147707278821531,0.0009095588756741025,0.0005686946940556262,0.0,0.49999997002878244,0.3392065722324503,0.49986073406991854,0.3390608158141052,1.0,0.8480164863472437,0.04580680532347351,0.25938567496156767,0.05533498814276725,0.06066715662040887,0.0522691174182371,0.14776104519749228,0.3120045615249783,0.18440446775024666,0.27119903721679184,0.6071673328885093,0.36452727732985124
9,True,False,0.19738264193797714,0.24049543112224675,0.25750932097435,0.5074537396430969,0.3808024227619171,0.7045661447815521,0.8428384534748852,0.8088982478081042,0.49999997002878244,0.0,0.3999999762195585,2.3873497808920693e-05,12.691016154458755,31.433055877685547,5.0,0.5372334271669388,0.017604881897568703,1,3.1656863098761864e-05,0.041836034776215884,0.0007656739397566537,0.0005110797908270826,0.0,0.49999997002878244,0.34064912525788216,0.49990839174517276,0.34047567739982937,1.0,0.8516228748068007,0.04624245819021045,0.2800665525724322,0.057658048710339097,0.05679971824166457,0.05211559440105739,0.11716457300122284,0.344106144047717,0.17030475288245678,0.25444894424116166,0.6557309501015114,0.3493293146077411
10,True,False,0.16896461219839187,0.21047331577782039,0.2308940887451172,0.48051440715789795,0.3435176610946655,0.7351010917343255,0.8579222049668104,0.8229769675296656,0.49999997002878244,0.0,0.3999999762195585,2.3873497808920693e-05,8.509750648235181,21.57036781311035,5.0,0.5578419715166092,0.015469767153263092,1,3.1656863098761864e-05,0.040314831440363394,0.0007386122256112446,0.00045526077568296884,0.0,0.49999997002878244,0.34291599412237106,0.4999436678682511,0.3427308302205718,1.0,0.8572900566718187,0.05033582255497598,0.28797466812644773,0.056577744525710925,0.05821328891545826,0.05131087052582589,0.12270063852784807,0.3034838981569458,0.16433526719126243,0.2561935457232562,0.6547508057953463,0.3890116817861534
