epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.0519283351088724,1.1571211607907004,0.5399192571640015,0.7347919940948486,0.5693653225898743,0.3805644407885155,0.640895468125436,0.6215547703361592,0.30000001189022074,0.0,0.30000001189022074,0.0,9.045418807859583,50.29323196411133,5.0,1.3163270233199,0.014616606757044792,1,5.9260857797183374e-05,0.10519283546815208,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.031118665786823742,0.0,0.0,0.13239931556626977,0.23763743065977022,0.2397443468210809,0.3404998737533703,0.3002226815771528,0.18746684114691034,0.3276336641424652,0.23439586193275352
2,False,False,0.5567893124560239,0.6124682469751219,0.3867814838886261,0.6219176054000854,0.4537412226200104,0.5562554783054138,0.7516403248007844,0.7188622685432144,0.30000001189022074,0.0,0.30000001189022074,0.0,6.294175055394279,18.816537857055664,5.0,0.4516144786030054,0.014721604064106941,1,5.9260857797183374e-05,0.05567893231002588,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.030739917176584187,0.0,0.0,0.06887424741437422,0.23763742967710735,0.21688094979275876,0.34049986048742154,0.14383734433323006,0.1874668444633975,0.5704074556958977,0.23439586242408497
3,False,False,0.4677649946909231,0.5145414959579814,0.3679967224597931,0.606627345085144,0.4528704881668091,0.5778067442182622,0.7615520232535332,0.730684702280423,0.30000001189022074,0.0,0.30000001189022074,0.0,9.799083023818113,24.364627838134766,5.0,0.4842300973832607,0.014911249279975891,1,5.9260857797183374e-05,0.046776500144289176,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.030860677476644147,0.0,0.0,0.044623665622925406,0.23763743188809883,0.10011335428936588,0.34049987301637313,0.1550731724036962,0.18746684335790179,0.7001898145012362,0.23439585947609637
4,False,False,0.43583007893078357,0.47941308528845117,0.35482144355773926,0.5956689119338989,0.4220196604728699,0.5929224011808188,0.7763113779972031,0.746352864541028,0.30000001189022074,0.0,0.30000001189022074,0.0,9.159672943972117,29.307405471801758,5.0,0.49202189315110445,0.016339698806405067,1,5.9260857797183374e-05,0.04358300903504009,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.03085081359886865,0.0,0.0,0.04019900543796592,0.23763742918577593,0.09294143452710678,0.3404998668747302,0.13200421937650653,0.18746684040991318,0.7348553383860129,0.23439586045875924
5,False,False,0.4148766226156786,0.4563642842507989,0.4224357604980469,0.6499505639076233,0.4720660150051117,0.5153502523736946,0.7640881176672553,0.7478081271895207,0.30000001189022074,0.0,0.30000001189022074,0.0,7.998260988886979,17.715187072753906,5.0,0.4807243524119258,0.015631952323019505,1,5.9260857797183374e-05,0.04148766311295311,0.0,0.0,0.0,0.0,0.0,9.999999746254183e-05,9.999999746254183e-05,0.0,0.0,0.030733676131148732,0.0,0.0,0.03913301048298462,0.23763742844877878,0.0944492176965854,0.3404998656464016,0.11980731262490038,0.18746684298940322,0.7466104621435182,0.2343958575107706
6,True,False,0.40377930250442995,0.44897015198550844,0.3144620656967163,0.5607692003250122,0.41180822253227234,0.6392256836137952,0.8224031932350028,0.7984491671372769,0.30000001189022074,0.0,0.30000001189022074,0.0,10.251477711228965,23.269407272338867,5.0,0.5062780734151602,0.01632207538932562,1,5.9260857797183374e-05,0.04330170391024787,0.0009677749706407273,0.0009213692477689782,0.0,0.30000001189022074,0.253941273087389,0.2999758177476713,0.253922972465409,1.0,0.8464708912931479,0.05984633359511079,0.11882447631379982,0.06185667285103579,0.04729762432318505,0.10619194672809072,0.09395486825769062,0.26130901766093595,0.15074676726664052,0.4334756805993797,0.7080007471539568,0.1990233555950497
7,True,False,0.2866605835161155,0.32992098960662736,0.26784470677375793,0.5175371766090393,0.3779277503490448,0.6927086158904494,0.8452515028075615,0.8197329617482247,0.30000001189022074,0.0,0.30000001189022074,0.0,10.953287502958995,27.980905532836914,5.0,0.5782278003171086,0.014617218635976315,1,5.9260857797183374e-05,0.04162106475860479,0.0008380801845409095,0.0008012640186442021,0.0,0.30000001189022074,0.25455951371308394,0.299993956721609,0.25450905913363286,1.0,0.848531684698609,0.11724345908835646,0.19323757172613523,0.07322554714835716,0.03814640725660054,0.03023570797481468,0.08625334013005866,0.15727154782357627,0.09379980663612048,0.5096341849970241,0.7818004287806201,0.3028585612313272
8,True,False,0.2489764072319578,0.2929958895516727,0.24412354826927185,0.4940885901451111,0.3546316623687744,0.7199232981973493,0.8502408442290367,0.8119559300480127,0.30000001189022074,0.0,0.30000001189022074,0.0,12.86861111170726,38.697509765625,5.0,0.4932327941060066,0.015735656023025513,1,5.9260857797183374e-05,0.042270238323656326,0.000913831056350562,0.0008354120742851588,0.0,0.30000001189022074,0.2544049516527509,0.30009145407502275,0.25432801013260636,1.0,0.8480164863472437,0.11399369912931195,0.24139048523782516,0.08401604843532713,0.042216079558127326,0.03288369741346466,0.1039816074184632,0.16737004913416553,0.10097852095938539,0.5938508447944841,0.7528237859223812,0.20589540988621424
9,True,False,0.20786533528139517,0.25118325910944106,0.2331298589706421,0.48283523321151733,0.34467175602912903,0.7325360540636234,0.8562325502962217,0.8252040984677727,0.30000001189022074,0.0,0.30000001189022074,0.0,11.969422100131995,24.6248779296875,5.0,0.5146882180124521,0.014625984244048595,1,5.9260857797183374e-05,0.0420195405783649,0.0007150835006261251,0.0005832991801732014,0.0,0.30000001189022074,0.25548686789581915,0.30018424668427535,0.25539506138875767,1.0,0.8516228748068007,0.12102681898935623,0.2593729951712104,0.07291378734162147,0.03451121498296581,0.02960246964129881,0.0903688971987709,0.14965000341750492,0.09464702853095218,0.5722922345278866,0.7804728620510504,0.24845529253614249
10,True,False,0.1736403317380234,0.21549537625895032,0.23402462899684906,0.48376092314720154,0.3409770727157593,0.7315095132818541,0.8596588656432297,0.8251490483305017,0.30000001189022074,0.0,0.30000001189022074,0.0,8.597852319740008,21.33673667907715,5.0,0.5505062425509095,0.015867683105170727,1,5.9260857797183374e-05,0.040604813528208314,0.0007019688769702841,0.0005482639620197665,0.0,0.30000001189022074,0.2571870247645823,0.30025771277151053,0.2570979603782626,1.0,0.8572900566718187,0.11960710857652745,0.27594600345350184,0.07487498067937395,0.030656816018481404,0.03011593804538772,0.0928783293915188,0.1385051209185923,0.0718759761404463,0.5615975366677899,0.8045888858502332,0.269781405504434
