epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.0864154493195812,1.1950569954648973,0.740652322769165,0.860611617565155,0.6404111385345459,0.38006281878459214,0.6666031119320324,0.6357784938890144,0.010000001639127731,1.03490012758144e-06,0.019999997690320015,0.0,9.84459605021842,50.285247802734375,5.0,2.5045957658439875,0.04831388220191002,1,0.0002812792856787038,0.10864154697402702,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.026284675142197143,0.0,0.0,0.0077967330840771,0.24000387487919358,0.0486151016965227,0.3351937309767492,0.06994013352454459,0.18761917448369053,0.8736480296846452,0.23718321842511828
2,False,False,0.9413747319644796,1.0355122085633333,0.6209921836853027,0.7880305647850037,0.5748738646507263,0.48022014781254174,0.6974977770921161,0.6533627695460463,0.010000001639127731,1.03490012758144e-06,0.019999997690320015,0.0,8.741894295683437,43.377891540527344,5.0,1.8885865788906813,0.04980877693742514,1,0.0002812792856787038,0.09413747465216475,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.02788938622597257,0.0,0.0,0.008038876241547957,0.2400038740973908,0.00957516805368504,0.33519372981968104,0.06181179786957058,0.18761917523422122,0.920574157710841,0.23718321933200953
3,False,False,0.822197205059676,0.904416925040272,0.6099740862846375,0.7810083627700806,0.5839042663574219,0.4894424689424941,0.7111258788925743,0.6825074800364236,0.010000001639127731,1.03490012758144e-06,0.019999997690320015,0.0,4.833106731692991,17.033924102783203,5.0,1.8222184209153056,0.0482326103374362,1,0.0002812792856787038,0.08221972217355294,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.02795095715167515,0.0,0.0,0.0036924167262323802,0.24000387358140096,0.014048513902619028,0.335193730632756,0.02350287046478934,0.18761917593784372,0.9587561994134317,0.23718321867529518
4,False,False,0.7951313412952523,0.8746444794338623,0.5946164131164551,0.7711137533187866,0.5609471797943115,0.5022970721001832,0.7098515286163349,0.6926367787911107,0.010000001639127731,1.03490012758144e-06,0.019999997690320015,0.0,4.443225214138612,15.683891296386719,5.0,1.8736609630286694,0.04815072752535343,1,0.0002812792856787038,0.07951313572283931,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.028039347634485613,0.0,0.0,0.005086070376461526,0.2400038742068432,0.013900743419346513,0.3351937286000687,0.046417582101908834,0.18761917423351365,0.9345956045082708,0.23718321754949917
5,False,False,0.7923598869900138,0.8715958711608134,0.5640889406204224,0.7510585188865662,0.5382662415504456,0.5278489870765939,0.7291630487277923,0.705660631528602,0.010000001639127731,1.03490012758144e-06,0.019999997690320015,0.0,4.798561375388819,25.42528533935547,5.0,1.905628865584731,0.04718046635389328,1,0.0002812792856787038,0.07923599027667941,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.028623999806916475,0.0,0.0,0.0027130570422480094,0.24000387298723083,0.009004910409540988,0.3351937294756878,0.04225539211678559,0.18761917607856823,0.9460266365709735,0.23718321858147884
6,True,False,0.7603964440344764,0.837837490054768,0.5724383592605591,0.756596565246582,0.5786674618721008,0.5208604248335074,0.7361520551768626,0.7291123441959116,0.010000001639127731,1.03490012758144e-06,0.019999997690320015,0.0,4.636472585944289,15.578145980834961,5.0,1.9769241539761424,0.04841987136751413,1,0.0002812792856787038,0.07695591099489899,0.0002019644686124011,0.0002831688971900755,0.0,0.010000001639127731,0.01681007188524961,0.010211203225809155,0.017163502177514785,1.0,0.8405036726128017,0.8490822789613998,0.008752722113323862,0.016284571419169995,0.0001349732761219931,0.009623095846724296,0.0005140412149891982,0.02008195454888731,0.00044306637250802675,0.9450522556760254,0.9989079194454181,0.025242706989989545
7,True,False,0.7484741174661851,0.8265116623165976,0.5631884932518005,0.750458836555481,0.551318883895874,0.5286027030904973,0.7474705103561992,0.7282202137502268,0.010000001639127731,1.03490012758144e-06,0.019999997690320015,0.0,5.439405833561548,24.389822006225586,5.0,1.9004650386050344,0.04743801988661289,1,0.0002812792856787038,0.07754654193381072,0.00017774155110072276,0.0003132604960928029,0.0,0.010000001639127731,0.016867784282890347,0.010883380919851261,0.01831323324320574,1.0,0.843389296956978,0.9668905178997724,0.016218509247520663,0.029723325578138185,0.002168520383754499,2.6363671391449123e-06,0.002446521523635559,1.9510788114347374e-07,0.005169170261688085,0.9998396025874807,0.990215779163905,0.00015758597883403186
8,True,False,0.7014694560987627,0.776791869280596,0.512921929359436,0.7161856889724731,0.5162374973297119,0.5706765892829031,0.7622485704155155,0.747551346617224,0.010000001639127731,1.03490012758144e-06,0.019999997690320015,0.0,4.956015682920954,18.995330810546875,5.0,1.8979793870821595,0.048632459715008736,1,0.0002812792856787038,0.0747516840180345,0.00020295192930752857,0.00036777663150297014,0.0,0.010000001639127731,0.016967469426643997,0.011551853757965353,0.01941745585575309,1.0,0.8483735571878279,0.9796569667608015,0.025693155958044566,0.04487841636536629,0.005810818823408598,4.158561857304761e-07,0.0027849694140771424,1.4377650322538398e-07,0.032596623140720433,0.9999955617993727,0.9588075913137054,3.905490827068777e-06
9,True,False,0.6750623110646591,0.7531127983631892,0.47697848081588745,0.6906362771987915,0.5062997937202454,0.6007617882466529,0.7910013271128844,0.7723763661340727,0.010000001639127731,1.03490012758144e-06,0.019999997690320015,0.0,6.822077700623936,23.995038986206055,5.0,1.9712418466806412,0.04814973473548889,1,0.0002812792856787038,0.07698793135923485,0.0003199092161527504,0.0007426475873705613,0.0,0.010000001639127731,0.01728226460031735,0.012189810299133767,0.02087879237198004,1.0,0.8641133263378804,0.9917538936590973,0.054233010885660446,0.09674250322774225,0.0002458829123014807,2.3731377145293736e-07,0.0009892804680310002,6.711622187514896e-08,0.020639429469536383,0.9999969938744528,0.9781254037104523,2.726514699793568e-06
10,True,False,0.6450148418092277,0.7263876343104921,0.4872574508190155,0.6980382800102234,0.5152650475502014,0.5921581161462209,0.7866384813856033,0.7838657554954571,0.010000001639127731,1.03490012758144e-06,0.019999997690320015,0.0,6.951264829975861,29.607952117919922,5.0,1.8877054657787085,0.04675433784723282,1,0.0002812792856787038,0.07959751969502392,0.0005010755338150508,0.0012741958897644879,0.0,0.010000001639127731,0.017214059116316866,0.01273340669901336,0.02161596467618802,1.0,0.8607030430220357,0.9840099209878527,0.09356640215185232,0.1586082563945654,3.466284750173532e-05,7.244877199047854e-07,0.00011621816209610259,1.820500559668559e-07,0.000964919739586226,0.9999938606590439,0.9988841906674636,5.255130241172667e-06
11,True,True,0.5481243703557337,0.6257369256219734,0.4259480834007263,0.6526469588279724,0.4871424436569214,0.6434749885411694,0.8104978329386315,0.7882577565027188,0.01012686197914707,6.601688593101288e-05,0.02018855705638372,8.08386682742364e-05,5.405775919040628,17.1584415435791,5.0,1.8150966325774789,0.0481307590380311,1,0.0002812792856787038,0.07566547054300966,0.000551485714796053,0.0013956012477798257,0.0,0.01012686197914707,0.017101097578360678,0.01331464354054375,0.021885628019462477,1.0,0.8470619097586569,0.9927662472159515,0.12979836791659952,0.19610529725223874,5.840907530775481e-05,7.584209302944363e-07,0.00018675489324538485,8.913610932535335e-08,0.0018475439975197646,0.9999943336184602,0.9979072850498548,4.836924173641561e-06
12,True,True,0.5034320757715549,0.582837810374382,0.41831162571907043,0.6467701196670532,0.48605605959892273,0.6498668164511106,0.8232798816994955,0.7980532235329869,0.010330166137051169,5.892881012976595e-05,0.02039197693575967,4.83322421677531e-05,6.174298388009807,22.964853286743164,5.0,2.0785004030913115,0.04924014117568731,1,0.0002812792856787038,0.07718360443195917,0.0005978722048669043,0.001624257868932265,0.0,0.010330166137051169,0.017230206695927654,0.013838647793419463,0.022094770320002205,1.0,0.8449632738719832,0.9945787652341916,0.16434656310306642,0.22055987816730052,2.759700035757289e-05,7.428420362162016e-07,8.084744100474434e-05,5.706592788705245e-08,0.0006259529629292338,0.9999977679843042,0.9992656079819671,1.456283511396189e-06
13,True,True,0.5083555139499596,0.5935749282116405,0.4304925501346588,0.6561192870140076,0.48600533604621887,0.6396712201027408,0.8130271163638244,0.7808391344905152,0.010556408443565384,6.912835683561961e-05,0.020598335435920847,7.335806043652746e-05,7.563892837336281,23.770689010620117,5.0,1.9983590096235275,0.04823676776140928,1,0.0002812792856787038,0.08292581885857635,0.0007024828616015668,0.0015911127207067805,0.0,0.010556408443565384,0.01735608593794319,0.014476816246143356,0.022353229326453034,1.0,0.8426023084994754,0.995408879247067,0.1895490423204516,0.20693850729923308,2.4021189732047597e-05,7.937635379857632e-07,6.934833709905909e-05,6.017125472008317e-08,0.0005414257119421498,0.9999973223567135,0.9993652035281891,1.8401300999362545e-06
14,True,True,0.39365813784997084,0.46926788771515254,0.3863524794578552,0.6215726137161255,0.4734087586402893,0.6766171102540453,0.8362205478337604,0.810748820849742,0.010782922501797942,5.535555319865255e-05,0.020758072606210695,2.360282424853959e-05,5.896738011088977,27.315181732177734,5.0,1.9770810389891267,0.0475245313718915,1,0.0002812792856787038,0.0735529211602894,0.0007308680210796362,0.0013259596920530445,0.0,0.010782922501797942,0.017681387738800625,0.01501309393503452,0.02269473090642772,1.0,0.8517838405036726,0.9955810275933424,0.23587136237969053,0.18605437352549742,1.774381249610601e-05,9.035814544344836e-07,5.03459691858366e-05,7.627027793942757e-08,0.00041134114978661954,0.9999960976782776,0.9995205745116611,2.938045718064886e-06
15,True,True,0.3463016633659695,0.41893332177169174,0.3531998097896576,0.5943061709403992,0.4326540529727936,0.7043663755988145,0.8407242550839471,0.8222580717744326,0.01096733251893414,4.4375435612111054e-05,0.020836230568736323,1.8611093360123697e-05,5.556225795685807,25.40561294555664,5.0,1.9613111596554518,0.05633691232651472,1,0.0002812792856787038,0.07060364192861825,0.0009488222836189418,0.001079193941323118,0.0,0.01096733251893414,0.017725960045646395,0.015477520283722053,0.022641771380151433,1.0,0.8507345225603358,0.9958010872538667,0.29314029567014005,0.15958692235061028,1.2642475894370064e-05,6.63841276120436e-07,3.0109937451906276e-05,9.616742694513715e-08,0.00017044889052567812,0.9999968223781925,0.999786798813911,2.4303305356649875e-06
16,True,True,0.2976876850096276,0.36823728316290555,0.3645656108856201,0.603792667388916,0.44586530327796936,0.6948530462965341,0.8379103262103869,0.8136264698384106,0.011092790306701177,3.4774352702244624e-05,0.020905231955341,3.087091502692813e-05,4.919592708255411,15.934205055236816,5.0,2.415430538356304,0.05143775325268507,1,0.0002812792856787038,0.06861498970479743,0.000977162899279853,0.000957444532849393,0.0,0.011092790306701177,0.017845013113409,0.015694585047341718,0.022753353108498506,1.0,0.853620146904512,0.9981859078687486,0.3150652132279475,0.15104120284913095,1.5069489112588546e-05,6.114343845530041e-07,3.5978664312918646e-05,9.771238755928315e-08,0.0002049938665121164,0.9999968960552876,0.9997439560835159,2.413619899272105e-06
17,True,True,0.31385695343252745,0.38646937748817933,0.3969476521015167,0.6300378441810608,0.44965294003486633,0.6677487853937829,0.8229384437645761,0.8014366628791612,0.011221682525788123,4.270607017922223e-05,0.020999185895353774,3.471435534204152e-05,6.294268302877452,24.325950622558594,5.0,2.1187882609665394,0.05072118900716305,1,0.0002812792856787038,0.0707217243041722,0.0009672328909045009,0.0009234660349792145,0.0,0.011221682525788123,0.01784804432700776,0.01598037469932753,0.022838332933634676,1.0,0.8499475341028332,0.9985531221406783,0.3060968708704301,0.1430053329730459,1.1164457197829112e-05,6.424011750643515e-07,2.3728739141584707e-05,1.1318651302074405e-07,0.00012373219893143322,0.9999964407333422,0.9998413730893531,2.8242327049005515e-06
18,True,True,0.28586489417182687,0.3553903990064563,0.3407270908355713,0.5837183594703674,0.41544750332832336,0.7148062513766631,0.845847521724743,0.8290516761967307,0.011368853829660358,3.3272771653101554e-05,0.02106068194975758,1.9025392040197677e-05,5.009322793886519,16.755807876586914,5.0,2.1619355427101254,0.048826856538653374,1,0.0002812792856787038,0.06770782471719469,0.0009954534175034085,0.0008222274776647828,0.0,0.011368853829660358,0.017552454689085673,0.016309344155981682,0.022403882323898148,1.0,0.833420776495278,0.9988816468688149,0.3445678682917688,0.12385823018653445,1.2295986071463308e-05,4.2785512656685093e-07,2.6917644726709035e-05,9.548738587236557e-08,0.00014890628793841714,0.9999971798184286,0.9998118764831286,2.318647477547547e-06
