epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.1731614145877354,1.2904775620820264,0.8139745593070984,0.9022054076194763,0.6406704783439636,0.3929373867294579,0.6376551639636803,0.6336697368105436,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,23.794929363294763,94.99237060546875,5.0,6.180971575900912,0.10815170221030712,4,2.0323874152042762e-05,0.11731614401526866,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.03022898464675715,0.0,0.0,0.3060281332992682,0.2397343433791418,0.20842662522450073,0.3356077403674471,0.32212185428125034,0.18769667712738983,0.16342338722625285,0.23696123724969462
2,False,False,0.8651553089070796,0.9516708419930897,0.7734447717666626,0.8794571161270142,0.6328054070472717,0.4231645497705675,0.6574396185903879,0.642027677537616,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,30.141363818397803,159.2044219970703,5.0,5.413488637655973,0.10386299714446068,4,2.0323874152042762e-05,0.08651553237847867,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030244121849849617,0.0,0.0,0.3408039198467139,0.2397343429100601,0.18434571023690363,0.3356077421186853,0.3171346121294676,0.18769667848772667,0.1577157566611189,0.23696123903220498
3,False,False,0.8423026173462522,0.9265328792059659,0.7966046929359436,0.892527163028717,0.6234986782073975,0.4058917927805493,0.6657895196805242,0.665581477646145,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,28.183140117248982,103.70716094970703,5.0,5.261915068142116,0.10834454372525215,4,2.0323874152042762e-05,0.08423026355622573,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030022473784959078,0.0,0.0,0.29839589037900205,0.23973434362931867,0.18669869407526718,0.33560773999218174,0.3356213740386843,0.1876966770648456,0.17928404060015524,0.2369612382816743
4,False,False,0.8058381914341938,0.8864220074316387,0.7850078344345093,0.8860066533088684,0.6206955313682556,0.4145408212067939,0.6617733136582742,0.6626596744212518,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,24.72707620522658,94.49153900146484,5.0,5.203093936666846,0.10410483088344336,4,2.0323874152042762e-05,0.08058382049085648,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.029985496186009233,0.0,0.0,0.283701036809499,0.23973434348859415,0.1798284480354093,0.3356077398670933,0.33876278020777706,0.187696677174298,0.19770773751162782,0.23696123837549063
5,False,False,0.7952380181140689,0.8747618214499913,0.7546079754829407,0.8686817288398743,0.5945048332214355,0.43721303933303,0.6712899715174597,0.6830264120393889,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,23.38634124507684,86.76611328125,5.0,5.449852295219898,0.11001005675643682,4,2.0323874152042762e-05,0.07952380292058961,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.029916609994136773,0.0,0.0,0.2646464187913777,0.2397343437544071,0.1904288131630308,0.33560773999218174,0.3436230157442383,0.18769667712738983,0.20130175474057793,0.2369612391729295
6,True,False,0.6933149756689763,0.7734070200422253,0.597832977771759,0.7731965780258179,0.5276123285293579,0.5541359095063365,0.7521652115872375,0.7566766470177362,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,23.8095896201519,92.48696899414062,5.0,5.470512798056006,0.1045702239498496,4,2.0323874152042762e-05,0.0781478889536695,0.001611534944502881,0.00033262371074773296,0.0,0.3999999761581421,0.04251049958943445,0.3998732249421563,0.0425215924758726,1.0,0.8502098635886673,0.05739404239221735,0.18867463477010618,0.014561915291318863,0.25978746237809863,0.047787158813519096,0.19972629396387562,0.1416619588217355,0.3261318337817257,0.11557343614689325,0.21435440895377275,0.6949774450295119
7,True,False,0.4835810026179331,0.561669556379068,0.5691730380058289,0.7544355988502502,0.5127445459365845,0.5755104833918873,0.7718964149574846,0.7653181334689763,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,19.120666955225364,70.14727783203125,5.0,5.406529603525996,0.10691690538078547,4,2.0323874152042762e-05,0.07622030462995406,0.001391954384776539,0.0004762963700041777,0.0,0.3999999761581421,0.042405567772037585,0.39999177370216515,0.04242388519447723,1.0,0.8481112277019937,0.10862203438034337,0.31273366227855465,0.03446885081084303,0.21865834624106836,0.05245043859980289,0.19678323457148492,0.09486254403154597,0.374073306698614,0.13427867456598272,0.21048511292664226,0.7184083417355076
8,True,False,0.3945343735054182,0.4734787443674249,0.5460811853408813,0.738973081111908,0.4937792420387268,0.5927323650979335,0.7792198238785206,0.7697031673680504,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,19.379906927551076,64.53925323486328,5.0,5.537985507398844,0.10420617088675499,4,2.0323874152042762e-05,0.0769840892578269,0.0013653683676303765,0.0005949119174556615,0.0,0.3999999761581421,0.04210388878944788,0.4001512034930062,0.042127429661101584,1.0,0.842077649527807,0.11462782503175085,0.3647445280179147,0.05561452514539861,0.2007519210936015,0.04756331980494237,0.2077270474163708,0.09327061821443712,0.3721099642866681,0.14068930055887477,0.21941106326307355,0.7184767638023353
9,True,False,0.33149303909457617,0.4104289393422486,0.5730957984924316,0.7570309042930603,0.5209943056106567,0.572584940394019,0.7827895227721676,0.7860643051880896,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,17.74331649227883,77.43164825439453,5.0,5.428354040719569,0.11238792631775141,4,2.0323874152042762e-05,0.07720886931167319,0.0012552968423938731,0.00047173522972743194,0.0,0.3999999761581421,0.042130121752103754,0.40027086910521,0.04215513545421713,1.0,0.8426023084994754,0.11413196274954024,0.3996764605343029,0.041430908971605875,0.1915566394924492,0.04783149659320916,0.21887571445166876,0.07562051306929193,0.3646257678584312,0.16975025577003533,0.22494187805672633,0.7067977385155677
10,True,False,0.27459559446554493,0.3518381676668886,0.5095086693763733,0.7137987613677979,0.47746339440345764,0.6200081333904229,0.7888336103756477,0.7807147993773386,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,16.37712340339909,53.08724594116211,5.0,5.566613004542887,0.10507906880229712,4,2.0323874152042762e-05,0.07579639922252857,0.001047554263518439,0.0003986188694226369,0.0,0.3999999761581421,0.042431800740556976,0.4003828193245755,0.042459166128919354,1.0,0.8486358866736621,0.12081064305738287,0.40666068563431285,0.034391946996809426,0.19470161850029624,0.04768129103550255,0.2183836581574407,0.07015888557885651,0.36191503470616976,0.15743396601640666,0.22499968604050805,0.7247258558603549
11,True,True,0.23335623824020998,0.30903600398666087,0.5445542335510254,0.737939178943634,0.5181390047073364,0.5938712092844907,0.7996376429428815,0.7915281552226993,0.40015556479551107,6.926018085763403e-05,0.05000825606653973,6.435588458717583e-06,14.718964224472126,63.87258529663086,5.0,5.608456551097333,0.10441260784864426,4,2.0323874152042762e-05,0.07438327709422031,0.0009563666530655148,0.00034012061177048314,0.0,0.40015556479551107,0.04306849296686532,0.4006410843115163,0.04309695896546963,1.0,0.8612277019937041,0.11267790243670672,0.41357153513374006,0.029359223201855283,0.1991631558784533,0.04449505459786963,0.2099476382683607,0.06846781601544942,0.367274445163991,0.17734782433709967,0.2236147602044773,0.7096893068125466
12,True,True,0.20577859348477748,0.28037200502246024,0.4783530533313751,0.6916307210922241,0.4615965187549591,0.6432440758653076,0.8046690630832071,0.7973570272027053,0.40034148431649863,6.435326368313232e-05,0.05002057129773238,4.14746296337024e-06,13.935212326450088,44.2696533203125,5.0,5.64003636687994,0.10397746227681637,4,2.0323874152042762e-05,0.07342052545959417,0.0008320226465353834,0.00034086321075500655,0.0,0.40034148431649863,0.042383641813728265,0.40089608214459416,0.04241581935853798,1.0,0.8473242392444911,0.13030629560492096,0.4224862039464468,0.032606509423268426,0.1954844501279959,0.044292510044443394,0.20833809495535127,0.06430047278264137,0.362659571397217,0.16837068464986174,0.23351788489540876,0.7230363298062888
13,True,True,0.192817182005515,0.2677118134335981,0.49391230940818787,0.7027889490127563,0.4673675298690796,0.6316399536592939,0.7954894564179432,0.7833011106780148,0.4005408201050033,6.459197260431808e-05,0.050020566520917326,2.287170963402858e-06,14.623069202787354,40.617530822753906,5.0,5.574334568344057,0.10679222084581852,4,2.0323874152042762e-05,0.07378062342390308,0.0007813118514788101,0.0003326960695277878,0.0,0.4005408201050033,0.04240987772378066,0.40116287985228294,0.04244250193597888,1.0,0.8478488982161595,0.1332345600049368,0.42409336632596484,0.030482835031787846,0.18929935083309227,0.03954974137019886,0.20887077511420155,0.0616988920199158,0.37168762325490007,0.16395763202266453,0.23014225170469735,0.7347937322613575
14,True,True,0.1810228086007292,0.2555924800047719,0.5179606676101685,0.7196948528289795,0.486210435628891,0.6137046976046583,0.8012291483886902,0.7898212285250069,0.40076085165189923,4.594781994327689e-05,0.05001879441634931,0.0,13.8870826483023,77.68870544433594,5.0,5.519826355390251,0.10392714664340019,4,2.0323874152042762e-05,0.07353205214658164,0.0007410769861598202,0.0002965423138366312,0.0,0.40076085165189923,0.04177853578050764,0.4014556330999072,0.04181355837603556,1.0,0.8352570828961176,0.12644346511814303,0.42781915072379056,0.026887585615186102,0.1906842796399736,0.03967955044362252,0.20442092007442386,0.06764758758223445,0.37865788541960943,0.1670814945214943,0.22623691621069392,0.7255913672141989
