epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.131210796542833,1.2443318726633679,0.6905322074890137,0.8309826850891113,0.6186041235923767,0.42201405494031186,0.6679666370255088,0.6471429265994805,0.10000000149011612,2.0243071175351937e-05,0.010000001639127731,1.03490012758144e-06,23.86164313573527,90.10723876953125,5.0,4.746965078637004,0.09383986704051495,1,4.302325800985752e-05,0.1131210814133396,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.02924450887963254,0.0,0.0,0.06526655540386252,0.240003873878486,0.5384458178363092,0.33519372997604163,0.30233795367032756,0.18761917560948654,0.0939496740589362,0.23718322011381232
2,False,False,0.9032813126743152,0.9936094434789196,0.7075457572937012,0.8411573767662048,0.6187024116516113,0.4077734185307065,0.6865847653347041,0.6553700952050294,0.10000000149011612,2.0243071175351937e-05,0.010000001639127731,1.03490012758144e-06,21.352761090489775,67.71211242675781,5.0,3.660806827247143,0.09839870780706406,1,4.302325800985752e-05,0.09032813310310447,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.028891688410157546,0.0,0.0,0.05023293216309167,0.24000387528573103,0.5496136158986207,0.33519372881897347,0.33372948960579957,0.187619175734575,0.0664239626960264,0.23718321920692106
3,False,False,0.8401280045822059,0.9241408028357426,0.6899508833885193,0.8306328058242798,0.6118760108947754,0.42250065515743285,0.6932042601909835,0.6681888502475644,0.10000000149011612,2.0243071175351937e-05,0.010000001639127731,1.03490012758144e-06,16.138908833546754,56.12796401977539,5.0,3.6755485674366355,0.09647536091506481,1,4.302325800985752e-05,0.08401280179705788,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.029035597523637234,0.0,0.0,0.046825543092905784,0.24000387458210853,0.5112789874937452,0.335193728130987,0.3715364481131903,0.1876191753124015,0.07035902066689849,0.23718322023890076
4,False,False,0.790173750421558,0.86919112783414,0.6429383754730225,0.8018344044685364,0.6150086522102356,0.46185082459926075,0.7135165692881378,0.6868975100872533,0.10000000149011612,2.0243071175351937e-05,0.010000001639127731,1.03490012758144e-06,16.095129839645978,60.498756408691406,5.0,3.600558399222791,0.0947580486536026,1,4.302325800985752e-05,0.07901737648614557,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.028683227450750057,0.0,0.0,0.036951717712446375,0.2400038748322854,0.5517692632214846,0.3351937286000687,0.35689812285702477,0.18761917636001724,0.05438089584941504,0.23718322011381232
5,False,False,0.7810304351893702,0.8591334787270705,0.6158478856086731,0.7847597599029541,0.5632904171943665,0.48452596408081705,0.7239155223134406,0.705886753414754,0.10000000149011612,2.0243071175351937e-05,0.010000001639127731,1.03490012758144e-06,16.65002604871832,53.50545883178711,5.0,3.6250049229711294,0.09585947543382645,1,4.302325800985752e-05,0.07810304500358052,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.02849927686881919,0.0,0.0,0.03294026983387823,0.24000387536391132,0.5540418112015298,0.33519372847498025,0.3558992332889301,0.18761917532803754,0.057118684929040146,0.23718321964473063
6,True,False,0.7007913452818412,0.7770302741937848,0.4818817675113678,0.6941770315170288,0.5072871446609497,0.5966577209910615,0.7780252073239269,0.7793300747746399,0.10000000149011612,2.0243071175351937e-05,0.010000001639127731,1.03490012758144e-06,15.89791552492604,73.95669555664062,5.0,4.1825173469260335,0.09795757010579109,1,4.302325800985752e-05,0.07511858063958124,0.0008338472742640099,0.0002865014514619205,0.0,0.10000000149011612,0.008502099905378046,0.1001617854924292,0.00853129146974397,1.0,0.8502098635886673,0.1427701943850092,0.1035773665307076,0.01296764274068169,0.02329758423354168,0.033109675061860654,0.5793683805345613,0.02199009961691946,0.3512485017931599,0.5753941700441014,0.046085534095451436,0.36950605352490296
7,True,False,0.5546913070355983,0.632079201880432,0.5850550532341003,0.7648889422416687,0.585197925567627,0.5103000342443387,0.8009230815639784,0.792717290633078,0.10000000149011612,2.0243071175351937e-05,0.010000001639127731,1.03490012758144e-06,18.241494120730934,102.69105529785156,5.0,4.13333448395133,0.09730102866888046,1,4.302325800985752e-05,0.07563204891932786,0.001321502803128041,0.0004343424232250054,0.0,0.10000000149011612,0.008481113535253349,0.10075160820361574,0.008568211011041311,1.0,0.8481112277019937,0.29412137445723024,0.2763575057793264,0.034752991218569396,0.025383443699647346,0.018082710966108227,0.5914127032379038,0.0265964589888916,0.34412270673362055,0.5161212545126708,0.039081146418735585,0.4391995760038542
8,True,False,0.46377372063094396,0.5420626115135981,0.4262621998786926,0.6528875827789307,0.4903571605682373,0.6432120661638119,0.8153983131755442,0.8033287121242617,0.10000000149011612,2.0243071175351937e-05,0.010000001639127731,1.03490012758144e-06,19.2832073009527,92.31627655029297,5.0,4.007502128370106,0.09576094057410955,1,4.302325800985752e-05,0.07631824354388031,0.0014542795388335983,0.0005163675407237854,0.0,0.10000000149011612,0.00842077773091738,0.10115032085654367,0.008541097729647647,1.0,0.842077649527807,0.3385070249016112,0.3653663786485838,0.04609109195494577,0.02302907835320811,0.01241399880873913,0.6483372699426329,0.024639390002455318,0.2863314458856052,0.5404333214882413,0.042302210075469984,0.4225132901295785
9,True,False,0.38541061227900786,0.4617406767084491,0.4092634320259094,0.6397370100021362,0.47308608889579773,0.65744029414537,0.8256033531331954,0.8138938070856386,0.10000000149011612,2.0243071175351937e-05,0.010000001639127731,1.03490012758144e-06,19.103802963168775,65.91026306152344,5.0,3.9024871615692973,0.09632665105164051,1,4.302325800985752e-05,0.07426036383046848,0.0014724774851476805,0.0005972217868599192,0.0,0.10000000149011612,0.008426024332243836,0.1014269293292747,0.00856885253495741,1.0,0.8426023084994754,0.35157477374091856,0.42310827391970696,0.05419536457951146,0.020881547384425325,0.011509346652088016,0.6560855866854488,0.02244793733926138,0.2922130088788015,0.5205041157298673,0.030819858763472482,0.4455385993685327
10,True,False,0.3575315681859804,0.4328415779101761,0.40120139718055725,0.6334046125411987,0.46033191680908203,0.6641883430452709,0.8180158409973816,0.8026165581970301,0.10000000149011612,2.0243071175351937e-05,0.010000001639127731,1.03490012758144e-06,18.033760588166597,90.19020080566406,5.0,4.15350725222379,0.09567423816770315,1,4.302325800985752e-05,0.07348170101345523,0.0012929815684392003,0.0005353270782949843,0.0,0.10000000149011612,0.008486360111171213,0.10164120257025876,0.008639423440016048,1.0,0.8486358866736621,0.38926949108885317,0.41653280130588494,0.0511605336808708,0.02315040775120321,0.011692813258023946,0.6449401426165201,0.023903178338915233,0.2948262261584448,0.5007535861521678,0.03708322459571885,0.46365042245025273
11,True,True,0.3016289682259465,0.372695101939087,0.39884740114212036,0.6315436363220215,0.4720834791660309,0.6661586864672608,0.8230609415667169,0.8007342773753373,0.10013409544482187,6.770160595278076e-05,0.010004860522950621,1.9037358139628694e-06,16.757790563989662,69.39691925048828,5.0,4.235108613036573,0.09783204458653927,1,4.302325800985752e-05,0.06934708266168176,0.0012511330475182452,0.00046791835005626235,0.0,0.10013409544482187,0.008616465751711056,0.1019646575887456,0.008775346117936551,1.0,0.8612277019937041,0.4108114109959958,0.43155505696598906,0.04437528810183374,0.024863696599463227,0.00993381066888899,0.6535123995693883,0.023765874628841503,0.29158668071500654,0.47359957662484325,0.03003722284251095,0.4927007316417234
12,True,True,0.2789526639383087,0.3488021478181996,0.3890875577926636,0.6237688064575195,0.460061252117157,0.6743278074371755,0.8417490673656527,0.8230109650534554,0.1003466423010651,5.748104011308235e-05,0.010014502422499068,3.2494449930651794e-06,15.551032346543336,74.49202728271484,5.0,4.009829915128648,0.09613960050046444,1,4.302325800985752e-05,0.06831239910106343,0.0010990679876317915,0.00043801626445606333,0.0,0.1003466423010651,0.008485545433572994,0.10233414370140524,0.008651887818170244,1.0,0.8473242392444911,0.40041544636299076,0.419754284501451,0.043521412115657444,0.02120521095467014,0.008113227178736474,0.6618886711965203,0.02336245659125064,0.29093916137220976,0.47401761527076475,0.025966956179514764,0.4945066988405626
13,True,True,0.2572323940889783,0.3263850974902151,0.4525127410888672,0.6726906895637512,0.5082682371139526,0.6212399601193767,0.8352087509290511,0.8081830094112693,0.10056790444464399,7.056974606647041e-05,0.010027891966042276,4.275970504954923e-06,15.728840132450133,66.10327911376953,5.0,4.242306224070489,0.0982836214825511,1,4.302325800985752e-05,0.06769513308998014,0.0010419624461679414,0.0004156059430830781,0.0,0.10056790444464399,0.008502116107263633,0.10271528719729917,0.008677343553536086,1.0,0.8478488982161595,0.41923372170732504,0.41793590521387136,0.042289620830217166,0.022147467815300602,0.00762622099680531,0.6607560015049961,0.027108480127729623,0.2872102724355015,0.4701607185108089,0.029886257732120915,0.4951045794602081
14,True,True,0.2356930674842372,0.3041446588128211,0.3636589050292969,0.6030413508415222,0.43178462982177734,0.6956119725182808,0.8402357616338861,0.8291044504253763,0.10078006075912108,4.774897308626684e-05,0.010038177062564794,2.171104741032756e-06,13.540667372760593,68.78443908691406,5.0,3.841639708727598,0.09652623627334833,1,4.302325800985752e-05,0.06718195302867314,0.0009346264659957404,0.000335010104643006,0.0,0.10078006075912108,0.008384448351047284,0.10307156190604504,0.008562147113077288,1.0,0.8352570828961176,0.5042722557924477,0.42680719443220655,0.029798947591315038,0.019020217094582126,0.006321208965881548,0.6917947786552333,0.018742955845349702,0.26138067877180055,0.49122856921689334,0.027804327141669465,0.4837072688034674
15,True,True,0.22863657317531821,0.2959605807209815,0.33077487349510193,0.57513028383255,0.41385868191719055,0.72313643889335,0.8537719370529461,0.843824621414142,0.10098354279963692,6.123124557425263e-05,0.010048985368878056,3.6841989932005184e-06,12.471874386165975,76.45728302001953,5.0,4.221932058222592,0.09607415739446878,1,4.302325800985752e-05,0.06607078019713304,0.0009201328759420647,0.0003330937763332787,0.0,0.10098354279963692,0.008467294123309106,0.10340897618535934,0.00865388751237146,1.0,0.8426023084994754,0.522057769368603,0.42195066715837903,0.031385944669544384,0.01697473677123456,0.00627609340479873,0.6878643225397668,0.019930576344664674,0.2673088262113669,0.4695613445540165,0.027852113566831427,0.5042319877575477
16,True,True,0.21504382603065916,0.2808927948364806,0.3474715054035187,0.5894671082496643,0.42719197273254395,0.7091610752693134,0.8506659416373354,0.8347361612966484,0.10119894717635287,5.959471855314603e-05,0.010066137660845942,6.826205603107912e-06,11.75168455710316,65.618408203125,5.0,4.328904487192631,0.09607626125216484,1,4.302325800985752e-05,0.06461180877898197,0.0009227423545667199,0.0003144176633381612,0.0,0.10119894717635287,0.008479182432519989,0.10376096639590648,0.008672556637591856,1.0,0.8423399790136411,0.5859500885259943,0.4245771291623711,0.028468084465888215,0.01328177430939637,0.006553777244336833,0.6905689283908352,0.021295915833690983,0.2760052279435325,0.47156986344023244,0.020144068291029674,0.5005804426647559
17,True,True,0.21079043675788678,0.276479381579292,0.338180810213089,0.5815331339836121,0.4162840247154236,0.7169375378202238,0.849319621511897,0.8318305598563664,0.10136899150368549,5.6552543115793736e-05,0.010083252852362388,5.721241378420906e-06,12.208453954454484,78.91109466552734,5.0,4.13896831125021,0.09756807051599026,1,4.302325800985752e-05,0.06441313988389398,0.000948992975721681,0.0003268108706402662,0.0,0.10136899150368549,0.008535842913528368,0.10404047177633484,0.008742281324684558,1.0,0.8465372507869885,0.5587789982963834,0.42433582466771946,0.03039325429722745,0.014121945329784471,0.0060676476993409435,0.6923747675616494,0.01762901545049777,0.26857614828369425,0.4799000445718155,0.024927138130533325,0.4964032917432995
18,True,True,0.19222761810232436,0.2567235505343234,0.3404252529144287,0.583459734916687,0.410472571849823,0.7150588830379041,0.8479977417174474,0.8382615244940965,0.10152222664884104,4.35338086149567e-05,0.010106304277356124,5.640669193043647e-06,11.668762367144462,83.02822875976562,5.0,4.374647066928446,0.09755451418459415,1,4.302325800985752e-05,0.0632705953624979,0.0008579798365815648,0.0003673566552663905,0.0,0.10152222664884104,0.008581912674201341,0.10426531084749656,0.008797383571096383,1.0,0.8491605456453305,0.5620154182408064,0.42319732848144404,0.038801626895494754,0.012927590942661134,0.006376217200752086,0.7070577130237632,0.01899055232428765,0.25555423158538554,0.4717202139989026,0.024460464055334284,0.5029130155867569
19,True,True,0.19153115390980732,0.25518731636865943,0.3380472958087921,0.5814183354377747,0.4192240536212921,0.7170492800051014,0.858733983986713,0.8405469542079217,0.10168018788568371,4.355764675114772e-05,0.010124234226605574,7.995131861492529e-06,10.47666585207736,131.21788024902344,5.0,4.067795832641423,0.09560599084943533,1,4.302325800985752e-05,0.062446732026136875,0.0008523793943772147,0.0003570512009885725,0.0,0.10168018788568371,0.008610338725126178,0.10452091912001152,0.008835147444749053,1.0,0.8504721930745016,0.5755466125194073,0.41381930917157456,0.03909500564789597,0.012968318627762206,0.0061277484540570555,0.7006065540273693,0.0209885077301319,0.26112238060514925,0.4585729009957529,0.02530274199417637,0.5143108402319244
20,True,True,0.19152669510867637,0.25522795157919465,0.35299181938171387,0.5941311717033386,0.4248855710029602,0.7045404960738837,0.8542052206933706,0.843167477911685,0.10183143047352028,4.619210079178727e-05,0.010155174546999171,8.580553111894442e-06,10.808571316137645,68.66106414794922,5.0,3.8716011671349406,0.09734880924224854,1,4.302325800985752e-05,0.06251723563800891,0.0008167339822840325,0.00036728608436395824,0.0,0.10183143047352028,0.008623399915406236,0.10475531519084762,0.008863299972683598,1.0,0.8491605456453305,0.5940950904412885,0.40988994179467464,0.04381342787307307,0.01221077275097933,0.005721330394477809,0.6950296523188244,0.019366252329884582,0.2756294696928947,0.47583669216097463,0.017130104088051497,0.4990757214685302
21,True,True,0.18069346557133845,0.24367603697156356,0.3257153630256653,0.5707147717475891,0.4045896530151367,0.7273713095170667,0.8549064012425822,0.8409654210435381,0.10196930119242023,3.47763093848227e-05,0.010190625881223088,1.3022951779345574e-05,10.606760925661229,78.77268981933594,5.0,3.8456143429502845,0.09457790106534958,1,4.302325800985752e-05,0.061832479006783785,0.0007983758615960556,0.0003517166694242274,0.0,0.10196930119242023,0.008704226993704517,0.10497429277376513,0.008961141277554152,1.0,0.8541448058761805,0.6100080181519107,0.411098522129239,0.04703314833006854,0.015242943071133818,0.0060515491275267294,0.6870059834447262,0.021163807812968713,0.2697974753029574,0.4850762317588422,0.027953598648309708,0.4877084120248072
22,True,True,0.18622953056163327,0.25015985971983185,0.3648149371147156,0.603999137878418,0.4275980591773987,0.6946443697687458,0.8545918531676192,0.8402893071439195,0.10211234863413593,3.804679770848291e-05,0.010231974291354261,1.0153558257686212e-05,11.092679286928767,101.7740249633789,5.0,3.9194389963522553,0.09598938841372728,1,4.302325800985752e-05,0.0627111992862267,0.0008504763051658842,0.0003686541840942246,0.0,0.10211234863413593,0.008702065806898434,0.10520098979144131,0.008978488574592164,1.0,0.8504721930745016,0.6218463076124161,0.41603239879778275,0.045093684340949326,0.014230618557276092,0.005358367218466911,0.7085945182807298,0.01911851001491991,0.25433294262428224,0.47471752956681584,0.02284191933569009,0.5008055967398981
23,True,True,0.16954073879050807,0.2316033773413485,0.3234385848045349,0.5687165856361389,0.3924688994884491,0.7292769971483424,0.8539974076567818,0.8455636366038338,0.10225365489940202,3.81953785853336e-05,0.010278120528464866,1.4592035802092199e-05,9.6712669675773,75.47933959960938,5.0,3.836187331005931,0.0958568500354886,1,4.302325800985752e-05,0.06092539147042903,0.0007800846054048728,0.00035716244621189643,0.0,0.10225365489940202,0.008773750114447173,0.10542222239851076,0.009076880504145577,1.0,0.853620146904512,0.6342411214507264,0.4122317157849935,0.05001501112019278,0.013956530168183453,0.005072733139617276,0.6847244857928685,0.020143831860184168,0.27340382575238237,0.4748439821966798,0.02791515690472919,0.4999394523134262
24,True,True,0.16125973348446182,0.2229233863924758,0.31920820474624634,0.5649851560592651,0.39752399921417236,0.7328178705333643,0.8585057807319119,0.8433523740616221,0.10235178330668873,1.8243078741878213e-05,0.010324553424318527,1.3961318468298657e-05,8.733745048078635,80.5399169921875,5.0,3.8780160695314407,0.09722647909075022,1,4.302325800985752e-05,0.06058373725958411,0.0007292098061198921,0.0003507067166750856,0.0,0.10235178330668873,0.008921608689425813,0.10557799774602228,0.009250564144969237,1.0,0.8641133263378804,0.6461431334676673,0.41143669005080763,0.05320439560403353,0.011828043096447666,0.0070071135694503095,0.6954701427147496,0.027444292605998226,0.26658153762221964,0.4539229194364918,0.026120276003685102,0.5116256721247406
25,True,True,0.16308344966279498,0.22464420290708792,0.31888872385025024,0.5647023320198059,0.40667250752449036,0.7330853036535288,0.8625866138143293,0.8472054518017827,0.10243816522085904,3.9277853251800036e-05,0.010370254329946146,1.4236753573022646e-05,9.097287052450751,72.13655853271484,5.0,3.856385627761483,0.09453653357923031,1,4.302325800985752e-05,0.0604963065286295,0.0007020328003872975,0.00036241322743475773,0.0,0.10243816522085904,0.008844085732535513,0.10571517764834017,0.009197369183668747,1.0,0.8528331584470095,0.6392834228458585,0.4076168159060063,0.055402052912231756,0.012112538299473454,0.006729408516182104,0.7023094985692724,0.02383502361346095,0.2601685816693781,0.47702193266447296,0.025409377852390284,0.4924136368950667
26,True,True,0.15684672100674693,0.21899685208907532,0.3640671968460083,0.6033797860145569,0.44762662053108215,0.6952702488443134,0.8556223619697542,0.83691779424015,0.10255989997578317,2.6706415441566197e-05,0.010423279326342648,1.4291663760841712e-05,8.78601231880228,93.619140625,5.0,4.1163835087791085,0.10230310168117285,1,4.302325800985752e-05,0.06107119556442138,0.0007269185436010612,0.00035201555544841286,0.0,0.10255989997578317,0.008943948872262322,0.10590609090338224,0.00932888392015025,1.0,0.8580797481636936,0.6390038418494642,0.4129244709565282,0.057346017716563884,0.012922306045702221,0.005209507080574851,0.6903566763133342,0.022554885175970606,0.2708290827236796,0.44935998201745503,0.02589193755391387,0.5228756258395136
27,True,True,0.1455357805371347,0.20679306589919147,0.3350182771682739,0.5788076519966125,0.40391913056373596,0.7195846319124182,0.8608826307064976,0.8459701025202241,0.10263805179724789,1.6602424887685285e-05,0.010481332984810611,1.7754857224312147e-05,8.433226479813534,80.55342864990234,5.0,4.155446769669652,0.09552253317087889,1,4.302325800985752e-05,0.060224919432357873,0.0006911952277217432,0.00034117044092831276,0.0,0.10263805179724789,0.008853485697346807,0.10603577721031365,0.009271804835053174,1.0,0.844700944386149,0.6375380544322236,0.40649745384268343,0.06255938829648908,0.011739578768454594,0.0048856688419050085,0.7009842723201479,0.022053061151370828,0.25989285452293326,0.4721141879105743,0.027383293542162693,0.5009470816861921
28,True,True,0.1457413413170002,0.2065280979383905,0.31505629420280457,0.5612987279891968,0.39722761511802673,0.7362930854253016,0.8603993308872628,0.8401440289354022,0.10267747359317098,1.4791432722590507e-05,0.010544719116846324,1.9831793136714844e-05,8.468932411978402,79.37100219726562,5.0,4.034899267368019,0.09601655881851912,1,4.302325800985752e-05,0.05972931201003906,0.0006942094809106104,0.0003632344145490031,0.0,0.10267747359317098,0.00909529851235504,0.1061098773388147,0.009561757114398267,1.0,0.8625393494228751,0.6503896858984877,0.4046536665272988,0.06763768710532193,0.011966592705528108,0.0049056431073607465,0.6990596727709455,0.020751434445512116,0.2625398682459704,0.4361691519946391,0.026433866971405956,0.5381737699163422
