epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.27192060094315,1.399112659511386,0.6956832408905029,0.8340762853622437,0.6250678300857544,0.41770258286855566,0.6563094448886908,0.6292588325563095,0.3999999761581421,2.4414050858465043e-05,0.30000001192092896,0.0,22.04758171269676,100.27650451660156,5.0,4.478152583353221,0.1019657077267766,1,1.5199303478096073e-05,0.12719206235216146,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030345225853284533,0.0,0.0,0.090031777620941,0.240003873878486,0.1992773077170221,0.33519372997604163,0.5685720557556072,0.18761917560948654,0.14211886026676654,0.23718322011381232
2,False,False,0.901767259942522,0.9919439880069881,0.7152063250541687,0.8456987142562866,0.6349780559539795,0.4013614820931165,0.6672148548142658,0.6353194657145874,0.3999999761581421,2.4414050858465043e-05,0.30000001192092896,0.0,31.776789075805407,103.15118408203125,5.0,3.624948197044432,0.097133444622159,1,1.5199303478096073e-05,0.0901767273921156,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030391367556916203,0.0,0.0,0.07664665525851445,0.24000387528573103,0.15814758383777433,0.33519372881897347,0.6460673872221179,0.187619175734575,0.11913837347050654,0.23718321920692106
3,False,False,0.8495906900071147,0.9345497607184107,0.6323878765106201,0.7952281832695007,0.587155282497406,0.47068176673958984,0.6905234448606687,0.6514850557891652,0.3999999761581421,2.4414050858465043e-05,0.30000001192092896,0.0,28.199343029874818,81.26178741455078,5.0,3.764707986265421,0.09928183443844318,1,1.5199303478096073e-05,0.08495907042789247,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.03030869425719082,0.0,0.0,0.07025754755872994,0.24000387458210853,0.15257871839738718,0.335193728130987,0.6588463144687641,0.1876191753124015,0.1183174231245035,0.23718322023890076
4,False,False,0.8300706634116198,0.9130777304157506,0.6291380524635315,0.7931822538375854,0.6020588278770447,0.4734018926541135,0.7035512319526016,0.6801618661946467,0.3999999761581421,2.4414050858465043e-05,0.30000001192092896,0.0,27.140237986353487,99.17998504638672,5.0,3.81719524692744,0.0971024064347148,1,1.5199303478096073e-05,0.08300706760220988,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030195064615978148,0.0,0.0,0.07157461891675922,0.2400038748322854,0.1351391553003165,0.3351937286000687,0.6835532910175864,0.18761917636001724,0.10973293722801669,0.23718322011381232
5,False,False,0.821434572354694,0.9035780282861163,0.6088196039199829,0.7802689075469971,0.5669654607772827,0.49040872467389596,0.7075573712083763,0.6910301056267467,0.3999999761581421,2.4414050858465043e-05,0.30000001192092896,0.0,28.108156472413263,110.73316192626953,5.0,3.78740266431123,0.09587628673762083,1,1.5199303478096073e-05,0.08214345862473296,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030319896412296037,0.0,0.0,0.06689225234959083,0.24000387536391132,0.13945413098630474,0.33519372847498025,0.6768606923684743,0.18761917532803754,0.11679292938516622,0.23718321964473063
6,True,False,0.7142001698800174,0.7967750762842385,0.4396452307701111,0.6630575060844421,0.5096765160560608,0.6320102812684489,0.8001885930947112,0.777991864583409,0.3999999761581421,2.4414050858465043e-05,0.30000001192092896,0.0,26.62816179561715,93.34741973876953,5.0,3.9510711394250393,0.09916574694216251,1,1.5199303478096073e-05,0.07967590072738537,0.0016809819497809143,0.001218020743194475,0.0,0.3999999761581421,0.2550629677577384,0.39985493247681625,0.2549913517450611,1.0,0.8502098635886673,0.03835457982446564,0.184386582620997,0.0787031533741876,0.07085302637856755,0.06934889010373593,0.14538191308942697,0.11075137066190666,0.657365470280302,0.12733323945578848,0.12639959367599968,0.6925665010059994
7,True,False,0.5097279045476744,0.5908153789178522,0.431594580411911,0.6569585800170898,0.487839937210083,0.6387487996615858,0.8184237864746184,0.7848288851682392,0.3999999761581421,2.4414050858465043e-05,0.30000001192092896,0.0,22.94548761281737,115.3349609375,5.0,4.148379484191537,0.09437020123004913,1,1.5199303478096073e-05,0.07903960005332328,0.0011170001960775335,0.0009308752921680604,0.0,0.3999999761581421,0.2544333764976369,0.39992286826230794,0.25434505903520715,1.0,0.8481112277019937,0.05638525853127022,0.2551123440140567,0.08725112984650783,0.07731162122639379,0.0661647032872077,0.15156353388571914,0.11205966017772868,0.6410656019748195,0.15183935992239905,0.13005924378086864,0.6699362774961017
8,True,False,0.423105342659595,0.5048841269919404,0.39563700556755066,0.6289968490600586,0.471305787563324,0.6688458265643786,0.8243221844452739,0.8068922770055812,0.3999999761581421,2.4414050858465043e-05,0.30000001192092896,0.0,23.89875731413162,87.91168212890625,5.0,4.428653518669307,0.09611645713448524,1,1.5199303478096073e-05,0.07969670485927952,0.0010956879786272159,0.0009863903363169818,0.0,0.3999999761581421,0.2526233040523429,0.40002915691603896,0.252531874592632,1.0,0.842077649527807,0.06289357353482641,0.3155781095075457,0.09644054273555812,0.07374216323759474,0.054946384346747826,0.14095784193696406,0.1161968303220845,0.667332447838558,0.1854815390684172,0.11796754376585561,0.6433752466223798
9,True,False,0.3495842606798674,0.431341511223774,0.4866231381893158,0.697583794593811,0.5274986624717712,0.5926890589113007,0.8284865673761996,0.8078926020739765,0.3999999761581421,2.4414050858465043e-05,0.30000001192092896,0.0,23.827120449710616,75.71824645996094,5.0,4.452630642801523,0.09875153005123138,1,1.5199303478096073e-05,0.07984872694945223,0.0010017742330733327,0.0009067509730628927,0.0,0.3999999761581421,0.2527807012028359,0.40011654101538885,0.2526841402241466,1.0,0.8426023084994754,0.0716666068572938,0.3533603144967919,0.09703428818133795,0.07303165479446884,0.05347947322481077,0.1237053503863834,0.10414069948829359,0.6871450928676041,0.2019159532575267,0.11611790146682595,0.6404638761363275
10,True,False,0.30350766031526943,0.3833404997713543,0.36166736483573914,0.6013878583908081,0.4414830803871155,0.6972789494164277,0.8382941116397928,0.8221155921233835,0.3999999761581421,2.4414050858465043e-05,0.30000001192092896,0.0,19.81980579772501,67.8774642944336,5.0,4.332591944374144,0.09883212111890316,1,1.5199303478096073e-05,0.07796287100570587,0.0010919009577148228,0.0007780676525978397,0.0,0.3999999761581421,0.25459077555572873,0.40020331017993555,0.25448319295583466,1.0,0.8486358866736621,0.0771291380101211,0.39119861352356133,0.0935312365215948,0.07167808924179137,0.050836971254407545,0.11487597250550641,0.09479821289636406,0.6992516847872658,0.20734153647300205,0.11419425144056708,0.647023276479647
