epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.1997826734219619,1.3197609416335228,0.6670169830322266,0.8167110681533813,0.6272674798965454,0.4927158182629514,0.7184166180538767,0.6505575696502984,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,18.456255055674728,64.97740173339844,5.0,6.253205355256796,0.10706482268869877,4,1.934309709335361e-05,0.11997826915363324,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030160312840846002,0.0,0.0,0.09807042782229117,0.24012086821127787,0.2533830194445747,0.3358899525680422,0.5266472160003117,0.1873539445095022,0.1218993404151135,0.23663523247522172
2,False,False,0.8864348091396179,0.9750782920893942,0.6207770705223083,0.787894070148468,0.5921953916549683,0.5278825122448105,0.731888456426862,0.6598638285383672,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,26.937869717416834,91.35269165039062,5.0,5.649008966051042,0.10775299370288849,4,1.934309709335361e-05,0.08864348225201728,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030138662047801464,0.0,0.0,0.07675055953100371,0.24012086889926434,0.21084695874643977,0.33588995328730076,0.6086152341033079,0.18735394429059743,0.10378724716580302,0.23663523367919803
3,False,False,0.8342329648334107,0.9176562560442737,0.6072157621383667,0.7792404890060425,0.5722668170928955,0.5381962561831481,0.737075230269858,0.6743772784587921,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,26.62156335504458,80.87637329101562,5.0,5.420344245620072,0.10732782632112503,4,1.934309709335361e-05,0.08342329778973354,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030481993808075866,0.0,0.0,0.07958610375399104,0.24012086696039342,0.2018663427887283,0.3358899543192804,0.612313342369616,0.18735394344625042,0.10623421478559188,0.23663523286612312
4,False,False,0.8183739706326632,0.9002113657508042,0.6475418210029602,0.8046998381614685,0.6115434169769287,0.5075271974461202,0.7322627249601442,0.654767319346598,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,26.544973405435726,107.39762878417969,5.0,5.473198596388102,0.11001851409673691,4,1.934309709335361e-05,0.08183739860498142,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030509996264078434,0.0,0.0,0.07303869811835594,0.24012086861781534,0.20439242015730547,0.33588995516362746,0.6135384730627254,0.18735394421241716,0.10903040539367752,0.2366352331944803
5,False,False,0.8031295764045976,0.8834425318528822,0.5928603410720825,0.7699742317199707,0.5564745664596558,0.5491139811873587,0.7448377712146051,0.6769591961405812,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,27.558259267496787,81.40713500976562,5.0,5.695222990587354,0.11053500231355429,4,1.934309709335361e-05,0.08031295907194066,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.03049587502934875,0.0,0.0,0.07349233849194968,0.2401208680236452,0.2094982173547915,0.33588995463200155,0.6080714925138547,0.1873539433524341,0.108937949653625,0.23663523258467412
6,True,False,0.6765995604168831,0.7575248967688081,0.4682731628417969,0.6843048930168152,0.49157020449638367,0.6438658053468955,0.8033243337796205,0.7632046886683423,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,24.143803209222753,70.6225814819336,5.0,6.003593035042286,0.1018042666837573,4,1.934309709335361e-05,0.07859045859711618,0.001992163495849603,0.00034271367236283866,0.0,0.3999999761581421,0.04251049958943445,0.3998872822879619,0.04251960620815706,1.0,0.8502098635886673,0.047630769273917045,0.2315122005446635,0.014338791483753251,0.06254783900530866,0.06206851096868765,0.20998525009700658,0.28672224269145935,0.6163404393171088,0.4216715508030194,0.11112646798428308,0.22953769633427246
7,True,False,0.46811964107210213,0.5480539713050986,0.47722694277763367,0.6908161640167236,0.49624893069267273,0.637056258461121,0.8168146131316869,0.7866086624411706,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,24.097040924920865,94.47254180908203,5.0,5.927520142868161,0.11325682699680328,4,1.934309709335361e-05,0.07815271491675412,0.0014568456230076286,0.00032476955160171486,0.0,0.3999999761581421,0.042405567772037585,0.39996460280288304,0.042414878458879174,1.0,0.8481112277019937,0.05646597368081744,0.336236175653942,0.017557120718773366,0.061780697713994026,0.056737150688111346,0.2003895850990902,0.22413484509819326,0.625072654371872,0.4315779263550437,0.1127570621817835,0.28755007732702575
8,True,False,0.3749168772731223,0.45428271161671824,0.4210592210292816,0.6488907337188721,0.4614490568637848,0.6797732513976678,0.8297410717764709,0.8096652055840676,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,21.567428302664823,81.28572845458984,5.0,5.812466636300087,0.1066049300134182,4,1.934309709335361e-05,0.07774457671647307,0.00130780694809518,0.0003134516259405668,0.0,0.3999999761581421,0.04210388878944788,0.4000710289600889,0.042116717973886234,1.0,0.842077649527807,0.06039370677716334,0.38576872462303163,0.018923901173932105,0.062265431549466545,0.05583552206628971,0.18961846906640972,0.22324697579504435,0.6339927420160828,0.4258020573372856,0.11412336031543746,0.29511544452384036
9,True,False,0.3183085049374531,0.39795940213788844,0.4141693115234375,0.6435598731040955,0.4575043022632599,0.6850132439261635,0.8276742876118798,0.8007075554284355,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,20.354772571751855,98.19152069091797,5.0,5.6589017026126385,0.10502564907073975,4,1.934309709335361e-05,0.07807953201101434,0.001248833484355252,0.000322532489361263,0.0,0.3999999761581421,0.042130121752103754,0.40017697681034725,0.04214576647420495,1.0,0.8426023084994754,0.07090155229926234,0.4223795840585094,0.020929181528085178,0.059504577888083984,0.058330958918253,0.17990289622251285,0.2051556567267631,0.6548044483283885,0.4280013022367752,0.10578808169675148,0.3085120836466332
10,True,False,0.2747135549658618,0.35423504549458795,0.4066881537437439,0.637721061706543,0.4409712553024292,0.6907028522561474,0.8414218864574241,0.8172447241796307,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,20.138430988676024,82.2190170288086,5.0,5.912805101834238,0.10285152029246092,4,1.934309709335361e-05,0.07815341765191973,0.001050857533356893,0.00031721494734118197,0.0,0.3999999761581421,0.042431800740556976,0.4002785945989403,0.04244999806440639,1.0,0.8486358866736621,0.07674762390843218,0.42985963683813844,0.02227573018571888,0.05035422393682746,0.05365061991362356,0.17794269157606807,0.20736978352382576,0.6657670883917233,0.4377741679189588,0.10593599578266004,0.30120542914394566
