epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,2.0880363161391253,2.296839955220818,1.025383710861206,1.0126123428344727,0.7979483008384705,0.14173834792480688,0.5764794414658906,0.5608011719559735,0.49999996997877283,0.0,0.10000000145102599,2.03634033832464e-05,17.618811049966723,52.943931579589844,5.0,1.6546806376427412,0.02712132129818201,1,1.1506162158498395e-05,0.20880363562612445,0.0,0.0,0.0,0.0,0.0,9.99999974814223e-05,9.99999974814223e-05,0.0,0.0,0.031117542499260038,0.0,0.0,0.12613627955645854,0.24000387527009498,0.284940783149423,0.33519373010113007,0.40961678806156826,0.18761917714182003,0.1793061428530394,0.23718321836257406
2,False,False,1.1037802569263253,1.2141582810741156,0.7311283946037292,0.8550604581832886,0.6484470367431641,0.38803446172257294,0.6418856979676761,0.614479347200491,0.49999996997877283,0.0,0.10000000145102599,2.03634033832464e-05,9.58238757995093,25.276803970336914,5.0,0.8987445486709476,0.026631413027644157,1,1.1506162158498395e-05,0.11037802723982026,0.0,0.0,0.0,0.0,0.0,9.99999974814223e-05,9.99999974814223e-05,0.0,0.0,0.03062544577019162,0.0,0.0,0.08278773088645335,0.24000387251814914,0.20985045250415302,0.33519373035130695,0.56946184952887,0.1876191770167316,0.1378999655794622,0.2371832211145199
3,False,False,0.9251886534916016,1.0177075149880377,0.6861541271209717,0.8283442258834839,0.6279608011245728,0.4256785861207255,0.6686849288281516,0.6372060039550534,0.49999996997877283,0.0,0.10000000145102599,2.03634033832464e-05,14.992452797584493,41.05086135864258,5.0,0.9069045940414071,0.026827740482985973,1,1.1506162158498395e-05,0.09251886700032766,0.0,0.0,0.0,0.0,0.0,9.99999974814223e-05,9.99999974814223e-05,0.0,0.0,0.03089830201170002,0.0,0.0,0.07561097765519262,0.24000387351885671,0.18537646175556644,0.3351937291004225,0.5957628087006736,0.18761917614111245,0.14324975889352035,0.23718322011381232
4,False,False,0.8846079653983101,0.9730687539199717,0.6642632484436035,0.8150234818458557,0.599572479724884,0.44400159990005394,0.684247544934736,0.65616512761996,0.49999996997877283,0.0,0.10000000145102599,2.03634033832464e-05,19.488260095041923,64.31265258789062,5.0,0.9629188505932689,0.026287907734513283,1,1.1506162158498395e-05,0.08846079792674916,0.0,0.0,0.0,0.0,0.0,9.99999974814223e-05,9.99999974814223e-05,0.0,0.0,0.030906486892750232,0.0,0.0,0.07987926195200692,0.24000387201779536,0.17583608327107064,0.3351937275993611,0.6034059074217726,0.18761917564075867,0.14087875066999372,0.2371832203639892
5,False,False,0.832455140408539,0.9157006467877254,0.6467361450195312,0.8041990995407104,0.5865627527236938,0.4586720621709188,0.6960246743828166,0.6624619625875392,0.49999996997877283,0.0,0.10000000145102599,2.03634033832464e-05,18.19835152480935,43.02068328857422,5.0,0.9642785806208849,0.027050089091062546,1,1.1506162158498395e-05,0.08324551570609384,0.0,0.0,0.0,0.0,0.0,9.99999974814223e-05,9.99999974814223e-05,0.0,0.0,0.030924366378584037,0.0,0.0,0.07922298347837402,0.24000387602062564,0.17972837940468242,0.33519372784953805,0.5975781802991005,0.18761917451496266,0.14347045731819688,0.23718321911310475
6,True,False,0.8282182171612447,0.9151933312666254,0.5161569118499756,0.718440592288971,0.5419085025787354,0.5679688453299254,0.757003594277468,0.7232369252165085,0.49999996997877283,0.0,0.10000000145102599,2.03634033832464e-05,22.96825487691233,78.21636962890625,5.0,0.9587436988949776,0.030415580607950687,1,1.1506162158498395e-05,0.08325126424728886,0.0031130333231461057,0.0006108184575392978,0.0,0.49999996997877283,0.08525708646113825,0.4998611353126678,0.08526099803940572,1.0,0.8525708289611752,0.0382283466935533,0.2261565754821393,0.03295362880697781,0.07807034948314975,0.12083230576510194,0.18851737685869022,0.22122198086845662,0.5853951510202222,0.23429369301010405,0.1480171197609036,0.4236520202312489
7,True,False,0.6043030330666965,0.6876105036965697,0.46952828764915466,0.6852213144302368,0.5151044130325317,0.606997709150193,0.7885663767679125,0.7539589430054056,0.49999996997877283,0.0,0.10000000145102599,2.03634033832464e-05,19.579317243001643,70.56655883789062,5.0,1.0091565996408463,0.027294487692415714,1,1.1506162158498395e-05,0.08157579148928991,0.0013811496263057197,0.0003505258266115317,0.0,0.49999996997877283,0.08423400150391137,0.49978488389742715,0.08423665362915488,1.0,0.8423399790136411,0.0399184603193249,0.2427509511505319,0.01935374979144754,0.07921037925377973,0.10169293466419889,0.19067064962757346,0.2007139809859637,0.5748428888110775,0.28551973200795033,0.15527608387117495,0.4120733537804042
8,True,False,0.5153812784838401,0.599125361517619,0.4625830054283142,0.6801345348358154,0.5232945680618286,0.6128109916955804,0.8091069277461022,0.7842571643579119,0.49999996997877283,0.0,0.10000000145102599,2.03634033832464e-05,27.614139871106943,65.93451690673828,5.0,1.0018284944817424,0.02772751823067665,1,1.1506162158498395e-05,0.08207572874655128,0.0013033953934599102,0.0003649599650359966,0.0,0.49999996997877283,0.08583420952869987,0.49981584629006803,0.0858341859495277,1.0,0.8583420776495279,0.040378919866127586,0.3008970804004329,0.022191900818570587,0.07993454460332176,0.09165455424397839,0.1946277045503118,0.19144771056560506,0.5701979690183497,0.29356298841934764,0.15523977770009798,0.42333474614562666
9,True,False,0.4471298053407219,0.5300047957071603,0.43035218119621277,0.6560123562812805,0.4872310161590576,0.6397887107868665,0.8155352050762832,0.7954536492963262,0.49999996997877283,0.0,0.10000000145102599,2.03634033832464e-05,24.97402943994416,53.79829406738281,5.0,0.9984039114788175,0.026261228136718273,1,1.1506162158498395e-05,0.081257949119037,0.0012498556004479481,0.0003671829857089501,0.0,0.49999996997877283,0.08494229056527457,0.49984586801759096,0.08494323929859733,1.0,0.8494228751311648,0.041078128444435466,0.32859262614535384,0.02552024096031629,0.08134795223428219,0.08914683473072672,0.19240282089737756,0.19392822384208847,0.5744024769081524,0.29849587307396613,0.15184675258704522,0.4184290729814912
10,True,False,0.38590203815091945,0.46855394962827157,0.40611469745635986,0.6372712850570679,0.47716331481933594,0.6600758680667953,0.8137932910098943,0.8004554237180447,0.49999996997877283,0.0,0.10000000145102599,2.03634033832464e-05,22.798251217084566,60.73173904418945,5.0,1.038716153241694,0.026900166645646095,1,1.1506162158498395e-05,0.0810738458041129,0.0011793440158976338,0.0003987205096184308,0.0,0.49999996997877283,0.0851259210302347,0.4998714290911103,0.08512708185101857,1.0,0.8512591815320042,0.041363496032366595,0.3661032163333793,0.03333215864232555,0.0825183743695022,0.09138407199355263,0.19566862718255923,0.18955085047394632,0.566043284357157,0.29968256740229826,0.15576971753071386,0.41938251263197174
