epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.129179873408951,1.242097859430163,0.6802288293838501,0.824759840965271,0.6043618321418762,0.4306381050437482,0.659607936500481,0.6370223506475233,0.05000000819563866,7.475244966449977e-06,0.30000001192092896,0.0,19.840120603755537,75.70744323730469,5.0,4.398618652485311,0.09489891305565834,1,4.7997846537628314e-05,0.11291798899988062,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030955470934244417,0.0,0.0,0.06558485014084629,0.240003873878486,0.4477146376092436,0.33519372997604163,0.40691078459728675,0.18761917560948654,0.07978972959149422,0.23718322011381232
2,False,False,0.885241630445122,0.973765791901011,0.7197794914245605,0.8483982086181641,0.6262531280517578,0.39753366945490254,0.6848600310943602,0.6601686059067743,0.05000000819563866,7.475244966449977e-06,0.30000001192092896,0.0,16.932346965433542,57.029998779296875,5.0,3.7514401795342565,0.09441584721207619,1,4.7997846537628314e-05,0.08852416439155841,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.031200648745734944,0.0,0.0,0.04678009251466828,0.24000387528573103,0.42075942539593353,0.33519372881897347,0.4804359821119939,0.187619175734575,0.052024498173394336,0.23718321920692106
3,False,False,0.8377711905668815,0.9215483079739658,0.6530969142913818,0.8081440925598145,0.5967021584510803,0.453347945957727,0.6903430344632042,0.6668633197250331,0.05000000819563866,7.475244966449977e-06,0.30000001192092896,0.0,14.742722627373583,53.75761795043945,5.0,3.6918084379285574,0.09613524191081524,1,4.7997846537628314e-05,0.08377712050106881,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.03115850483758252,0.0,0.0,0.03422182838648464,0.24000387458210853,0.3529835138841291,0.335193728130987,0.5647894374220969,0.1876191753124015,0.04800521709798891,0.23718322023890076
4,False,False,0.7915663864905287,0.8707230240575664,0.6785247325897217,0.8237261176109314,0.647354781627655,0.43206447249611313,0.7074191741205975,0.6908288847330033,0.05000000819563866,7.475244966449977e-06,0.30000001192092896,0.0,13.437923637542244,47.74671173095703,5.0,3.6350161526352167,0.09617199096828699,1,4.7997846537628314e-05,0.07915663977172167,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030253107812947516,0.0,0.0,0.03125497468152051,0.2400038748322854,0.4065888400217919,0.3351937286000687,0.510574765339228,0.18761917636001724,0.05158141714101511,0.23718322011381232
5,False,False,0.7874574608092293,0.8662032072216366,0.6487236022949219,0.8054338097572327,0.5859434008598328,0.4570085213542284,0.7117189060433742,0.6918902708959446,0.05000000819563866,7.475244966449977e-06,0.30000001192092896,0.0,15.258246144117614,58.86630630493164,5.0,3.9165868870913982,0.09397364687174559,1,4.7997846537628314e-05,0.07874574758120248,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.03036249331262154,0.0,0.0,0.022443075018376894,0.24000387536391132,0.4445901251352096,0.33519372847498025,0.48700972393952535,0.18761917532803754,0.04595707593425123,0.23718321964473063
6,True,False,0.6993573643228065,0.7771718980195265,0.4517323076725006,0.6721103191375732,0.5048288106918335,0.6218932144841132,0.8035961044402832,0.7913503039393893,0.05000000819563866,7.475244966449977e-06,0.30000001192092896,0.0,13.365872922499058,61.524044036865234,5.0,3.837440161034465,0.0963218929246068,1,4.7997846537628314e-05,0.07587933333166498,0.00034131675893951457,0.0015938799261453376,0.0,0.05000000819563866,0.2550629677577384,0.05005665986572958,0.25493254553983996,1.0,0.8502098635886673,0.209115361272976,0.03633093645508867,0.12710381285184827,0.026527353889794564,0.02691421669723167,0.4283059123680699,0.023747605752934782,0.47364887592049487,0.06997699587208152,0.07151785802490938,0.8793611803560167
7,True,False,0.5267096108679756,0.6028820783181306,0.636581540107727,0.7978606224060059,0.6237621903419495,0.46717157011319665,0.792279647109623,0.7705211432855413,0.05000000819563866,7.475244966449977e-06,0.30000001192092896,0.0,12.834234394781987,71.04315948486328,5.0,3.882995931431651,0.09504285361617804,1,4.7997846537628314e-05,0.07409849642518936,0.00037386118935395213,0.0017001083622187434,0.0,0.05000000819563866,0.2544333764976369,0.050280743226768586,0.25447267032807924,1.0,0.8481112277019937,0.26171957724116907,0.0829369041283008,0.22088820448952481,0.027081150084671417,0.009166018698258952,0.5129915901771498,0.021412575402497906,0.40650996418839863,0.02990768757108345,0.053417296362855124,0.9395137170929724
8,True,False,0.4398580735152566,0.5150782143206561,0.400275856256485,0.6326735615730286,0.4763847887516022,0.6649630519785827,0.8338101843366572,0.8194895897391039,0.05000000819563866,7.475244966449977e-06,0.30000001192092896,0.0,13.445037132295207,64.7805404663086,5.0,4.134590990841389,0.09590390790253878,1,4.7997846537628314e-05,0.07322535047782555,0.0005119860087357562,0.001482806176452063,0.0,0.05000000819563866,0.2526233040523429,0.0505125634841316,0.2528361479545565,1.0,0.842077649527807,0.31342143827320273,0.12361162306754561,0.23210198784800165,0.024960075353603547,0.010683440271049643,0.5037702530903931,0.003009778623354835,0.43015407818562085,0.06349641705422436,0.0411155951470293,0.9228103657459287
9,True,False,0.35773696519770626,0.43060805278772574,0.47717082500457764,0.6907755136489868,0.5163659453392029,0.6006007609609418,0.8185065563512507,0.8134654264471834,0.05000000819563866,7.475244966449977e-06,0.30000001192092896,0.0,12.870122521771714,43.7824592590332,5.0,3.8252695333212614,0.097819191403687,1,4.7997846537628314e-05,0.07101097576670028,0.0006295943509738749,0.001230518144030513,0.0,0.05000000819563866,0.2527807012028359,0.050708766639670444,0.2531990575577755,1.0,0.8426023084994754,0.3463751699654278,0.15743365580487725,0.23491943667467843,0.023535926309331143,0.026633013055952028,0.5359977830244387,0.012449658774611504,0.3958707294208931,0.06069952193139451,0.04459555814158003,0.9002178060545626
10,True,False,0.32589343803126564,0.39658575407292884,0.3812826871871948,0.6174809336662292,0.44724124670028687,0.6808605917891155,0.8272667546228301,0.812755583255952,0.05000000819563866,7.475244966449977e-06,0.30000001192092896,0.0,12.59565268183305,87.75918579101562,5.0,4.00733535643667,0.09541063290089369,1,4.7997846537628314e-05,0.0689749630775932,0.0006974657460396566,0.001019886511216499,0.0,0.05000000819563866,0.25459077555572873,0.0509050230789785,0.2551823336892964,1.0,0.8486358866736621,0.3545500696768666,0.17713903921098298,0.23308547186701395,0.023903364024407465,0.029842305005208472,0.5125091936505729,0.014344996510802574,0.41641817610136234,0.07829169827393194,0.047169267988577096,0.8775209980896612
