epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.4054436183301,1.5459879826898966,0.705430269241333,0.839898943901062,0.6395527124404907,0.409544185491331,0.6492788389250839,0.6216046477146973,0.010000001639127731,1.03490012758144e-06,0.05000000819563866,7.475244966449977e-06,16.17160137852992,53.77204513549805,5.0,2.6766736144199967,0.049206036143004894,1,2.005177624734194e-05,0.1405443641330738,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.03035532242979108,0.0,0.0,0.11628402039361775,0.24000387487919358,0.20558094318490963,0.3351937309767492,0.5232531074336794,0.18761917448369053,0.15488192582930999,0.23718321842511828
2,False,False,0.909558431424224,1.0005142718772448,0.663832426071167,0.8147591352462769,0.6221476197242737,0.44436216397272865,0.6752428156996548,0.6352247077464704,0.010000001639127731,1.03490012758144e-06,0.05000000819563866,7.475244966449977e-06,24.035029798589747,71.98677062988281,5.0,1.9280711999163032,0.04868614114820957,1,2.005177624734194e-05,0.09095584454966742,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.03037374625363605,0.0,0.0,0.0844650875155473,0.2400038740973908,0.15579645001844494,0.33519372981968104,0.6372711813587457,0.18761917523422122,0.12246728149034544,0.23718321933200953
3,False,False,0.8570049849943749,0.9427054841833625,0.6349527835845947,0.7968392372131348,0.5794791579246521,0.4685348923234566,0.6867557305243885,0.642691650544868,0.010000001639127731,1.03490012758144e-06,0.05000000819563866,7.475244966449977e-06,23.293159844117298,83.7403793334961,5.0,1.8345639873296022,0.047316551208496094,1,2.005177624734194e-05,0.08570049990629161,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030373159291736725,0.0,0.0,0.07934731262240555,0.24000387358140096,0.1608955575405363,0.335193730632756,0.6420779420846657,0.18761917593784372,0.11767918695495361,0.23718321867529518
4,False,False,0.8290751277462258,0.9119826418905669,0.6253907680511475,0.7908165454864502,0.5904306769371033,0.47653842362642196,0.6913161842460257,0.6624421261567582,0.010000001639127731,1.03490012758144e-06,0.05000000819563866,7.475244966449977e-06,20.652064816774125,69.35835266113281,5.0,1.9470676118507981,0.04790898412466049,1,2.005177624734194e-05,0.08290751392152727,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030365986235494503,0.0,0.0,0.08407276063563315,0.2400038742068432,0.13684155051630667,0.3351937286000687,0.6615844689161055,0.18761917423351365,0.11750122123756539,0.23718321754949917
5,False,False,0.806413639223463,0.887055004162153,0.61033695936203,0.7812406420707703,0.5691754221916199,0.4891386832472254,0.7050844707633916,0.6812552359675976,0.010000001639127731,1.03490012758144e-06,0.05000000819563866,7.475244966449977e-06,20.362287063038238,68.51640319824219,5.0,2.133539579808712,0.05075104348361492,1,2.005177624734194e-05,0.08064136491914486,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030763039136733488,0.0,0.0,0.080262206721531,0.24000387298723083,0.14364170699780035,0.3351937294756878,0.6491002037042336,0.18761917607856823,0.12699588889340163,0.23718321858147884
6,True,False,0.7630163386135762,0.8431341653105344,0.525930643081665,0.7252107858657837,0.5364785194396973,0.5597881170245366,0.7500841813626355,0.7422041917033737,0.010000001639127731,1.03490012758144e-06,0.05000000819563866,7.475244966449977e-06,20.42645315308386,79.91570281982422,5.0,2.1413009874522686,0.04916309658437967,1,2.005177624734194e-05,0.07924387661069789,0.00018542549507042584,0.0006885267046533314,0.0,0.010000001639127731,0.0420251900207052,0.010003249818637013,0.04205177390727079,1.0,0.8405036726128017,0.06154529820709389,0.006304291290976693,0.06106921716164192,0.09067564729722324,0.1538074262838924,0.1486528282525782,0.16742152923176695,0.6318919901957917,0.28281877423633683,0.128779537389436,0.3959522695756534
7,True,False,0.6765626612640253,0.7581955210734764,0.5583291053771973,0.7472142577171326,0.5756241083145142,0.5326700606351719,0.7680052372489025,0.7474178457083196,0.010000001639127731,1.03490012758144e-06,0.05000000819563866,7.475244966449977e-06,25.19701551215221,126.6707992553711,5.0,2.0318987108767033,0.04797868337482214,1,2.005177624734194e-05,0.08012413766708104,0.00017523898400199195,0.001333485391667232,0.0,0.010000001639127731,0.04216947117654249,0.01001725857442192,0.04229166826227404,1.0,0.843389296956978,0.10428266241317781,0.02061136300672639,0.18120718161807106,0.09120294052994139,0.13402517017950416,0.12882391841063845,0.17931023990620096,0.6302022035199473,0.3154223843048652,0.1497709414328508,0.3712422074388482
8,True,False,0.6044157010435682,0.6853113265753042,0.455447793006897,0.6748687028884888,0.5036842823028564,0.618783283769289,0.8006533098956474,0.7772388628068866,0.010000001639127731,1.03490012758144e-06,0.05000000819563866,7.475244966449977e-06,25.42078870791328,116.44426727294922,5.0,1.9891820074990392,0.050247509963810444,1,2.005177624734194e-05,0.07915951758779484,0.00018818563803544723,0.0015479223089290691,0.0,0.010000001639127731,0.042418684374544956,0.010035457587942621,0.042623129973319,1.0,0.8483735571878279,0.14536635208667764,0.03602591708912304,0.2431931653903389,0.0941811106778517,0.13433712738070633,0.11857175454106436,0.16963652922436673,0.6699846675863796,0.341453814243845,0.11726246765596794,0.3545725293699867
9,True,False,0.5427919484026035,0.6258006785670833,0.513109028339386,0.716316282749176,0.5562540292739868,0.57051997281484,0.8195893726769116,0.7965656350914321,0.010000001639127731,1.03490012758144e-06,0.05000000819563866,7.475244966449977e-06,27.173286836269895,88.02996826171875,5.0,1.9686839692294598,0.05060487985610962,1,2.005177624734194e-05,0.0811203465291767,0.00021632999364188448,0.0016720509237208153,0.0,0.010000001639127731,0.04320567300208968,0.010054113372675644,0.04347698266568114,1.0,0.8641133263378804,0.1562955034398332,0.05464499413279146,0.3054038107019907,0.09944309011992977,0.15761513346640035,0.10244998558652113,0.1554161436847975,0.6832537533478872,0.36090281386815737,0.11485317329107027,0.32606590777666844
10,True,False,0.5131373208754961,0.5943084055204081,0.4161688983440399,0.6451115608215332,0.4859778881072998,0.6516603338861364,0.8108348033603103,0.7906844765419645,0.010000001639127731,1.03490012758144e-06,0.05000000819563866,7.475244966449977e-06,29.187759137228678,104.93817138671875,5.0,2.1781036099418998,0.05026993155479431,1,2.005177624734194e-05,0.07917940303495648,0.0002690370429215849,0.0017226443250721237,0.0,0.010000001639127731,0.043035158686191316,0.010071423539944611,0.04334225552889508,1.0,0.8607030430220357,0.18282347764323414,0.07144987001499124,0.3055533707329509,0.11039492161895646,0.15833629278421152,0.09759350032677555,0.15270338638256628,0.6968326544211269,0.3743042559963959,0.09517892008375646,0.31465606460228546
11,True,True,0.4899395761966455,0.5709130683638242,0.48056715726852417,0.6932294964790344,0.5365658402442932,0.5977580171123189,0.8199166398880919,0.7940283351536048,0.010007118787675127,3.749804207589284e-06,0.05002999657927255,1.4162383817991559e-05,31.24767457976046,128.05918884277344,5.0,2.092913498170674,0.048406788147985935,1,2.005177624734194e-05,0.07906066744753472,0.0003254493599958378,0.0015873746045670645,0.0,0.010007118787675127,0.04237856274589912,0.010095004543490075,0.042704185081991794,1.0,0.8470619097586569,0.19818121174512604,0.0872904567003,0.28689957231064284,0.10572562342488127,0.17099032992768762,0.09113116911832334,0.14772053830646142,0.7122318208029988,0.3315325196742511,0.09091138971064548,0.34975661069999087
12,True,True,0.45232097321392234,0.5326797558153038,0.43648630380630493,0.6606711149215698,0.4871875047683716,0.6346543556047946,0.8267010572858344,0.8057849126824753,0.01001887212254318,3.165371971214866e-06,0.05007675923367988,1.2162059273665647e-05,34.528265473725035,104.82029724121094,5.0,2.1842097928747535,0.049441698007285595,1,2.005177624734194e-05,0.07849055817712329,0.00034488096553734565,0.0015233419642559911,0.0,0.01001887212254318,0.04231294037350077,0.010120363517078998,0.04266296968974197,1.0,0.8449632738719832,0.2013594113829754,0.10226815096166177,0.3044510770819745,0.10293333045551935,0.15584697811263307,0.0848855060160723,0.15637404050244114,0.7198765235332477,0.3470127367710642,0.0923046378217489,0.3407662450829433
13,True,True,0.44710702467064795,0.529717367740518,0.3767663538455963,0.6138129830360413,0.453808456659317,0.6846408597847821,0.8301672653544672,0.8028364880863222,0.010031330967976752,3.4028579118141757e-06,0.05011788971823761,1.395081748468478e-05,42.372665741511184,116.71067810058594,5.0,2.205485691316426,0.049953268840909004,1,2.005177624734194e-05,0.0807674730280639,0.00043628264333640403,0.0014065902193119908,0.0,0.010031330967976752,0.042229428687030286,0.010145693196517348,0.042594665074124856,1.0,0.8426023084994754,0.21720770468929507,0.11832972924769362,0.27525509366959117,0.10727144901299651,0.15444361309815052,0.07692412744351475,0.14206693572425141,0.7198647796669887,0.3342457311726317,0.09593964330578401,0.3692437227412761
14,True,True,0.4105251590014755,0.4896238793981538,0.37877336144447327,0.6154456734657288,0.4465382993221283,0.6829609546441973,0.8286180251688425,0.8091390205263739,0.010043114073895082,3.3050987828266787e-06,0.05015850879431771,9.565718552860461e-06,35.812977935935116,118.34912872314453,5.0,2.1134232385084033,0.05104008689522743,1,2.005177624734194e-05,0.07749398705497744,0.000488328742931508,0.0011164050381517053,0.0,0.010043114073895082,0.042724213305888124,0.010168929591165134,0.04310924451551933,1.0,0.8517838405036726,0.23029568253509144,0.13395859201019483,0.25900253106264354,0.1084984099142574,0.15593864114374578,0.07625489313730038,0.15634956374248452,0.7240591171781013,0.3528857526974313,0.09118758058341578,0.3348260428385119
