epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.1519542176976159,1.267149643532752,0.7714592814445496,0.8783275485038757,0.66105717420578,0.3542768472226593,0.6535175219321911,0.6479381554483559,0.4999999701976776,0.0,0.3999999761581421,2.4414050858465043e-05,25.66770105171804,100.79361724853516,5.0,4.1219586962834,0.09751675371080637,1,3.656082725525343e-05,0.11519542392753729,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.03121355213498519,0.0,0.0,0.058822722587605465,0.240003873878486,0.5498297583518974,0.33519372997604163,0.2838098815205465,0.18761917560948654,0.10753763927555285,0.23718322011381232
2,False,False,0.9132514082497339,1.0045765497001495,0.6711665987968445,0.8192476034164429,0.6000755429267883,0.4382233953165666,0.6929600964509951,0.6690759667405813,0.4999999701976776,0.0,0.3999999761581421,2.4414050858465043e-05,22.62051784579426,81.21102142333984,5.0,3.5827566469088197,0.09736454766243696,1,3.656082725525343e-05,0.09132514206022181,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.03095053134785119,0.0,0.0,0.04565993777758677,0.24000387528573103,0.605853742217217,0.33519372881897347,0.2819287211234522,0.187619175734575,0.0665575988504719,0.23718321920692106
3,False,False,0.8440421496958698,0.9284463662415712,0.7291038632392883,0.8538758158683777,0.6323506832122803,0.3897289733068672,0.6798043127219976,0.6640044397687778,0.4999999701976776,0.0,0.3999999761581421,2.4414050858465043e-05,18.79753274807525,55.135337829589844,5.0,3.6748236687853932,0.0966585436835885,1,3.656082725525343e-05,0.08440421642843099,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030722401731286944,0.0,0.0,0.048114820759731725,0.24000387458210853,0.5656080426724485,0.335193728130987,0.32314117315370916,0.1876191753124015,0.0631359614986938,0.23718322023890076
4,False,False,0.7937995750781497,0.8731795309535604,0.6487960815429688,0.8054788112640381,0.6203660368919373,0.45694783050657906,0.7121972774758595,0.6929897913631281,0.4999999701976776,0.0,0.3999999761581421,2.4414050858465043e-05,17.964812309769492,69.93510437011719,5.0,3.5934063028544188,0.09617952536791563,1,3.656082725525343e-05,0.07937995868208275,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.02990808011915101,0.0,0.0,0.042483853580819096,0.2400038748322854,0.6059348156044391,0.3351937286000687,0.2891863233019898,0.18761917636001724,0.06239500520252481,0.23718322011381232
5,False,False,0.7889091906304875,0.8678001100344023,0.6014714241027832,0.7755458950996399,0.5540528297424316,0.49655935027037845,0.7210663435730167,0.7026689338538571,0.4999999701976776,0.0,0.3999999761581421,2.4414050858465043e-05,19.645709608184077,63.45686721801758,5.0,3.8012185292318463,0.10226611234247684,1,3.656082725525343e-05,0.07889092059225501,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030115306971581008,0.0,0.0,0.0368003811949135,0.24000387536391132,0.6221309473106769,0.33519372847498025,0.2897269573817098,0.18761917532803754,0.05134171414788097,0.23718321964473063
6,True,False,0.6674034867244152,0.7457565920738208,0.4129791855812073,0.6426345705986023,0.4741380214691162,0.6543301671464887,0.8125693608235212,0.7940765251801859,0.4999999701976776,0.0,0.3999999761581421,2.4414050858465043e-05,17.476169905407357,67.65701293945312,5.0,4.19330146536231,0.09851544722914696,1,3.656082725525343e-05,0.07563351050941791,0.0015533004477505297,0.0011662936218789337,0.0,0.4999999701976776,0.34008392119332603,0.49962045860565724,0.3399123825906832,1.0,0.8502098635886673,0.1502944856475558,0.1856374580174653,0.07382129600265719,0.0309145457589176,0.012411899713199323,0.6104727211679016,0.028433187204097463,0.2965062591799409,0.026145753295797023,0.06210647362351793,0.9330091576511187
7,True,False,0.47478062957368894,0.5522771081481626,0.44997483491897583,0.6708016395568848,0.5092230439186096,0.6233642396030666,0.8192516104721617,0.7909889719148703,0.4999999701976776,0.0,0.3999999761581421,2.4414050858465043e-05,15.462955783071449,67.52275085449219,5.0,4.165559679269791,0.10651660524308681,1,3.656082725525343e-05,0.0752424937707117,0.001276470389234729,0.0009775176314929753,0.0,0.4999999701976776,0.33924446663851504,0.4997996286667907,0.33898367303553556,1.0,0.8481112277019937,0.15901801249663203,0.28523569536109034,0.08537453811729066,0.030213686177294002,0.006235183712831872,0.6231211467654858,0.007941075087411834,0.2894402884673972,0.049474969861984006,0.057224880184700705,0.9363487728119897
8,True,False,0.3643521474281488,0.43994296210009803,0.3778262436389923,0.6146757006645203,0.4576963484287262,0.6837537261114226,0.8384449868827119,0.8260044117316733,0.4999999701976776,0.0,0.3999999761581421,2.4414050858465043e-05,14.275729343498366,59.798194885253906,5.0,3.9013113863766193,0.0984720354899764,1,3.656082725525343e-05,0.07343470815721614,0.0012269734495010615,0.0009291326644206674,0.0,0.4999999701976776,0.3368310351061546,0.5001510279126082,0.3365219165057976,1.0,0.842077649527807,0.1930144758345823,0.33931731589818676,0.09247922683124903,0.026653967543670287,0.0017385198220421032,0.6366629614284631,0.0028030997809659836,0.2850207714881877,0.009492835235182911,0.0516623020688109,0.9859655473815181
9,True,False,0.29038829976401576,0.3658050802015433,0.3692622780799866,0.6076695322990417,0.43315544724464417,0.6909218696029564,0.8367711229844281,0.8291040031861504,0.4999999701976776,0.0,0.3999999761581421,2.4414050858465043e-05,14.450317241712732,44.83163833618164,5.0,4.202453712001443,0.09892780147492886,1,3.656082725525343e-05,0.07354883379952792,0.0011133015240969804,0.0007546452157602988,0.0,0.4999999701976776,0.33704089902630635,0.5005023056662721,0.33669556678905066,1.0,0.8426023084994754,0.2068705330021359,0.38318672522918124,0.08443274163686966,0.021487863232056217,0.0027424218483681614,0.6365654316553915,0.006719129242319106,0.2947732745068771,0.013882700535507848,0.047173431504748425,0.9766557507474926
10,True,False,0.24732698845713236,0.31922043404949424,0.3650897145271301,0.6042265295982361,0.4331461489200592,0.6944143643414907,0.845862888058186,0.8353365799572982,0.4999999701976776,0.0,0.3999999761581421,2.4414050858465043e-05,11.302712143280573,69.0228271484375,5.0,4.169817346148193,0.0983984675258398,1,3.656082725525343e-05,0.07010757339119536,0.0011558871734920343,0.0006299840451529932,0.0,0.4999999701976776,0.33945432974559187,0.5008058528584923,0.3390864209513349,1.0,0.8486358866736621,0.24843198348692808,0.40660722039303776,0.07493395291870814,0.02149207207910787,0.001574544983662876,0.6358965624041722,0.0012149778243588187,0.28885702999916557,0.01619860366502814,0.05375433340277777,0.9810118738401599
