epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.2363693860495328,1.3600063260179502,0.6919951438903809,0.8318624496459961,0.6209127902984619,0.4207895846575025,0.6555312205727001,0.6331568816223992,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,21.111930630014424,95.57197570800781,5.0,4.232861397787929,0.0922648124396801,1,1.819956651734253e-05,0.12363694095348887,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.03034664216722046,0.0,0.0,0.10625286819364442,0.240003873878486,0.1804624756354475,0.33519372997604163,0.5733981270104616,0.18761917560948654,0.13988652924644485,0.23718322011381232
2,False,False,0.8958497824849012,0.9854347602017653,0.7110512852668762,0.8432385921478271,0.6318303346633911,0.404839327326599,0.6670396383911793,0.6361518969443365,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,28.595448665078514,93.18306732177734,5.0,3.5075262766331434,0.09232537634670734,1,1.819956651734253e-05,0.08958498010918076,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030138310971440197,0.0,0.0,0.09194551308220106,0.24000387528573103,0.132499365466339,0.33519372881897347,0.6576174207399175,0.187619175734575,0.1179377053867232,0.23718321920692106
3,False,False,0.8466543953979128,0.9313198331145399,0.6296446323394775,0.7935014963150024,0.5875177979469299,0.47297786966526334,0.6919212780761599,0.6489167122622979,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,25.336526151218795,84.11119842529297,5.0,3.8607236836105585,0.09278915636241436,1,1.819956651734253e-05,0.0846654411135603,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030237551657375485,0.0,0.0,0.08007761097248303,0.24000387458210853,0.126231365687637,0.335193728130987,0.6738515879024614,0.1876191753124015,0.1198394364459442,0.23718322023890076
4,False,False,0.8290060853345197,0.9119066951907819,0.6239661574363708,0.7899152636528015,0.5952380895614624,0.4777308794920878,0.7025883372393856,0.6795154841462007,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,25.039480107278415,94.31991577148438,5.0,3.889922983944416,0.09623830486088991,1,1.819956651734253e-05,0.08290061013771129,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.03020696773546565,0.0,0.0,0.07457730740089857,0.2400038748322854,0.10859872374961159,0.3351937286000687,0.709793194331002,0.18761917636001724,0.10703077562082977,0.23718322011381232
5,False,False,0.8234516995776238,0.9057968706987086,0.6024396419525146,0.7761698365211487,0.5641284584999084,0.495748857609952,0.7096217053138844,0.6845421669655083,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,25.792361410567292,106.67439270019531,5.0,3.5535244662314653,0.09213447757065296,1,1.819956651734253e-05,0.08234517138689788,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.030140903773487927,0.0,0.0,0.076670823855265,0.24000387536391132,0.10458481361051672,0.33519372847498025,0.6986619032692684,0.18761917532803754,0.12008246057837857,0.23718321964473063
6,True,False,0.7049686797080486,0.7865382973945153,0.4476095736026764,0.669036328792572,0.5103769898414612,0.6253440070093443,0.797581899271673,0.7719307295154882,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,23.604375412931972,73.97831726074219,5.0,3.6660525565966964,0.09220507927238941,1,1.819956651734253e-05,0.07905871812391006,0.0018325750058827627,0.0006783236493093889,0.0,0.3999999761581421,0.04251049958943445,0.39985395675566116,0.042528181353433434,1.0,0.8502098635886673,0.040962361463844965,0.20121494720515024,0.0431178578987702,0.07527126093538711,0.057703805311435416,0.1177565669025229,0.055046357276995056,0.6961183815662908,0.10040424947879997,0.11085378784385333,0.7868455852941851
7,True,False,0.498897859128925,0.5795528729840066,0.41995805501937866,0.6480417251586914,0.47942328453063965,0.6484887293933463,0.8152967774909368,0.7790032215527074,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,20.070706948903776,98.55181121826172,5.0,3.8407124588266015,0.09227112401276827,1,1.819956651734253e-05,0.07875749417204421,0.00146865837446024,0.00042886097838756203,0.0,0.3999999761581421,0.042405567772037585,0.39995751144503244,0.04242836820804059,1.0,0.8481112277019937,0.04776935127699613,0.3139251314048877,0.03227589101553088,0.08220311599819757,0.05256493667537368,0.11271927420515078,0.06048199243976462,0.6852250559507612,0.12153137575322909,0.11985255294681721,0.7654216978757604
8,True,False,0.40467887194309254,0.4863069294194485,0.378630667924881,0.6153297424316406,0.4558556377887726,0.6830803891810986,0.8276286963683988,0.809871076599154,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,21.610039972183213,79.95655059814453,5.0,3.8150402745231986,0.09539371076971292,1,1.819956651734253e-05,0.07979597359629893,0.001338314006361228,0.0004937685076480806,0.0,0.3999999761581421,0.04210388878944788,0.40008781739321986,0.04213242300816373,1.0,0.842077649527807,0.058496511776825064,0.3854181373732288,0.03839957130855928,0.0809544631654293,0.03678641375251982,0.10156329499962197,0.05843193617972847,0.7100595165775055,0.1587371964550969,0.10742272963553887,0.7460444541442807
9,True,False,0.332534241119687,0.41515149818762653,0.44711264967918396,0.668664813041687,0.4982646405696869,0.6257599219785724,0.8337888922990463,0.814221596168222,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,21.67137624934738,69.1806869506836,5.0,3.7310111299157143,0.09577884338796139,1,1.819956651734253e-05,0.08109841290724552,0.0011156772964435863,0.00040316612152250803,0.0,0.3999999761581421,0.042130121752103754,0.4001835702223643,0.04216312823459459,1.0,0.8426023084994754,0.056798487635874674,0.4179567687784137,0.030977989544022873,0.08043418346209391,0.03646039996776976,0.08889442009915835,0.0631497768061734,0.7257350560625603,0.16857307030577975,0.10493634097817563,0.7318167537607151
10,True,False,0.28551509605812503,0.3653551726001007,0.35477414727211,0.5956292152404785,0.42774608731269836,0.703048667457163,0.8398637682308017,0.8241812037577229,0.3999999761581421,2.4414050858465043e-05,0.05000000819563866,7.475244966449977e-06,18.248374982995976,62.946659088134766,5.0,3.819254389964044,0.09355436079204082,1,1.819956651734253e-05,0.07838156876806072,0.0010683489999753898,0.0003901584626538024,0.0,0.3999999761581421,0.042431800740556976,0.40027576925747044,0.0424672594999529,1.0,0.8486358866736621,0.06808558331581628,0.4284325229533697,0.03429916965436085,0.07552647997174658,0.034767114169356204,0.08413416577223591,0.05619686932262944,0.7291747231548505,0.16638842872407478,0.11116463040536248,0.742647589879171
