epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.1534448634414833,1.2687893472963716,0.6746025681495667,0.8213419318199158,0.6063856482505798,0.43534743944514376,0.6641534089648138,0.6397229900157941,0.019999997690320015,0.0,0.19999998807907104,1.2207025429232522e-05,22.5345248725707,86.0250244140625,5.0,4.316783442161977,0.0966416522860527,1,3.417407041104207e-05,0.11534448778735629,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.029754882344168856,0.0,0.0,0.07016976715572733,0.240003873878486,0.49231487281174874,0.33519372997604163,0.3335090879690985,0.18761917560948654,0.10400626842022442,0.23718322011381232
2,False,False,0.88487343279037,0.9733607742743877,0.7114430665969849,0.8434708714485168,0.621698796749115,0.4045113754167807,0.6868087443102693,0.6657716646910804,0.019999997690320015,0.0,0.19999998807907104,1.2207025429232522e-05,22.514734602424806,78.98973846435547,5.0,3.8116693422198296,0.09656653087586164,1,3.417407041104207e-05,0.08848734493958613,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.029631432024654538,0.0,0.0,0.050425039356083834,0.24000387528573103,0.511076052754273,0.33519372881897347,0.3628073201161992,0.187619175734575,0.07569158801189374,0.23718321920692106
3,False,False,0.8407994095638691,0.9248793527311944,0.6903039216995239,0.830845296382904,0.6135682463645935,0.42220517180419803,0.6853102220981211,0.6669907322879851,0.019999997690320015,0.0,0.19999998807907104,1.2207025429232522e-05,18.938897016791458,60.53834533691406,5.0,3.7568285558372736,0.09747414290904999,1,3.417407041104207e-05,0.08407994251061086,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.02950390638609623,0.0,0.0,0.04513628037347373,0.24000387458210853,0.4602377065706603,0.335193728130987,0.41192978093594096,0.1876191753124015,0.0826962373580037,0.23718322023890076
4,False,False,0.7913867862189554,0.87052546715186,0.6631590723991394,0.8143457770347595,0.628406822681427,0.4449258062958932,0.7075897972303962,0.6834245671849744,0.019999997690320015,0.0,0.19999998807907104,1.2207025429232522e-05,18.391639170091274,71.9896240234375,5.0,3.9135355139151216,0.0967622883617878,1,3.417407041104207e-05,0.07913868031528039,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.029084209974264922,0.0,0.0,0.03982195368765659,0.2400038748322854,0.5137407924796201,0.3351937286000687,0.373022877156797,0.18761917636001724,0.07341437695346624,0.23718322011381232
5,False,False,0.7843123637491608,0.8627436017814989,0.6150351762771606,0.784241795539856,0.5599386692047119,0.4852062472497076,0.7189576738932604,0.7019457240429056,0.019999997690320015,0.0,0.19999998807907104,1.2207025429232522e-05,19.727260754716358,65.98104095458984,5.0,3.775654098019004,0.09667128697037697,1,3.417407041104207e-05,0.07843123780952421,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.029016403498954815,0.0,0.0,0.03300265414329541,0.24000387536391132,0.5138855602471051,0.33519372847498025,0.3884227532905146,0.18761917532803754,0.06468902991113232,0.23718321964473063
6,True,False,0.7047774013667392,0.7824461943580371,0.44593358039855957,0.6677826046943665,0.48975440859794617,0.6267468279373207,0.7936015405723843,0.7888861648849176,0.019999997690320015,0.0,0.19999998807907104,1.2207025429232522e-05,18.707880155237124,74.13615417480469,5.0,3.905396186746657,0.09682721924036741,1,3.417407041104207e-05,0.07590149054528533,0.0002050997640289892,0.00156220123338283,0.0,0.019999997690320015,0.17004196059666302,0.02001217025618488,0.1700553725486287,1.0,0.8502098635886673,0.13358842192954556,0.012720923479900531,0.13568536060054054,0.027020220311528613,0.06247664084667799,0.5344576816869058,0.07323663852960341,0.384347939166042,0.33821173184253234,0.0541741585970738,0.5260749878938401
7,True,False,0.5523916631155225,0.6289913308770559,0.5542781949043274,0.744498610496521,0.5730453729629517,0.536060739549947,0.7961957935284278,0.7788504148172224,0.019999997690320015,0.0,0.19999998807907104,1.2207025429232522e-05,18.043797669605844,107.02197265625,5.0,4.143200419843197,0.09683567564934492,1,3.417407041104207e-05,0.07458395388950706,0.00018011117337544226,0.0018356008710037205,0.0,0.019999997690320015,0.16962223331925752,0.020062685055816536,0.16985719816726003,1.0,0.8481112277019937,0.17552146578260383,0.030158711380373144,0.258523960350568,0.029874734588334843,0.03946188387362304,0.5464198447975006,0.0747350606078366,0.3726959575323343,0.31433580107478754,0.05100945738248785,0.5714672563708967
8,True,False,0.4752640754985159,0.5504050980022046,0.43412280082702637,0.6588799357414246,0.5063958168029785,0.6366326033742511,0.8261377799964797,0.811382111593489,0.019999997690320015,0.0,0.19999998807907104,1.2207025429232522e-05,20.144822197720988,91.1220932006836,5.0,3.914298675954342,0.0991011755540967,1,3.417407041104207e-05,0.07318292823615254,0.00022180890055965283,0.0017362859013700428,0.0,0.019999997690320015,0.1684155175530773,0.020118508163491675,0.16881233109757382,1.0,0.842077649527807,0.21344204608190723,0.0480537862680141,0.28302045321289415,0.02741690780987019,0.041084763174729984,0.5779465109829137,0.07756377264059854,0.35305175144549805,0.3177755053652546,0.04158482555952803,0.5635759590930478
9,True,False,0.4016092550810837,0.4744432295544575,0.4808662533760071,0.6934452056884766,0.5238171815872192,0.5975076129937444,0.8237055441080214,0.8181518226748349,0.019999997690320015,0.0,0.19999998807907104,1.2207025429232522e-05,21.31263399574464,86.697998046875,5.0,3.749638150446117,0.09686398971825838,1,3.417407041104207e-05,0.07117823328029321,0.0002648516757610476,0.0013908899462363948,0.0,0.019999997690320015,0.16852044951315318,0.020173679429408387,0.16908046956577683,1.0,0.8426023084994754,0.26730748101021284,0.06373689723164938,0.2809534939113469,0.024394964597970716,0.048595363426668196,0.5791371107601794,0.08916737481654628,0.3567114432517279,0.32986981126969406,0.039756480911267766,0.5323674520565606
10,True,False,0.36375962121163935,0.4334797860130058,0.3920559585094452,0.6261436939239502,0.4546409845352173,0.6718432150555111,0.8233279335105008,0.8124602190172399,0.019999997690320015,0.0,0.19999998807907104,1.2207025429232522e-05,18.272916985959096,79.63426208496094,5.0,3.8847514633089304,0.09763676766306162,1,3.417407041104207e-05,0.06821590740573744,0.0003212829519520161,0.0011829757656604501,0.0,0.019999997690320015,0.16972716487279593,0.020237167059968676,0.17044413422800186,1.0,0.8486358866736621,0.2986667518975977,0.07784735884396252,0.2678691163768548,0.02505878802166093,0.053195782963495315,0.5669333458196955,0.08620683553336425,0.3628046125455018,0.3475860417327,0.04520325442426227,0.5130113395163545
