epoch,corrections_enabled,shrinkage_learnable,train_main_mse,train_total_loss,val_mse,val_rmse,val_mae,val_r2,val_pearson,val_spearman,drug_gate_mean,drug_gate_std,joint_gate_mean,joint_gate_std,gradient_norm_mean_before_clip,gradient_norm_max_before_clip,gradient_clip_norm,epoch_duration_sec,validation_duration_sec,configured_concurrency,lr,train_protein_aux,train_drug_utility,train_joint_utility,train_gate_prior,effective_drug_gate_mean,effective_joint_gate_mean,drug_contribution_rms_mean,joint_contribution_rms_mean,drug_availability_fraction,joint_availability_fraction,joint_attention_confidence_mean,drug_prediction_shift_mean,joint_prediction_shift_mean,protein_expert0_mean,drug_expert0_mean,protein_expert1_mean,drug_expert1_mean,protein_expert2_mean,drug_expert2_mean,protein_expert3_mean,drug_expert3_mean
1,False,False,1.0672693759797127,1.1739963126707929,0.7191419005393982,0.8480223417282104,0.6221575140953064,0.3980672967740698,0.6599329152232891,0.6401347883139015,0.30000001192092896,0.0,0.10000000149011612,2.0243071175351937e-05,11.617372437263962,49.64934158325195,5.0,4.4926387667655945,0.09527651220560074,1,0.0001548485404787412,0.10672693933357347,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.02632242706990317,0.0,0.0,0.015049183232551451,0.240003873878486,0.06150113874489338,0.33519372997604163,0.9134256737179671,0.18761917560948654,0.010024004088615038,0.23718322011381232
2,False,False,0.8900064400085497,0.9790070835590863,0.7369619011878967,0.8584648370742798,0.6392030119895935,0.3831516888329892,0.6711134833950451,0.6450689497811766,0.30000001192092896,0.0,0.10000000149011612,2.0243071175351937e-05,8.54435277910823,44.38914108276367,5.0,3.7412737198174,0.09558480978012085,1,0.0001548485404787412,0.0890006454073182,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.025883315946097638,0.0,0.0,0.0030813396611257776,0.24000387528573103,0.01507575019015486,0.33519372881897347,0.9802816269405241,0.187619175734575,0.0015612788029808595,0.23718321920692106
3,False,False,0.8427662316236766,0.9270428521529325,0.63621985912323,0.7976338863372803,0.5899551510810852,0.46747434519090736,0.6926616235672229,0.6597108451481287,0.30000001192092896,0.0,0.10000000149011612,2.0243071175351937e-05,6.6718105139036865,37.00822067260742,5.0,4.002614912576973,0.09653683565557003,1,0.0001548485404787412,0.08427662481548966,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.026511695849682826,0.0,0.0,0.0007194850725368064,0.24000387458210853,0.01041326017078923,0.335193728130987,0.9882440235532218,0.1876191753124015,0.0006232328948030759,0.23718322023890076
4,False,False,0.8142647543709025,0.8956912269372129,0.6348031163215637,0.7967453002929688,0.6035474538803101,0.4686601857276621,0.6970160809109895,0.68033770149583,0.30000001192092896,0.0,0.10000000149011612,2.0243071175351937e-05,5.986073705607171,22.144987106323242,5.0,3.6954706963151693,0.09633201081305742,1,0.0001548485404787412,0.08142647670204717,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.027605448883703098,0.0,0.0,0.0004951334359770024,0.2400038748322854,0.003947641953614864,0.3351937286000687,0.9951843970845153,0.18761917636001724,0.0003728326304542323,0.23718322011381232
5,False,False,0.8097256421417405,0.8906982062933703,0.6077998876571655,0.7796152234077454,0.5712820887565613,0.4912622792191651,0.7103580292962384,0.6894037502408384,0.30000001192092896,0.0,0.10000000149011612,2.0243071175351937e-05,6.152846147731369,26.1754093170166,5.0,3.913149139843881,0.09404479060322046,1,0.0001548485404787412,0.08097256592632215,0.0,0.0,0.0,0.0,0.0,9.999999747378752e-05,9.999999747378752e-05,0.0,0.0,0.027872046168428404,0.0,0.0,0.00034561920453596897,0.24000387536391132,0.0009987666608779404,0.33519372847498025,0.9981868101317134,0.18761917532803754,0.0004688037425262027,0.23718321964473063
6,True,False,0.7026044952156412,0.7839502677837424,0.4535181224346161,0.6734375357627869,0.5026917457580566,0.6203984714898485,0.7926608665804746,0.7717304781521318,0.30000001192092896,0.0,0.10000000149011612,2.0243071175351937e-05,5.822452406067663,23.00608253479004,5.0,4.015395193360746,0.09591253474354744,1,0.0001548485404787412,0.07907149555691267,0.0016099966834406765,0.0006642776115634748,0.0,0.30000001192092896,0.08502098918742923,0.30103621587297974,0.08498497965578518,1.0,0.8502098635886673,0.8193064511197562,0.19657613115007955,0.041931390156431936,0.0012946521860267095,0.004488171107019137,0.00770914134763208,0.0029239877604151344,0.984652928140206,0.004549072210121119,0.0063432781600261745,0.9880387770541692
7,True,False,0.5038133821795144,0.5868555049080664,0.48086217045783997,0.6934422850608826,0.5264186263084412,0.5975110870794902,0.8229744526305705,0.7918728657048131,0.30000001192092896,0.0,0.10000000149011612,2.0243071175351937e-05,5.195688900642355,22.498998641967773,5.0,4.169477608054876,0.09697482641786337,1,0.0001548485404787412,0.08047465223658748,0.0017991713375388914,0.0007682979761326983,0.0,0.30000001192092896,0.08481112552918142,0.3046103413808008,0.08481127232047343,1.0,0.8481112277019937,0.9501339546155579,0.37178105528682376,0.06272894215984084,1.3373765948238766e-08,8.11775921501931e-09,1.973275239439892e-06,1.5107425108505273e-07,0.9999980187866395,2.1924271561568003e-07,1.2548491697325162e-10,0.9999996337410285
8,True,False,0.39648209157295267,0.4818788342185686,0.3921597898006439,0.6262266039848328,0.4619336426258087,0.6717563083613614,0.8351621061361749,0.8231334340614562,0.30000001192092896,0.0,0.10000000149011612,2.0243071175351937e-05,5.46181510452959,23.08793067932129,5.0,3.9195497948676348,0.09625331405550241,1,0.0001548485404787412,0.08315710660855893,0.0015386393435317964,0.0007009967640286924,0.0,0.30000001192092896,0.08420776793144932,0.3070572980553506,0.0842354572050719,1.0,0.842077649527807,0.9613654914332587,0.4074937399136682,0.056977267921408725,1.7857283995679937e-08,3.0203851267591114e-08,2.6773102194703312e-06,4.265891697491032e-07,0.9999973184789716,4.884166058400828e-07,1.4039714046106955e-10,0.9999990698423116
9,True,False,0.30607975769205586,0.3907564503198406,0.47236308455467224,0.6872867345809937,0.521038830280304,0.6046249306178225,0.8188554759531813,0.810212767367673,0.30000001192092896,0.0,0.10000000149011612,2.0243071175351937e-05,4.979683693658642,21.54462432861328,5.0,3.774712100625038,0.09550429880619049,1,0.0001548485404787412,0.08270737640696489,0.0013453119312732966,0.0006240045671857716,0.0,0.30000001192092896,0.08426023363003826,0.3087067258195387,0.0844608303882643,1.0,0.8426023084994754,0.9589551898014633,0.44743483251689736,0.048962571078682744,2.235241154440261e-08,5.564900071716462e-08,3.1554843668557577e-06,8.1185181925615e-07,0.9999968378891599,7.142483868577217e-07,1.5919115564128813e-10,0.9999984355187992
10,True,False,0.28242978292584797,0.3638804062090791,0.36557456851005554,0.6046276092529297,0.4269004762172699,0.6940085432845586,0.8348250222937557,0.8252374337293447,0.30000001192092896,0.0,0.10000000149011612,2.0243071175351937e-05,4.42166904312366,33.75611877441406,5.0,3.8018531696870923,0.09836277086287737,1,0.0001548485404787412,0.07983325277567535,0.0011246926347945555,0.0004926777734535532,0.0,0.30000001192092896,0.08486359168512499,0.3098571508153413,0.08506080892097287,1.0,0.8486358866736621,0.9470382741215597,0.4407993679531974,0.04084092662410746,2.5939663786654597e-08,1.0231028697672884e-07,3.6366123425985636e-06,1.6694386225715075e-06,0.9999963467919188,1.5691526834698953e-06,1.5448181613882017e-10,0.9999966756494448
