trial,val_mse,output_dir,lr,weight_decay,batch_size,dropout,window_size,drug_gate_init,joint_gate_init
0,0.2813169062137604,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/1e66a62445b78628c86a27b1e6f1d575ec492ea12051d26cc71f47e62c083759/run1,2.3586399722419837e-05,0.001,16,0.17,4,0.1,0.01
1,0.30908748507499695,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/99d16c873a422f9ac2db8a550005b9b954e37c83513830e7c5b5ed4cb63462cd/run1,2.2490163145920384e-05,1e-06,64,0.17,2,0.2,0.5
2,0.29263564944267273,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/bc674e3d5abb916f3b55edc3147aafcfe779efe65f566089d5215d0765d0fa87/run1,1.5203716536014342e-05,0.001,16,0.25,4,0.2,0.2
3,0.31745973229408264,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/89a266990fcdd498ee58229386c03f2b8cc4c2bcd158bee8fb8d97885b875437/run1,0.0004060886044221789,0.0001,64,0.25,4,0.2,0.01
4,0.3189612030982971,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/9fe4a172c24c9e8669b2e9015dc5196c20e49ce6f980c6d942dc83cbb383d158/run1,0.00046616120605997506,0.01,32,0.1,6,0.2,0.4
5,0.3259829580783844,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/14e0c9d77732ef99cb0274fe9d5ecdb8c2b061b08763a1436113e2a72d901f06/run1,0.0002812792856787038,0.0001,32,0.25,4,0.01,0.02
6,0.2963619828224182,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/6175c00dd8bdb25e68c76a2e4cc97fb59b87998695fca869880c651f90fe51c5/run1,8.975265105423678e-05,1e-06,16,0.2,8,0.2,0.1
7,0.289522260427475,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/92630a375776f1aa2f5322bce1182ce9e1033c31d8f1748f8933a2d3f57304f1/run1,3.656082725525343e-05,0.0001,16,0.1,2,0.5,0.4
8,0.3077647387981415,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/67c14fb38728249b6c1087340ec4e26bb2b44099143a18d6abcc65ed81fd98b2/run1,1.1506162158498395e-05,0.0,64,0.3,6,0.5,0.1
9,0.32488152384757996,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/eaf42f70f50b5142cb08deff1d0007040caf7455b5d93d819d1c25e82be2cf9d/run1,0.0001548485404787412,0.0,16,0.25,1,0.3,0.1
10,0.29580649733543396,<BIO_PROJECT_ROOT>/mgca_hyperparameter_tuning/v10_unbounded_jointtune/outputs/unbounded_warm_hpo_wide_init_v2/tuning/KinetX/runs/366767b6327ee134b6ebae2c0059260eb40e3caa09a06d45f3bac251f85f49ce/run1,4.302325800985752e-05,1e-05,16,0.17,1,0.1,0.01
