study,model,dataset,configuration,split,run,seed,train_n,val_n,test_n_total,test_n_valid,best_epoch,epochs_ran,epochs_max,patience,batch_size,lr,weight_decay,dropout,parameter_count,training_duration_sec,mean_epoch_duration_sec,setup_duration_sec,final_evaluation_duration_sec,run_to_metrics_duration_sec,subprocess_wall_clock_duration_sec,training_peak_gpu_memory_mb,timing_protocol,feature_precomputation_included,test_mse,test_rmse,test_mae,test_r2,test_pearson,test_spearman,test_ci
bicoa_kinetx_default,BiCoA-Net,KinetX,published/default,warm,1,42,3812,544,1090,1090,107,157,250,50,64,0.0002,0.0001,0.15,515177673,5456.990938529372,34.757904067066065,8.932200200855732,6.215976890176535,5472.1799840815365,5474.111062917858,17004.1337890625,synchronized_wall_clock_v1,False,0.48205250016667095,0.694300007321526,0.46006598680391225,0.6717422442657424,0.8207446937180278,0.8199544859271705,0.8212986399379029
bicoa_kinetx_default,BiCoA-Net,KinetX,published/default,warm,2,42,3812,544,1090,1090,178,228,250,50,64,0.0002,0.0001,0.15,515177673,7780.886419668794,34.12669482310874,8.588322442024946,5.923995174467564,7795.454404946417,7797.540228623897,17004.32177734375,synchronized_wall_clock_v1,False,0.4792435714323261,0.6922742024893938,0.4522290379082391,0.669405279631065,0.8187655582500974,0.8125497726407195,0.816950845787264
bicoa_kinetx_default,BiCoA-Net,KinetX,published/default,warm,3,42,3812,544,1090,1090,94,144,250,50,64,0.0002,0.0001,0.15,515177673,4736.343398164958,32.89127359836776,8.580855675041676,6.003977630287409,4750.974703811109,4753.117472816259,17004.1337890625,synchronized_wall_clock_v1,False,0.4133299611206801,0.6429074281112951,0.4383865383786893,0.7263262947590172,0.8526423076816173,0.8435929336133018,0.833074600975646
bicoa_kinetx_default,BiCoA-Net,KinetX,published/default,warm,4,42,3812,544,1090,1090,127,177,250,50,64,0.0002,0.0001,0.15,515177673,5907.710047710687,33.37689292491913,9.477595265954733,5.836890142410994,5923.070313069969,5925.151055011898,17004.32177734375,synchronized_wall_clock_v1,False,0.40002527999058873,0.6324755173052857,0.4182384083030421,0.7009126196886613,0.8390240048863244,0.839138879194087,0.8330329357284135
bicoa_kinetx_default,BiCoA-Net,KinetX,published/default,warm,5,42,3812,544,1090,1090,84,134,250,50,64,0.0002,0.0001,0.15,515177673,4487.385824520141,33.48795391432941,9.910891383886337,5.824491787701845,4503.167081326246,4505.209041677415,17004.38427734375,synchronized_wall_clock_v1,False,0.38514576452375976,0.6206011315843372,0.43236760376790245,0.7142424229654557,0.8452054153654389,0.839094709539636,0.8303602770427175
bicoa_kinetx_default,BiCoA-Net,KinetX,published/default,drug_cold,1,42,3811,545,1090,1090,80,130,250,50,64,0.0002,0.0001,0.15,515177673,4309.303475920111,33.14848827630855,8.502826239913702,5.8264690935611725,4323.675845418125,4325.825098697096,17005.82177734375,synchronized_wall_clock_v1,False,0.6528852578273547,0.8080131544890558,0.5708916657561556,0.531966670988474,0.7351709699990151,0.7423836871068928,0.7765315421743679
bicoa_kinetx_default,BiCoA-Net,KinetX,published/default,drug_cold,2,42,3812,545,1089,1089,130,180,250,50,64,0.0002,0.0001,0.15,515177673,5865.857735469937,32.58809853038854,8.530226945877075,5.952066656202078,5880.381282884628,5882.453894652426,17003.82177734375,synchronized_wall_clock_v1,False,0.5223779093570795,0.7227571579424721,0.5182598154954235,0.6294352584914997,0.7952620966136168,0.7600744177112123,0.788559951716058
bicoa_kinetx_default,BiCoA-Net,KinetX,published/default,drug_cold,3,42,3812,545,1089,1089,62,112,250,50,64,0.0002,0.0001,0.15,515177673,3693.15278666839,32.97457845239634,8.63032078742981,5.9261411391198635,3707.7555051334202,3709.9223507270217,17004.13427734375,synchronized_wall_clock_v1,False,0.529630574316241,0.7277572220983046,0.5035748275953,0.6350017576273927,0.7997168475060706,0.7821504623178086,0.7977001271507412
bicoa_kinetx_default,BiCoA-Net,KinetX,published/default,drug_cold,4,42,3812,545,1089,1089,84,134,250,50,64,0.0002,0.0001,0.15,515177673,4461.240228146315,33.29283752347996,9.380561672151089,6.312307007610798,4476.975768428296,4478.909065742046,17003.57177734375,synchronized_wall_clock_v1,False,0.628590963898372,0.7928372871518922,0.5496872916366115,0.5683378496955066,0.7679755566229982,0.7607547275907021,0.7889549952575866
bicoa_kinetx_default,BiCoA-Net,KinetX,published/default,drug_cold,5,42,3812,545,1089,1089,97,147,250,50,64,0.0002,0.0001,0.15,515177673,5100.029036518186,34.694075078355006,10.281093183904886,5.913232266902924,5116.268746647984,5118.383419390768,17004.88427734375,synchronized_wall_clock_v1,False,0.5403888928318206,0.7351114832675522,0.5273114250711173,0.6295303141805121,0.7947067897660436,0.7760948420671986,0.7941397750385052
bicoa_kinetx_default,BiCoA-Net,KinetX,published/default,protein_cold,1,42,3750,738,958,958,90,140,250,50,64,0.0002,0.0001,0.15,515177673,4823.796682115644,34.455690586540314,9.455323576927185,6.17511485144496,4839.466180615127,4841.569235432893,17004.44677734375,synchronized_wall_clock_v1,False,0.9937822368494021,0.9968862707698417,0.7857356992917668,0.22581296022186015,0.5360250205153918,0.4840278643635382,0.6713132426321705
bicoa_kinetx_default,BiCoA-Net,KinetX,published/default,protein_cold,2,142,3750,738,958,958,104,154,250,50,64,0.0002,0.0001,0.15,515177673,5316.960201237351,34.52571559245033,8.630108438432217,6.2722310200333595,5331.897912062705,5333.906805448234,17004.07177734375,synchronized_wall_clock_v1,False,0.9451358725925598,0.9721809875699894,0.76815631319934,0.263709979652769,0.5417827953553701,0.47920002357893293,0.6686433747479916
bicoa_kinetx_default,BiCoA-Net,KinetX,published/default,protein_cold,3,242,3750,738,958,958,89,139,250,50,64,0.0002,0.0001,0.15,515177673,4791.685451161116,34.47255720259796,9.355423040688038,6.270389758050442,4807.349929336458,4809.3906152024865,17004.32177734375,synchronized_wall_clock_v1,False,1.0921296500922848,1.045050070614937,0.8342039016442906,0.1491972893987129,0.4707884469528612,0.41289691566514747,0.6447370147334724
bicoa_kinetx_default,BiCoA-Net,KinetX,published/default,protein_cold,4,342,3750,738,958,958,70,120,250,50,64,0.0002,0.0001,0.15,515177673,4235.330735024065,35.294422791867206,10.461179535835981,6.368252385407686,4252.209588531405,4254.411312472075,17005.25927734375,synchronized_wall_clock_v1,False,1.0732003247902502,1.0359538236766397,0.8153627961562919,0.16394381814231374,0.46913890438121303,0.4036094058605063,0.6405365100606569
bicoa_kinetx_default,BiCoA-Net,KinetX,published/default,protein_cold,5,442,3750,738,958,958,146,196,250,50,64,0.0002,0.0001,0.15,515177673,6881.750243507326,35.11097063013942,9.055768195539713,6.346691560000181,6897.195190168917,6899.308618530631,17004.1337890625,synchronized_wall_clock_v1,False,1.1016746414355416,1.049606898527035,0.8315660737625991,0.14176144649597466,0.4605241380075553,0.39906115723891145,0.6390824051114522
bicoa_2773_tuned,BiCoA-Net,2773,tuned,warm,1,42,1941,277,555,555,28,78,250,50,8,0.0003569807522878703,0.01,0.15,515177673,3453.230580892414,44.272186934518125,9.234507210552692,3.5009206272661686,3465.9941550306976,3467.9442701227963,17005.091796875,synchronized_wall_clock_v1,False,0.26377339528529115,0.5135887413926546,0.3731806127874701,0.7293224716396292,0.8547428927536661,0.8321222005227995,0.8251561919776934
bicoa_2773_tuned,BiCoA-Net,2773,tuned,warm,2,42,1941,277,555,555,83,133,250,50,8,0.0003569807522878703,0.01,0.15,515177673,6074.9054683335125,45.67598096491363,9.235447775572538,3.7748798988759518,6087.952903423458,6089.978948514909,17003.59130859375,synchronized_wall_clock_v1,False,0.33551345769584745,0.579235235198833,0.3900153924753,0.6492538118864293,0.8086229171783067,0.7863285621871121,0.8090629439904066
bicoa_2773_tuned,BiCoA-Net,2773,tuned,warm,3,42,1941,277,555,555,113,163,250,50,8,0.0003569807522878703,0.01,0.15,515177673,6930.150464951992,42.51626052117786,8.485905721783638,3.3854042030870914,6942.042556844652,6943.917613621801,17003.591796875,synchronized_wall_clock_v1,False,0.2782220612573201,0.5274675926133473,0.36789803956006023,0.7018687939811188,0.8380163246064287,0.8253160703589938,0.8239434783742211
bicoa_2773_tuned,BiCoA-Net,2773,tuned,warm,4,42,1942,277,554,554,68,118,250,50,8,0.0003569807522878703,0.01,0.15,515177673,5134.162498451769,43.50985168179466,9.019102968275547,3.4813212007284164,5146.684728235006,5148.459122363478,17005.091796875,synchronized_wall_clock_v1,False,0.3232862015929382,0.5685826251240343,0.3891760422864976,0.6472001747105773,0.8074019435039402,0.7973077065870997,0.8086200467115464
bicoa_2773_tuned,BiCoA-Net,2773,tuned,warm,5,42,1942,277,554,554,33,83,250,50,8,0.0003569807522878703,0.01,0.15,515177673,3730.4313619844615,44.94495616848749,8.946969956159592,3.639595240354538,3743.0564922504127,3745.0832403451204,17005.84130859375,synchronized_wall_clock_v1,False,0.2526613693393243,0.5026543239039373,0.36403283638213946,0.7342730086008376,0.8579996963901133,0.8307296632040547,0.8279017141810714
bicoa_2773_tuned,BiCoA-Net,2773,tuned,drug_cold,1,42,1941,277,555,555,21,71,250,50,8,0.0003569807522878703,0.01,0.15,515177673,3046.0216913595796,42.90171396281098,9.014300923794508,3.332571178674698,3058.3978403657675,3060.411088824272,17005.091796875,synchronized_wall_clock_v1,False,0.41898831215282273,0.6472930651202922,0.5116418928713412,0.5447260387673407,0.7434611259994378,0.6760015116743409,0.7491020969539739
bicoa_2773_tuned,BiCoA-Net,2773,tuned,drug_cold,2,42,1941,277,555,555,86,136,250,50,8,0.0003569807522878703,0.01,0.15,515177673,6239.431977063417,45.87817630193689,10.162998951971531,3.8070777766406536,6253.4320006892085,6255.578669119626,17004.21630859375,synchronized_wall_clock_v1,False,0.4715346559866854,0.6866838107795213,0.4987785292101336,0.5447279792201376,0.7554202616520386,0.7218655563573763,0.7661734028683181
bicoa_2773_tuned,BiCoA-Net,2773,tuned,drug_cold,3,42,1941,277,555,555,14,64,250,50,8,0.0003569807522878703,0.01,0.15,515177673,2921.929517585784,45.65514871227788,9.009041741490364,3.7608134672045708,2934.729854822159,2936.7188403978944,17002.779296875,synchronized_wall_clock_v1,False,0.39315834749340856,0.6270234026680412,0.46570610677873764,0.536540357943267,0.7329518274395956,0.6945823413695797,0.7603049253663212
bicoa_2773_tuned,BiCoA-Net,2773,tuned,drug_cold,4,42,1942,277,554,554,21,71,250,50,8,0.0003569807522878703,0.01,0.15,515177673,3231.41650120914,45.51290846773436,8.975938495248556,3.77629217132926,3244.2004579789937,3246.5809340253472,17004.71630859375,synchronized_wall_clock_v1,False,0.339476366206817,0.5826460041970741,0.4441781543222145,0.6587092843150327,0.8130810682132242,0.7564927607390006,0.7839757056933236
bicoa_2773_tuned,BiCoA-Net,2773,tuned,drug_cold,5,42,1942,277,554,554,38,88,250,50,8,0.0003569807522878703,0.01,0.15,515177673,4020.2599238045514,45.684771861415356,9.055404771119356,3.76100954413414,4033.1225804425776,4035.219664312899,17005.84130859375,synchronized_wall_clock_v1,False,0.3344592954844607,0.5783245589497827,0.41938916870833304,0.6417496671175729,0.8018836780736754,0.7705129076253432,0.7968433037992907
bicoa_2773_tuned,BiCoA-Net,2773,tuned,protein_cold,1,42,1909,376,488,488,28,78,250,50,8,0.0003569807522878703,0.01,0.15,515177673,3355.734833262861,43.02224145208796,9.3674660846591,3.60666548833251,3368.740554086864,3370.8110582903028,17003.904296875,synchronized_wall_clock_v1,False,1.7179685066610733,1.3107129764601682,1.1187600795118535,-0.4645967452769606,0.5009023002454889,0.5224955576317799,0.6819265939067043
bicoa_2773_tuned,BiCoA-Net,2773,tuned,protein_cold,2,142,1909,376,488,488,19,69,250,50,8,0.0003569807522878703,0.01,0.15,515177673,2990.577095426619,43.341697035168394,8.874437805265188,3.6376770697534084,3003.1240295618773,3005.13390943408,17005.34130859375,synchronized_wall_clock_v1,False,1.6158824666983866,1.2711736571760708,1.0697553981034482,-0.377566697119587,0.5235089131668972,0.5373555977763446,0.6877080611857908
bicoa_2773_tuned,BiCoA-Net,2773,tuned,protein_cold,3,242,1909,376,488,488,17,67,250,50,8,0.0003569807522878703,0.01,0.15,515177673,2843.9080371148884,42.44638861365505,8.702565133571625,3.457990899682045,2856.096950240433,2858.3893075063825,17003.091796875,synchronized_wall_clock_v1,False,2.3903375857477673,1.5460716625524729,1.3103872229818438,-1.0378025759060283,0.18975457626592795,0.29284752598782576,0.598752686359614
bicoa_2773_tuned,BiCoA-Net,2773,tuned,protein_cold,4,342,1909,376,488,488,29,79,250,50,8,0.0003569807522878703,0.01,0.15,515177673,3373.6771476753056,42.7047740212064,9.011099506169558,3.5078379549086094,3386.226913496852,3388.200910665095,17003.59130859375,synchronized_wall_clock_v1,False,1.82690535317376,1.3516306274917567,1.149540999385177,-0.5574672200409623,0.5090029223868409,0.5311624085290276,0.6853314230331634
bicoa_2773_tuned,BiCoA-Net,2773,tuned,protein_cold,5,442,1909,376,488,488,11,61,250,50,8,0.0003569807522878703,0.01,0.15,515177673,2586.4927433915436,42.401520383467926,8.200202241539955,3.475924175232649,2598.1940687075257,2600.2601196840405,17004.77880859375,synchronized_wall_clock_v1,False,1.9353491566746757,1.3911682704384383,1.1635163929618773,-0.6499173674313703,0.30021415521086753,0.33180227590074174,0.6132316379419325
moe_kinetx_tuned,MoE,KinetX,tuned,warm,1,42,3812,544,1090,161,42,50,50,10,64,0.00030015946987714965,0.001,0.2,264034,875.8447723388672,17.516895446777344,4.153159737586975,6.215710747987032,886.3191826082766,889.6276435926557,23.482421875,synchronized_wall_clock_v1,False,0.48789224124314834,0.6984928354987961,0.5425765357957864,0.6966378222703724,0.8350483804767396,0.848206217275998,0.8285503188676311
moe_kinetx_tuned,MoE,KinetX,tuned,warm,2,42,3812,544,1090,161,32,42,50,10,64,0.00030015946987714965,0.001,0.2,264034,731.7094888016582,17.421654495277576,3.4318376891314983,6.114433612674475,741.2837622500956,744.5304876081645,23.482421875,synchronized_wall_clock_v1,False,0.6751177539398086,0.8216554958982557,0.545170426553821,0.5825087415680272,0.7721757610948183,0.8094276128768497,0.8158201757797309
moe_kinetx_tuned,MoE,KinetX,tuned,warm,3,42,3812,544,1090,154,32,42,50,10,64,0.00030015946987714965,0.001,0.2,264034,734.2495273463428,17.48213160348435,3.5705121010541916,5.906127329915762,743.7706970945001,747.1116451509297,23.482421875,synchronized_wall_clock_v1,False,0.5306000820041188,0.7284230103477778,0.5269161036552547,0.6703558080504219,0.8190370898057842,0.847609416956328,0.8304429142225622
moe_kinetx_tuned,MoE,KinetX,tuned,warm,4,42,3812,544,1090,184,23,33,50,10,64,0.00030015946987714965,0.001,0.2,264034,614.0186767205596,18.606626567289684,3.5870613120496273,6.115378260612488,623.8336989991367,627.1391288265586,23.482421875,synchronized_wall_clock_v1,False,0.42328622266603294,0.6506045055685005,0.48596001278771006,0.6679703114402051,0.8225260305798763,0.8228759309451845,0.8159350463954318
moe_kinetx_tuned,MoE,KinetX,tuned,warm,5,42,3812,544,1090,168,35,45,50,10,64,0.00030015946987714965,0.001,0.2,264034,776.752769831568,17.261172662923734,3.6918803304433823,6.293725721538067,786.8605307973921,790.1710176952183,23.482421875,synchronized_wall_clock_v1,False,0.5434248281298255,0.7371735400364188,0.5702905773761726,0.6326721093346968,0.7998310892120291,0.7949530947986847,0.8015084358021161
moe_kinetx_tuned,MoE,KinetX,tuned,drug_cold,1,42,3811,545,1090,170,26,36,50,10,64,0.00030015946987714965,0.001,0.2,264034,618.6921264305711,17.1858924008492,3.623373296111822,6.186655778437853,628.5981898084283,632.9427973553538,23.482421875,synchronized_wall_clock_v1,False,0.7257583269208145,0.8519145068143954,0.5730069644310896,0.46285235569542815,0.7239487811643561,0.7597688122196171,0.789164627752534
moe_kinetx_tuned,MoE,KinetX,tuned,drug_cold,2,42,3812,545,1089,166,19,29,50,10,64,0.00030015946987714965,0.001,0.2,264034,501.9139958359301,17.30737916675621,3.629677340388298,5.834169909358025,511.44330758601427,514.6072793677449,23.482421875,synchronized_wall_clock_v1,False,0.6434351124679748,0.8021440721391481,0.629062877272267,0.5476456770564324,0.7764031103027176,0.7566677096112364,0.7849754236666422
moe_kinetx_tuned,MoE,KinetX,tuned,drug_cold,3,42,3812,545,1089,172,4,14,50,10,64,0.00030015946987714965,0.001,0.2,264034,239.0434993840754,17.0745356702911,3.480621635913849,6.007205367088318,248.55935994535685,251.7538121007383,23.482421875,synchronized_wall_clock_v1,False,1.3940356867562778,1.1806928841812665,0.7454195421968781,0.3041863639263127,0.5624429734558826,0.7295813165306094,0.7651794242052121
moe_kinetx_tuned,MoE,KinetX,tuned,drug_cold,4,42,3812,545,1089,155,24,34,50,10,64,0.00030015946987714965,0.001,0.2,264034,599.1041011363268,17.620708856950788,3.51773926243186,6.708269886672497,609.3767602145672,612.4587554559112,23.482421875,synchronized_wall_clock_v1,False,0.7658034706744574,0.8751019773000501,0.6515673643158328,0.5070676118870475,0.714277575123688,0.7095277347256531,0.7566077441077441
